Matchup,Market,Line,Bets %,Money %,Diff,Game Time,Fetched
Unknown matchup,Spread,,6%,94%,88%,,2025-11-12 18:46
Unknown matchup,Total,,30%,70%,40%,,2025-11-12 18:46
Unknown matchup,Spread,,49%,51%,2%,,2025-11-12 18:46
Unknown matchup,Total,,8%,92%,84%,,2025-11-12 18:46
Unknown matchup,Spread,,15%,85%,70%,,2025-11-12 18:46
Unknown matchup,Spread,,21%,79%,58%,,2025-11-12 18:46
Unknown matchup,Spread,,93%,7%,86%,,2025-11-12 18:46
Unknown matchup,Spread,,91%,9%,82%,,2025-11-12 18:46
Unknown matchup,Spread,,28%,72%,44%,,2025-11-12 18:46
Unknown matchup,Spread,,15%,85%,70%,,2025-11-12 18:46
Unknown matchup,Spread,,87%,13%,74%,,2025-11-12 18:46
Unknown matchup,Spread,,37%,63%,26%,,2025-11-12 18:46
Unknown matchup,Spread,,89%,11%,78%,,2025-11-12 18:46
Unknown matchup,Spread,,96%,4%,92%,,2025-11-12 18:46
Unknown matchup,Spread,,88%,12%,76%,,2025-11-12 18:46
Unknown matchup,Spread,,29%,71%,42%,,2025-11-12 18:46
Unknown matchup,Spread,,92%,8%,84%,,2025-11-12 18:46
