Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Packers @ Giants,Spread,"Sun 11/16, 6:00 PM",-7 (-105) | +7 (-104),56% | 44%,59% | 41%,+3%,"7,901",2025-11-13 01:57
Jets @ Patriots,Spread,"Fri 11/14, 1:15 AM",+12.5 (-105) | -13 (-107),39% | 61%,35% | 65%,+4%,"18,432",2025-11-13 01:57
Commanders @ Dolphins,Spread,"Sun 11/16, 2:30 PM",+2.5 (+102) | -2.5 (-115),41% | 59%,48% | 52%,+7%,"8,572",2025-11-13 01:57
Bengals @ Steelers,Spread,"Sun 11/16, 6:00 PM",+5.5 (-105) | -5.5 (-110),62% | 38%,51% | 49%,+11%,"8,703",2025-11-13 01:57
Panthers @ Falcons,Spread,"Sun 11/16, 6:00 PM",+3.5 (-112) | -3.5 (-104),42% | 58%,45% | 55%,+3%,"9,935",2025-11-13 01:57
Texans @ Titans,Spread,"Sun 11/16, 6:00 PM",-6.5 (-110) | +6.5 (-102),58% | 42%,46% | 54%,+12%,"6,482",2025-11-13 01:57
Bears @ Vikings,Spread,"Sun 11/16, 6:00 PM",+3 (-105) | -3 (-110),55% | 45%,69% | 31%,+14%,"10,864",2025-11-13 01:57
Buccaneers @ Bills,Spread,"Sun 11/16, 6:00 PM",+5.5 (-105) | -5.5 (-110),59% | 41%,52% | 48%,+7%,"6,684",2025-11-13 01:57
Chargers @ Jaguars,Spread,"Sun 11/16, 6:00 PM",-3 (+100) | +3 (-115),68% | 32%,78% | 22%,+10%,"7,224",2025-11-13 01:57
Seahawks @ Rams,Spread,"Sun 11/16, 9:05 PM",+3 (-105) | -3 (-105),74% | 26%,75% | 25%,+1%,"8,668",2025-11-13 01:57
49ers @ Cardinals,Spread,"Sun 11/16, 9:05 PM",-2.5 (-120) | +3 (-108),64% | 36%,56% | 44%,+8%,"6,174",2025-11-13 01:57
Ravens @ Browns,Spread,"Sun 11/16, 9:25 PM",-7.5 (-109) | +7.5 (-109),77% | 23%,70% | 30%,+7%,"10,652",2025-11-13 01:57
Chiefs @ Broncos,Spread,"Sun 11/16, 9:25 PM",-3.5 (-113) | +4 (-110),59% | 41%,79% | 21%,+20%,"12,990",2025-11-13 01:57
Lions @ Eagles,Spread,"Mon 11/17, 1:20 AM",+3 (-115) | -2.5 (-114),76% | 24%,58% | 42%,+18%,"9,299",2025-11-13 01:57
