team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Bam Knight,RB,Questionable,Ankle,Knight is questionable with ankle,Nov 11
Arizona Cardinals,Marvin Harrison,WR,Out,Appendix,Harrison is out with appendix,Nov 12
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Oct 1
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Atlanta Falcons,Jamal Agnew,WR,Out,Groin,Agnew is out with groin,Sep 12
Atlanta Falcons,DeMarcco Hellams,S,Out,Did Not Participate In Practice,Hellams is out with hamstring,Sep 5
Atlanta Falcons,Jack Nelson,OL,Out,Did Not Participate In Practice,Nelson is out with calf,Sep 5
Baltimore Ravens,Patrick Ricard,FB,Out,Did Not Participate In Practice,Ricard is out with calf,Sep 5
Baltimore Ravens,Rashod Bateman,WR,Doubtful,Ankle,Bateman is doubtful with ankle,Nov 11
Buffalo Bills,Mitch Wishnowsky,P,Out,Back,Wishnowsky is out with back,Nov 17
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Buffalo Bills,Joshua Palmer,WR,Questionable,Ankle,Palmer is questionable with ankle,Nov 11
Buffalo Bills,Dalton Kincaid,TE,Out,Hamstring,Kincaid is out with hamstring,Nov 11
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Carolina Panthers,Brycen Tremayne,WR,Questionable,Hip,Tremayne is questionable with hip,Nov 11
Chicago Bears,Jaylon Johnson,DB,Questionable,Limited Participation In Practice,Johnson is questionable with calf,Sep 6
Cincinnati Bengals,Samaje Perine,RB,Out,Ankle,Perine is out with ankle,Nov 11
Cincinnati Bengals,Mike Gesicki,TE,Out,Pectoral,Gesicki is out with pectoral,Oct 14
Cincinnati Bengals,Tanner Hudson,TE,Out,Concussion,Hudson is out with concussion,Oct 14
Cincinnati Bengals,Joe Burrow,QB,Out,Toe,Burrow is out with toe,Sep 16
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,Mike Hall,DT,Out,Limited Participation In Practice,Hall is out with knee,Sep 5
Cleveland Browns,Isaiah Bond,WR,Questionable,Foot,Bond is questionable with foot,Nov 11
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Dallas Cowboys,Perrion Winfrey,DT,Out,Did Not Participate In Practice,Winfrey is out with back,Sep 3
Denver Broncos,Dre Greenlaw,LB,Out,Did Not Participate In Practice,Greenlaw is out with quad,Sep 5
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Denver Broncos,Malcolm Roach,DT,Out,Did Not Participate In Practice,Roach is out with calf,Sep 5
Denver Broncos,Marvin Mims,WR,Questionable,Concussion,Mims is questionable with concussion,Nov 11
Denver Broncos,Nate Adkins,TE,Out,Did Not Participate In Practice,Adkins is out with ankle,Nov 5
Detroit Lions,Chris Hubbard,OL,Questionable,Knee,Hubbard is questionable with knee,Dec 8
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Shane Zylstra,TE,Out,Ankle,Zylstra is out with ankle,Sep 19
Detroit Lions,Trevor Nowaske,LB,Out,Did Not Participate In Practice,Nowaske is out with elbow,Sep 5
Detroit Lions,Sione Vaki,RB,Out,Did Not Participate In Practice,Vaki is out with hamstring,Sep 5
Green Bay Packers,Zayne Anderson,S,Questionable,Limited Participation In Practice,Anderson is questionable with knee,Sep 5
Green Bay Packers,Romeo Doubs,WR,Questionable,Chest,Doubs is questionable with chest,Nov 11
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,Jayden Reed,WR,Out,Collarbone,Reed is out with collarbone,Sep 16
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Green Bay Packers,Matthew Golden,WR,Questionable,Shoulder,Golden is questionable with shoulder,Nov 11
Green Bay Packers,Barryn Sorrell,DE,Questionable,Limited Participation In Practice,Sorrell is questionable with knee,Sep 5
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,C.J. Stroud,QB,Out,,Stroud is out with concussion,Nov 13
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Houston Texans,Cade Stover,TE,Out,Foot,Stover is out with foot,Sep 9
Jacksonville Jaguars,Hunter Long,TE,Questionable,Hip,Long is questionable with hip,Nov 11
Jacksonville Jaguars,Brenton Strange,TE,Out,Hip,Strange is out with hip,Oct 7
Jacksonville Jaguars,Brian Thomas,WR,Questionable,Ankle,Thomas is questionable with ankle,Nov 11
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Jacksonville Jaguars,Wyatt Milum,OL,Out,Did Not Participate In Practice,Milum is out with knee,Sep 5
Kansas City Chiefs,Isiah Pacheco,RB,Out,Knee,Pacheco is out with knee,Nov 13
Kansas City Chiefs,Esa Pole,OL,Out,Did Not Participate In Practice,Pole is out with ankle,Sep 5
Las Vegas Raiders,DJ Turner,WR,Out,Knee,Turner is out with knee,Dec 3
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Chargers,Hassan Haskins,RB,Out,Hamstring,Haskins is out with hamstring,Oct 21
Los Angeles Chargers,Omarion Hampton,RB,Out,Ankle,Hampton is out with ankle,Oct 7
Los Angeles Chargers,Oronde Gadsden,TE,Questionable,Knee,Gadsden is questionable with knee,Nov 11
Los Angeles Rams,Tutu Atwell,WR,Out,Hamstring,Atwell is out with hamstring,Oct 28
Miami Dolphins,Darren Waller,TE,Out,Pectoral,Waller is out with pectoral,Oct 21
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Miami Dolphins,James Daniels,G,Questionable,Did Not Participate In Practice,Daniels is questionable with ankle,Sep 5
Miami Dolphins,Julian Hill,TE,Questionable,Ankle,Hill is questionable with ankle,Nov 11
Minnesota Vikings,Sione Takitaki,LB,Questionable,Groin,Takitaki is questionable with groin,Dec 29
Minnesota Vikings,Josh Oliver,TE,Questionable,Foot,Oliver is questionable with foot,Nov 11
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
Minnesota Vikings,Elijah Williams,DE,Out,Did Not Participate In Practice,Williams is out with hamstring,Sep 6
New England Patriots,Austin Hooper,TE,Out,Concussion,Hooper is out with concussion,Nov 11
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Rhamondre Stevenson,RB,Out,Toe,Stevenson is out with toe,Nov 6
New England Patriots,Kayshon Boutte,WR,Out,Hamstring,Boutte is out with hamstring,Nov 4
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New Orleans Saints,Jordan Howden,DB,Questionable,Limited Participation In Practice,Howden is questionable with oblique,Sep 5
New York Giants,Darius Slayton,WR,Questionable,Hamstring,Slayton is questionable with hamstring,Nov 13
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Jaxson Dart,QB,Out,Concussion,Dart is out with concussion,Nov 12
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Tyrod Taylor,QB,Out,Full Participation In Practice,Taylor is out with knee,Oct 25
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Chukwuma Okorafor,T,Questionable,Limited Participation In Practice,Okorafor is questionable with hand,Sep 5
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
Philadelphia Eagles,Brandon Graham,DE,Questionable,Elbow,Graham is questionable with elbow,Feb 7
Philadelphia Eagles,Tanner McKee,QB,Out,Did Not Participate In Practice,McKee is out with thumb,Sep 3
Pittsburgh Steelers,Marquez Valdes-Scantling,WR,Out,Calf,Valdes-Scantling is out with calf,Oct 17
Pittsburgh Steelers,Skylar Thompson,QB,Questionable,Limited Participation In Practice,Thompson is questionable with hamstring,Sep 5
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Jacob Cowing,WR,Out,Hamstring,Cowing is out with hamstring,Sep 2
San Francisco 49ers,Jordan James,RB,Doubtful,Limited Participation In Practice,James is doubtful with finger,Sep 5
Seattle Seahawks,Uchenna Nwosu,LB,Out,Limited Participation In Practice,Nwosu is out with knee,Sep 5
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,Jake Bobo,WR,Questionable,Achilles,Bobo is questionable with achilles,Nov 11
Seattle Seahawks,Tory Horton,WR,Questionable,Groin,Horton is questionable with groin,Nov 11
Tampa Bay Buccaneers,Mike Evans,WR,Out,Collarbone,Evans is out with collarbone,Oct 21
Tampa Bay Buccaneers,Chris Godwin,WR,Out,Leg,Godwin is out with leg,Oct 10
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tampa Bay Buccaneers,Christian Izien,S,Out,Did Not Participate In Practice,Izien is out with oblique,Sep 5
Tampa Bay Buccaneers,Bucky Irving,RB,Out,Foot,Irving is out with foot,Oct 1
Tampa Bay Buccaneers,Benjamin Morrison,CB,Out,Limited Participation In Practice,Morrison is out with quad,Sep 5
Tennessee Titans,Calvin Ridley,WR,Questionable,Hamstring,Ridley is questionable with hamstring,Nov 13
Tennessee Titans,Kevin Winston,S,Doubtful,Limited Participation In Practice,Winston is doubtful with hamstring,Sep 5
Tennessee Titans,Kalel Mullings,RB,Out,Limited Participation In Practice,Mullings is out with ankle,Sep 26
Washington Commanders,Noah Brown,WR,Out,Groin,Brown is out with groin,Oct 15
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Terry McLaurin,WR,Out,Quad,McLaurin is out with quad,Oct 29
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Nov 4
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
