away,home,date,time,forecast,precip,wind
Commanders,Dolphins,"Commanders
Dolphins",Commanders,Dome,--,
Bengals,Steelers,"Bengals
Steelers",Bengals,46°F Partly Cloudy,0 %,14.27 ESE
Texans,Titans,"Texans
Titans",Texans,65°F Clear,0 %,7.56 SSE
Packers,Giants,"Packers
Giants",Packers,51°F Windy,0 %,15.89 ESE
Buccaneers,Bills,"Buccaneers
Bills",Buccaneers,39°F Windy,16 %,17.01 NNE
Chargers,Jaguars,"Chargers
Jaguars",Chargers,76°F Clear,0 %,10.72 ENE
Seahawks,Rams,"Seahawks
Rams",Seahawks,62°F Mostly Cloudy,0 %,3.91 SW
Ravens,Browns,"Ravens
Browns",Ravens,44°F Windy,0 %,20.14 NNE
Chiefs,Broncos,"Chiefs
Broncos",Chiefs,66°F Partly Cloudy,0 %,6.4 WSW
Lions,Eagles,"Lions
Eagles",Lions,44°F Partly Cloudy,0 %,12.92 ESE
Jets,Patriots,"Jets
Patriots",Jets,Dome,--,
Panthers,Falcons,"Panthers
Falcons",Panthers,Dome,--,
Bears,Vikings,"Bears
Vikings",Bears,Dome,--,
49ers,Cardinals,"49ers
Cardinals",49ers,Dome,--,
Cowboys,Raiders,"Cowboys
Raiders",Cowboys,Dome,--,
