Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Rams @ Panthers,Spread,Final,-10 (-110) | +10 (+100),49% | 51%,45% | 55%,+4%,"203,261",2026-01-16 01:44
Packers @ Bears,Spread,Final,-0.5 (-115) | +1.5 (-105),29% | 71%,28% | 72%,+1%,"192,093",2026-01-16 01:44
Bills @ Jaguars,Spread,Final,+1.5 (-104) | -1.5 (-105),59% | 41%,59% | 41%,,"234,522",2026-01-16 01:44
49ers @ Eagles,Spread,Final,+5.5 (-110) | -5.5 (-108),76% | 24%,78% | 22%,+2%,"217,114",2026-01-16 01:44
Chargers @ Patriots,Spread,Final,+3.5 (-106) | -2.5 (-125),44% | 56%,52% | 48%,+8%,"205,679",2026-01-16 01:44
Texans @ Steelers,Spread,Final,-3 (-105) | +2.5 (+104),49% | 51%,50% | 50%,+1%,"244,837",2026-01-16 01:44
Rams @ Panthers,Total,Final,o45.5 (-102) | u45 (-110),75% | 25%,66% | 34%,+9%,"203,261",2026-01-16 01:44
Packers @ Bears,Total,Final,o45.5 (-115) | u46.5 (-110),62% | 38%,60% | 40%,+2%,"192,093",2026-01-16 01:44
Bills @ Jaguars,Total,Final,o45.5 (-110) | u51.5 (-105),69% | 31%,59% | 41%,+10%,"234,522",2026-01-16 01:44
49ers @ Eagles,Total,Final,o44.5 (-105) | u44.5 (-110),73% | 27%,71% | 29%,+2%,"217,114",2026-01-16 01:44
Chargers @ Patriots,Total,Final,o43.5 (-110) | u46 (-113),79% | 21%,77% | 23%,+2%,"205,679",2026-01-16 01:44
Texans @ Steelers,Total,Final,o38.5 (-105) | u38.5 (-113),69% | 31%,66% | 34%,+3%,"244,837",2026-01-16 01:44
Rams @ Panthers,Moneyline,Final,-550 | +460,87% | 13%,61% | 39%,+26%,"203,261",2026-01-16 01:44
Packers @ Bears,Moneyline,Final,-115 | +110,36% | 64%,36% | 64%,,"192,093",2026-01-16 01:44
Bills @ Jaguars,Moneyline,Final,+112 | -122,59% | 41%,57% | 43%,+2%,"234,522",2026-01-16 01:44
49ers @ Eagles,Moneyline,Final,+210 | -230,34% | 66%,58% | 42%,+24%,"217,114",2026-01-16 01:44
Chargers @ Patriots,Moneyline,Final,+168 | -165,17% | 83%,27% | 73%,+10%,"205,679",2026-01-16 01:44
Texans @ Steelers,Moneyline,Final,-150 | +134,67% | 33%,58% | 42%,+9%,"244,837",2026-01-16 01:44
