Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Cowboys @ Giants,Total,Final,o50 (-107) | u50.5 (-115),57% | 43%,58% | 42%,+1%,"54,647",2026-01-21 03:56
Panthers @ Buccaneers,Total,Final,o42.5 (-106) | u42.5 (-105),75% | 25%,67% | 33%,+8%,"174,670",2026-01-21 03:56
Seahawks @ 49ers,Total,Final,o47.5 (-109) | u48.5 (-110),57% | 43%,52% | 48%,+5%,"196,298",2026-01-21 03:56
Saints @ Falcons,Total,Final,o37.5 (-110) | u43.5 (-105),65% | 35%,60% | 40%,+5%,"73,988",2026-01-21 03:56
Browns @ Bengals,Total,Final,o46.5 (-113) | u47.5 (-115),55% | 45%,62% | 38%,+7%,"73,241",2026-01-21 03:56
Colts @ Texans,Total,Final,o37.5 (-112) | u46.5 (-115),71% | 29%,55% | 45%,+16%,"57,424",2026-01-21 03:56
Titans @ Jaguars,Total,Final,o46.5 (-108) | u46.5 (-108),53% | 47%,60% | 40%,+7%,"62,179",2026-01-21 03:56
Packers @ Vikings,Total,Final,o37.5 (-102) | u37 (-106),78% | 22%,82% | 18%,+4%,"44,999",2026-01-21 03:56
Chargers @ Broncos,Total,Final,o37.5 (-110) | u37.5 (-105),78% | 22%,76% | 24%,+2%,"50,507",2026-01-21 03:56
Chiefs @ Raiders,Total,Final,o32.5 (-115) | u36 (-108),67% | 33%,67% | 33%,,"42,101",2026-01-21 03:56
Jets @ Bills,Total,Final,o38.5 (-109) | u40.5 (-125),78% | 22%,81% | 19%,+3%,"41,061",2026-01-21 03:56
Commanders @ Eagles,Total,Final,o36.5 (-110) | u38.5 (-108),76% | 24%,76% | 24%,,"51,249",2026-01-21 03:56
Lions @ Bears,Total,Final,o49.5 (-120) | u51.5 (-110),60% | 40%,67% | 33%,+7%,"77,866",2026-01-21 03:56
Cardinals @ Rams,Total,Final,o48.5 (-112) | u49.5 (-108),61% | 39%,73% | 27%,+12%,"52,168",2026-01-21 03:56
Dolphins @ Patriots,Total,Final,o44.5 (-102) | u50.5 (-110),72% | 28%,72% | 28%,,"64,588",2026-01-21 03:56
Ravens @ Steelers,Total,Final,o41.5 (-108) | u45.5 (-110),70% | 30%,73% | 27%,+3%,"170,727",2026-01-21 03:56
Cowboys @ Giants,Moneyline,Final,-165 | +140,87% | 13%,79% | 21%,+8%,"54,647",2026-01-21 03:56
Panthers @ Buccaneers,Moneyline,Final,+144 | -155,37% | 63%,37% | 63%,,"174,670",2026-01-21 03:56
Seahawks @ 49ers,Moneyline,Final,-139 | +150,51% | 49%,40% | 60%,+11%,"196,298",2026-01-21 03:56
Saints @ Falcons,Moneyline,Final,+188 | -192,22% | 78%,19% | 81%,+3%,"73,988",2026-01-21 03:56
Browns @ Bengals,Moneyline,Final,+425 | -455,12% | 88%,27% | 73%,+15%,"73,241",2026-01-21 03:56
Colts @ Texans,Moneyline,Final,+430 | -375,7% | 93%,41% | 59%,+34%,"57,424",2026-01-21 03:56
Titans @ Jaguars,Moneyline,Final,+575 | -715,5% | 95%,17% | 83%,+12%,"62,179",2026-01-21 03:56
Packers @ Vikings,Moneyline,Final,+525 | -700,29% | 71%,64% | 36%,+35%,"44,999",2026-01-21 03:56
Chargers @ Broncos,Moneyline,Final,+1200 | -1115,15% | 85%,52% | 48%,+37%,"50,507",2026-01-21 03:56
Chiefs @ Raiders,Moneyline,Final,-178 | +180,83% | 17%,76% | 24%,+7%,"42,101",2026-01-21 03:56
Jets @ Bills,Moneyline,Final,+750 | -835,3% | 97%,14% | 86%,+11%,"41,061",2026-01-21 03:56
Commanders @ Eagles,Moneyline,Final,+150 | -130,7% | 93%,7% | 93%,,"51,249",2026-01-21 03:56
Lions @ Bears,Moneyline,Final,+165 | -170,26% | 74%,44% | 56%,+18%,"77,866",2026-01-21 03:56
Cardinals @ Rams,Moneyline,Final,+900 | -1115,4% | 96%,15% | 85%,+11%,"52,168",2026-01-21 03:56
Dolphins @ Patriots,Moneyline,Final,+810 | -1000,6% | 94%,32% | 68%,+26%,"64,588",2026-01-21 03:56
Ravens @ Steelers,Moneyline,Final,-218 | +280,70% | 30%,43% | 57%,+27%,"170,727",2026-01-21 03:56
