Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Giants @ Jets,Spread,Final,-2.5 (-105) | +2.5 (-105),53% | 47%,31% | 69%,+22%,"3,428",2026-08-30 06:02
Steelers @ Bills,Spread,Final,+2.5 (-106) | -1.5 (-120),23% | 77%,81% | 19%,+58%,"6,113",2026-08-30 06:02
Patriots @ Browns,Spread,Final,-2.5 (-110) | +2.5 (-105),81% | 19%,79% | 21%,+2%,"6,235",2026-08-30 06:02
49ers @ Raiders,Spread,Final,+3.5 (-110) | -3.5 (-104),68% | 32%,81% | 19%,+13%,"5,977",2026-08-30 06:02
Rams @ Chargers,Spread,Final,+3.5 (-108) | -3.5 (-110),72% | 28%,77% | 23%,+5%,"6,745",2026-08-30 06:02
Commanders @ Ravens,Spread,Final,+4.5 (-110) | -4 (-108),27% | 73%,22% | 78%,+5%,"4,387",2026-08-30 06:02
Texans @ Panthers,Spread,Final,-1.5 (-102) | +1 (-112),52% | 48%,20% | 80%,+32%,"3,877",2026-08-30 06:02
Falcons @ Dolphins,Spread,Final,-6 (-106) | +5.5 (+100),65% | 35%,84% | 16%,+19%,"4,220",2026-08-30 06:02
Buccaneers @ Jaguars,Spread,Final,-3.5 (-109) | +3.5 (-108),52% | 48%,66% | 34%,+14%,"2,897",2026-08-30 06:02
Bengals @ Eagles,Spread,Final,+2.5 (+100) | -2.5 (-112),56% | 44%,73% | 27%,+17%,"3,837",2026-08-30 06:02
Seahawks @ Chiefs,Spread,Final,+0.5 (-112) | +1.5 (-115),59% | 41%,60% | 40%,+1%,"3,473",2026-08-30 06:02
Cardinals @ Packers,Spread,Final,+0.5 (-110) | +1.5 (-128),33% | 67%,45% | 55%,+12%,"3,887",2026-08-30 06:02
Saints @ Cowboys,Spread,Final,+3.5 (-110) | -3.5 (-105),20% | 80%,7% | 93%,+13%,"5,715",2026-08-30 06:02
Vikings @ Broncos,Spread,Final,+4.5 (-110) | -4.5 (-105),35% | 65%,77% | 23%,+42%,"3,458",2026-08-30 06:02
Lions @ Colts,Spread,Final,+2.5 (-110) | -1.5 (-115),73% | 27%,80% | 20%,+7%,"3,099",2026-08-30 06:02
Bears @ Titans,Spread,Final,-1 (-107) | +1.5 (-112),62% | 38%,60% | 40%,+2%,"4,205",2026-08-30 06:02
Giants @ Jets,Total,Final,o36.5 (-105) | u36.5 (-102),72% | 28%,77% | 23%,+5%,"3,428",2026-08-30 06:02
Steelers @ Bills,Total,Final,o36.5 (-108) | u36.5 (-102),72% | 28%,79% | 21%,+7%,"6,113",2026-08-30 06:02
Patriots @ Browns,Total,Final,o35.5 (-105) | u35.5 (-110),67% | 33%,57% | 43%,+10%,"6,235",2026-08-30 06:02
49ers @ Raiders,Total,Final,o37.5 (-102) | u38.5 (-112),67% | 33%,68% | 32%,+1%,"5,977",2026-08-30 06:02
Rams @ Chargers,Total,Final,o38.5 (-102) | u38 (-110),69% | 31%,76% | 24%,+7%,"6,745",2026-08-30 06:02
Commanders @ Ravens,Total,Final,o35 (-110) | u35.5 (-109),70% | 30%,74% | 26%,+4%,"4,387",2026-08-30 06:02
Texans @ Panthers,Total,Final,o36.5 (-108) | u37 (-105),56% | 44%,74% | 26%,+18%,"3,877",2026-08-30 06:02
Falcons @ Dolphins,Total,Final,o35.5 (-108) | u35 (-112),64% | 36%,39% | 61%,+25%,"4,220",2026-08-30 06:02
Buccaneers @ Jaguars,Total,Final,o35.5 (-108) | u35.5 (-108),69% | 31%,82% | 18%,+13%,"2,897",2026-08-30 06:02
Bengals @ Eagles,Total,Final,o36.5 (-105) | u36.5 (-108),73% | 27%,81% | 19%,+8%,"3,837",2026-08-30 06:02
Seahawks @ Chiefs,Total,Final,o34.5 (-110) | u34.5 (-105),73% | 27%,66% | 34%,+7%,"3,473",2026-08-30 06:02
Cardinals @ Packers,Total,Final,o36.5 (-108) | u36.5 (-108),78% | 22%,82% | 18%,+4%,"3,887",2026-08-30 06:02
Saints @ Cowboys,Total,Final,o39 (-110) | u39.5 (-108),63% | 37%,73% | 27%,+10%,"5,715",2026-08-30 06:02
Vikings @ Broncos,Total,Final,o37.5 (-110) | u38.5 (-109),58% | 42%,51% | 49%,+7%,"3,458",2026-08-30 06:02
Lions @ Colts,Total,Final,o36.5 (-108) | u36.5 (-108),74% | 26%,78% | 22%,+4%,"3,099",2026-08-30 06:02
Bears @ Titans,Total,Final,o36.5 (-105) | u36.5 (-108),66% | 34%,69% | 31%,+3%,"4,205",2026-08-30 06:02
Giants @ Jets,Moneyline,Final,-126 | +117,85% | 15%,56% | 44%,+29%,"3,428",2026-08-30 06:02
Steelers @ Bills,Moneyline,Final,+117 | -132,13% | 87%,43% | 57%,+30%,"6,113",2026-08-30 06:02
Patriots @ Browns,Moneyline,Final,-136 | +120,91% | 9%,88% | 12%,+3%,"6,235",2026-08-30 06:02
49ers @ Raiders,Moneyline,Final,+142 | -164,56% | 44%,71% | 29%,+15%,"5,977",2026-08-30 06:02
Rams @ Chargers,Moneyline,Final,+153 | -164,56% | 44%,70% | 30%,+14%,"6,745",2026-08-30 06:02
Commanders @ Ravens,Moneyline,Final,+162 | -190,8% | 92%,9% | 91%,+1%,"4,387",2026-08-30 06:02
Texans @ Panthers,Moneyline,Final,-112 | +104,55% | 45%,56% | 44%,+1%,"3,877",2026-08-30 06:02
Falcons @ Dolphins,Moneyline,Final,-235 | +212,86% | 14%,90% | 10%,+4%,"4,220",2026-08-30 06:02
Buccaneers @ Jaguars,Moneyline,Final,-167 | +142,83% | 17%,68% | 32%,+15%,"2,897",2026-08-30 06:02
Bengals @ Eagles,Moneyline,Final,+126 | -142,32% | 68%,45% | 55%,+13%,"3,837",2026-08-30 06:02
Seahawks @ Chiefs,Moneyline,Final,-108 | +104,53% | 47%,50% | 50%,+3%,"3,473",2026-08-30 06:02
Cardinals @ Packers,Moneyline,Final,-102 | -108,24% | 76%,22% | 78%,+2%,"3,887",2026-08-30 06:02
Saints @ Cowboys,Moneyline,Final,+152 | -178,6% | 94%,3% | 97%,+3%,"5,715",2026-08-30 06:02
Vikings @ Broncos,Moneyline,Final,+177 | -200,13% | 87%,23% | 77%,+10%,"3,458",2026-08-30 06:02
Lions @ Colts,Moneyline,Final,+114 | -129,47%,11%,,"3,099",2026-08-30 06:02
Bears @ Titans,Moneyline,Final,-112 | +106,31% | 69%,60% | 40%,+29%,"4,205",2026-08-30 06:02
