Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Cowboys @ Giants,Spread,"Mon 9/14, 12:20 AM",-2.5 (-118) | +2.5 (+102),36% | 64%,95% | 5%,+59%,"10,269",2026-09-06 18:35
Patriots @ Seahawks,Spread,"Thu 9/10, 12:20 AM",+3.5 (-110) | -3.5 (-105),54% | 46%,42% | 58%,+12%,"21,149",2026-09-06 18:35
49ers @ Rams,Spread,"Fri 9/11, 12:35 AM",+3.5 (-105) | -3.5 (-108),48% | 52%,32% | 68%,+16%,"15,287",2026-09-06 18:35
Jets @ Titans,Spread,"Sun 9/13, 5:00 PM",+2.5 (-105) | -2.5 (-102),43% | 57%,64% | 36%,+21%,"8,254",2026-09-06 18:35
Buccaneers @ Bengals,Spread,"Sun 9/13, 5:00 PM",+3.5 (-105) | -3.5 (-110),59% | 41%,54% | 46%,+5%,"8,244",2026-09-06 18:35
Browns @ Jaguars,Spread,"Sun 9/13, 5:00 PM",+8 (-108) | -7.5 (-110),59% | 41%,27% | 73%,+32%,"8,804",2026-09-06 18:35
Falcons @ Steelers,Spread,"Sun 9/13, 5:00 PM",+3.5 (-118) | -3 (-110),57% | 43%,39% | 61%,+18%,"6,618",2026-09-06 18:35
Bears @ Panthers,Spread,"Sun 9/13, 5:00 PM",-2.5 (-118) | +2.5 (+100),66% | 34%,90% | 10%,+24%,"9,239",2026-09-06 18:35
Saints @ Lions,Spread,"Sun 9/13, 5:00 PM",+7 (-108) | -7 (-106),73% | 27%,29% | 71%,+44%,"9,895",2026-09-06 18:35
Ravens @ Colts,Spread,"Sun 9/13, 5:00 PM",-3.5 (-105) | +3.5 (-105),57% | 43%,69% | 31%,+12%,"8,476",2026-09-06 18:35
Bills @ Texans,Spread,"Sun 9/13, 5:00 PM",-1.5 (+100) | +1.5 (-115),58% | 42%,51% | 49%,+7%,"9,183",2026-09-06 18:35
Dolphins @ Raiders,Spread,"Sun 9/13, 8:25 PM",+3.5 (-110) | -3.5 (-104),56% | 44%,36% | 64%,+20%,"5,826",2026-09-06 18:35
Cardinals @ Chargers,Spread,"Sun 9/13, 8:25 PM",+10.5 (-105) | -9.5 (-115),60% | 40%,23% | 77%,+37%,"7,562",2026-09-06 18:35
Commanders @ Eagles,Spread,"Sun 9/13, 8:25 PM",+5.5 (-113) | -4.5 (-105),47% | 53%,30% | 70%,+17%,"8,703",2026-09-06 18:35
Packers @ Vikings,Spread,"Sun 9/13, 8:25 PM",+1.5 (-112) | +1.5 (-120),32% | 68%,32% | 68%,,"9,456",2026-09-06 18:35
Broncos @ Chiefs,Spread,"Tue 9/15, 12:15 AM",+3 (-117) | -2.5 (-115),57% | 43%,77% | 23%,+20%,"8,310",2026-09-06 18:35
Cowboys @ Giants,Total,"Mon 9/14, 12:20 AM",o48 (-110) | u48.5 (-108),16% | 84%,20% | 80%,+4%,"10,269",2026-09-06 18:35
Patriots @ Seahawks,Total,"Thu 9/10, 12:20 AM",o44.5 (-105) | u44.5 (-108),27% | 73%,26% | 74%,+1%,"21,149",2026-09-06 18:35
49ers @ Rams,Total,"Fri 9/11, 12:35 AM",o48.5 (-105) | u48.5 (-110),20% | 80%,18% | 82%,+2%,"15,287",2026-09-06 18:35
Jets @ Titans,Total,"Sun 9/13, 5:00 PM",o39.5 (-105) | u39.5 (-110),55% | 45%,58% | 42%,+3%,"8,254",2026-09-06 18:35
Buccaneers @ Bengals,Total,"Sun 9/13, 5:00 PM",o50.5 (-109) | u50.5 (-102),11% | 89%,29% | 71%,+18%,"8,244",2026-09-06 18:35
Browns @ Jaguars,Total,"Sun 9/13, 5:00 PM",o40.5 (-108) | u40.5 (-107),46% | 54%,47% | 53%,+1%,"8,804",2026-09-06 18:35
Falcons @ Steelers,Total,"Sun 9/13, 5:00 PM",o42 (-108) | u42 (-108),34% | 66%,33% | 67%,+1%,"6,618",2026-09-06 18:35
Bears @ Panthers,Total,"Sun 9/13, 5:00 PM",o47.5 (-102) | u47.5 (-110),13% | 87%,19% | 81%,+6%,"9,239",2026-09-06 18:35
