team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Greg Dortch,WR,Out,Chest,Dortch is out with chest,Dec 5
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Andre Baccellia,WR,Out,Neck,Baccellia is out with neck,Dec 16
Arizona Cardinals,Bam Knight,RB,Out,Ankle,Knight is out with ankle,Dec 16
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Dec 5
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Arizona Cardinals,Xavier Weaver,WR,Questionable,Hamstring,Weaver is questionable with hamstring,Dec 19
Atlanta Falcons,Michael Penix,QB,Out,Knee,Penix is out with knee,Nov 18
Baltimore Ravens,Justice Hill,RB,Out,Neck,Hill is out with neck,Nov 29
Buffalo Bills,Curtis Samuel,WR,Out,Elbow,Samuel is out with elbow,Nov 19
Buffalo Bills,Mecole Hardman,WR,Out,Calf,Hardman is out with calf,Nov 19
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Chicago Bears,Travis Homer,RB,Out,Ankle,Homer is out with ankle,Dec 12
Chicago Bears,Rome Odunze,WR,Out,Foot,Odunze is out with foot,Dec 14
Chicago Bears,Luther Burden,WR,Out,Ankle,Burden is out with ankle,Dec 18
Cincinnati Bengals,Noah Fant,TE,Out,Ankle,Fant is out with ankle,Dec 19
Cincinnati Bengals,Tee Higgins,WR,Questionable,Concussion,Higgins is questionable with concussion,Dec 19
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,David Njoku,TE,Out,Knee,Njoku is out with knee,Dec 19
Cleveland Browns,Maurice Hurst,DT,Out,Ankle,Hurst is out with ankle,Dec 8
Cleveland Browns,Jerome Ford,RB,Out,Shoulder,Ford is out with shoulder,Dec 9
Cleveland Browns,Brenden Bates,TE,Out,Ankle,Bates is out with ankle,Nov 29
Cleveland Browns,Dylan Sampson,RB,Out,Calf,Sampson is out with calf,Dec 19
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Brock Wright,TE,Out,Neck,Wright is out with neck,Dec 3
Detroit Lions,Sam LaPorta,TE,Out,Back,LaPorta is out with back,Nov 14
Green Bay Packers,Micah Parsons,DE,Out,Knee,Parsons is out with knee,Dec 16
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Houston Texans,Nick Chubb,RB,Questionable,Ribs,Chubb is questionable with ribs,Dec 16
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,Christian Kirk,WR,Questionable,Illness,Kirk is questionable with illness,Dec 19
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Houston Texans,Woody Marks,RB,Questionable,Ankle,Marks is questionable with ankle,Dec 19
Indianapolis Colts,Ashton Dulin,WR,Out,Hamstring,Dulin is out with hamstring,Dec 2
Indianapolis Colts,Daniel Jones,QB,Out,Achilles,Jones is out with achilles,Dec 9
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Jacksonville Jaguars,Bhayshul Tuten,RB,Out,Finger,Tuten is out with finger,Dec 16
Kansas City Chiefs,Patrick Mahomes,QB,Out,Knee,Mahomes is out with knee,Dec 16
Kansas City Chiefs,Rashee Rice,WR,Out,Concussion,Rice is out with concussion,Dec 19
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Chargers,Quentin Johnston,WR,Questionable,Groin,Johnston is questionable with groin,Dec 16
Los Angeles Chargers,Derius Davis,WR,Out,Ankle,Davis is out with ankle,Dec 12
Los Angeles Rams,Davante Adams,WR,Out,Hamstring,Adams is out with hamstring,Dec 17
Los Angeles Rams,Tyler Higbee,TE,Out,Ankle,Higbee is out with ankle,Nov 19
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New England Patriots,Terrell Jennings,RB,Out,Concussion,Jennings is out with concussion,Dec 12
New Orleans Saints,Alvin Kamara,RB,Out,Knee,Kamara is out with knee,Nov 25
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New Orleans Saints,Devaughn Vele,WR,Out,Shoulder,Vele is out with shoulder,Dec 17
New Orleans Saints,Mason Tipton,WR,Questionable,Illness,Tipton is questionable with illness,Dec 19
New Orleans Saints,Devin Neal,RB,Out,Hamstring,Neal is out with hamstring,Dec 17
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Tyrod Taylor,QB,Out,Groin,Taylor is out with groin,Dec 9
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
New York Jets,Mason Taylor,TE,Out,Neck,Taylor is out with neck,Dec 17
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Ricky Pearsall,WR,Doubtful,Ankle,Pearsall is doubtful with ankle,Dec 16
San Francisco 49ers,Jacob Cowing,WR,Out,Hamstring,Cowing is out with hamstring,Sep 2
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,George Holani,RB,Out,Hamstring,Holani is out with hamstring,Nov 25
Seattle Seahawks,Elijah Arroyo,TE,Out,Knee,Arroyo is out with knee,Dec 9
Seattle Seahawks,Tory Horton,WR,Out,Groin,Horton is out with groin,Nov 21
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tampa Bay Buccaneers,Benjamin Morrison,CB,Out,Limited Participation In Practice,Morrison is out with quad,Sep 5
Tennessee Titans,Calvin Ridley,WR,Out,Leg,Ridley is out with leg,Nov 18
Tennessee Titans,Van Jefferson,WR,Questionable,Back,Jefferson is questionable with back,Dec 16
Tennessee Titans,Bryce Oliver,WR,Out,Knee,Oliver is out with knee,Nov 14
Tennessee Titans,Gunnar Helm,TE,Questionable,Toe,Helm is questionable with toe,Dec 19
Washington Commanders,Zach Ertz,TE,Out,Knee,Ertz is out with knee,Dec 9
Washington Commanders,Noah Brown,WR,Out,Ribs,Brown is out with ribs,Dec 16
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Dec 10
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
