away,home,date,time,forecast,precip,wind
Packers,Steelers,"Packers
Steelers",Packers,80°F Clouds,0 %,4 W
Lions,Bengals,"Lions
Bengals",Lions,83°F Mostly Cloudy,3 %,4 NNE
Colts,Patriots,"Colts
Patriots",Colts,77°F Partly Cloudy,6 %,7 W
Titans,49ers,"Titans
49ers",Titans,75°F Partly Cloudy,0 %,6 SW
Dolphins,Commanders,"Dolphins
Commanders",Dolphins,80°F Mostly Cloudy,0 %,3 SSE
Buccaneers,Jets,"Buccaneers
Jets",Buccaneers,82°F Mostly Cloudy,0 %,7 NNE
Panthers,Bills,"Panthers
Bills",Panthers,Dome,--,
Browns,Bears,"Browns
Bears",Browns,84°F Mostly Cloudy,8 %,8 S
Vikings,Giants,"Vikings
Giants",Vikings,81°F Partly Cloudy,0 %,4 N
Rams,Chiefs,"Rams
Chiefs",Rams,94°F Partly Cloudy,0 %,7 SSW
Eagles,Ravens,"Eagles
Ravens",Eagles,83°F Partly Cloudy,0 %,5 SSE
Cowboys,Seahawks,"Cowboys
Seahawks",Cowboys,79°F Clear,0 %,5 NNW
Chargers,Texans,"Chargers
Texans",Chargers,Dome,--,
Cardinals,Raiders,"Cardinals
Raiders",Cardinals,Dome,--,
Broncos,Falcons,"Broncos
Falcons",Broncos,Dome,--,
Jaguars,Saints,"Jaguars
Saints",Jaguars,Dome,--,
