week,bet_type,amount,line,odds,result_bet,has_lock,lock_classification,lock_recommendation,lock_confidence,final_margin,final_total
14,spread,150,+3.5,-118,WIN,False,,,,10.0,30.0
14,total,150,o54.5,-108,WIN,False,,,,-14.0,74.0
14,total,200,u41.5,-110,WIN,False,,,,10.0,30.0
15,spread,200,+5.5,-108,WIN,False,,,,1.0,57.0
15,total,100,u41.5,-110,LOSS,False,,,,-13.0,43.0
15,spread,100,+3,-108,LOSS,False,,,,-13.0,43.0
15,spread,100,+5.5,-108,WIN,False,,,,3.0,29.0
16,spread,50,-5.5,-110,WIN,False,,,,21.0,75.0
16,spread,100,+14.5,-110,WIN,False,,,,-2.0,44.0
16,total,50,u41.5,-110,LOSS,False,,,,3.0,43.0
16,spread,100,+3,-110,LOSS,False,,,,7.0,45.0
16,total,100,u41.5,-110,LOSS,False,,,,3.0,43.0
16,spread,100,+14.5,-110,WIN,False,,,,-2.0,44.0
16,spread,100,-6.5,-110,WIN,,,,,,
16,spread,100,-3,-110,LOSS,False,,,,-3.0,43.0
