section,bucket,plays,wins,losses,pushes,win_rate,avg_clv,beat_close,lost_to_close,push_close,beat_close_rate
market,spread,12,9,3,0,0.75,0.0,3,2,7,0.6
market,total,6,5,1,0,0.8333,0.0833,1,1,4,0.5
clv_direction,beat_close,4,3,1,0,0.75,0.875,4,0,0,1.0
clv_direction,lost_to_close,3,1,2,0,0.3333,-1.0,0,3,0,0.0
clv_direction,push_close,11,10,1,0,0.9091,0.0,0,0,11,
warps_spread_pick_alignment,aligned,5,4,1,0,0.8,0.1,2,1,2,0.6667
warps_spread_pick_alignment,conflict,7,5,2,0,0.7143,-0.0714,1,1,5,0.5
warps_spread_pick_alignment,non_spread_pick,6,5,1,0,0.8333,0.0833,1,1,4,0.5
value_gap_pick_alignment,aligned,8,7,1,0,0.875,0.0,2,1,5,0.6667
value_gap_pick_alignment,conflict,4,2,2,0,0.5,0.0,1,1,2,0.5
value_gap_pick_alignment,non_side_pick,6,5,1,0,0.8333,0.0833,1,1,4,0.5
