season,season_type,week,matchup_key,away_tla,home_tla,market,side,picked_line_or_price,close_line_or_price,clv_value,clv_direction,result,close_result,result_matches_close_result,candidate_score,signal_sources,conflict_sources,warps_spread_pick_alignment,value_gap_pick_alignment,source_health_status,data_quality_status,market_reference_available
2025,REG,11,CHI@MIN,CHI,MIN,spread,AWAY,3.0,3.0,0.0,push_close,win,win,true,4.0,sharp;team_rating;injury,,conflict,aligned,OK,OK,true
2025,REG,11,KC@DEN,KC,DEN,spread,AWAY,-3.5,-3.5,0.0,push_close,loss,loss,true,3.0,sharp,,conflict,conflict,OK,OK,true
2025,REG,12,IND@KC,IND,KC,spread,AWAY,3.5,3.5,0.0,push_close,win,win,true,4.0,sharp;team_rating,,conflict,aligned,OK,OK,true
2025,REG,12,SEA@TEN,SEA,TEN,spread,AWAY,-13.5,-12.5,-1.0,lost_to_close,loss,loss,true,3.0,sharp;team_rating,,conflict,aligned,OK,OK,true
2025,REG,13,SF@CLE,SF,CLE,total,UNDER,35.5,35.5,0.0,push_close,win,win,true,4.0,sharp;ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,13,HOU@IND,HOU,IND,spread,AWAY,3.0,3.0,0.0,push_close,win,win,true,3.0,sharp,,aligned,aligned,OK,OK,true
2025,REG,14,HOU@KC,HOU,KC,total,UNDER,41.5,41.5,0.0,push_close,win,win,true,7.0,sharp;ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,15,MIA@PIT,MIA,PIT,total,UNDER,41.5,42.5,-1.0,lost_to_close,loss,loss,true,7.0,sharp;ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,15,NYJ@JAX,NYJ,JAX,spread,HOME,-13.0,-13.5,0.5,beat_close,win,win,true,5.0,sharp;team_rating,injury,conflict,aligned,OK,OK,true
2025,REG,15,BUF@NE,BUF,NE,total,OVER,49.5,49.5,0.0,push_close,win,win,true,4.0,sharp;ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,15,LAC@KC,LAC,KC,total,UNDER,41.5,41.5,0.0,push_close,win,win,true,4.0,ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,15,LV@PHI,LV,PHI,total,UNDER,39.0,37.5,1.5,beat_close,win,win,true,4.0,sharp;ref_weather_context,,non_spread_pick,non_side_pick,OK,OK,true
2025,REG,15,DET@LAR,DET,LAR,spread,HOME,-5.5,-5.5,0.0,push_close,win,win,true,3.0,sharp,,conflict,aligned,OK,OK,true
2025,REG,16,CIN@MIA,CIN,MIA,spread,HOME,4.5,3.5,1.0,beat_close,loss,loss,true,4.0,sharp;team_rating;injury,,aligned,conflict,OK,OK,true
2025,REG,17,TB@MIA,TB,MIA,spread,HOME,5.5,5.5,0.0,push_close,win,win,true,4.0,sharp;team_rating;injury,,aligned,conflict,OK,OK,true
2025,REG,17,SEA@CAR,SEA,CAR,spread,AWAY,-6.5,-6.5,0.0,push_close,win,win,true,3.0,sharp;team_rating,,conflict,aligned,OK,OK,true
2025,REG,18,DAL@NYG,DAL,NYG,spread,HOME,3.5,3.0,0.5,beat_close,win,win,true,5.0,sharp;team_rating,,aligned,aligned,DEGRADED,DEGRADED,true
2025,REG,18,NO@ATL,NO,ATL,spread,AWAY,3.5,4.5,-1.0,lost_to_close,win,win,true,4.0,sharp;team_rating;injury,,aligned,conflict,DEGRADED,DEGRADED,true
