dimension,value,games,decisions,straight_up_wins,engine_side_games,engine_side_aligned,graded_bets,bet_wins,bet_losses,bet_pushes,straight_up_hit_rate,engine_side_alignment_rate,bet_win_rate
best_edge_market,NONE,91,0,0,0,0,0,0,0,0,,,
best_edge_market,spread,12,0,0,0,0,12,9,3,0,,,0.75
best_edge_market,total,6,0,0,0,0,6,5,1,0,,,0.8333
best_edge_side,AWAY,7,7,4,7,7,7,5,2,0,0.5714,1.0,0.7143
best_edge_side,HOME,5,5,4,5,5,5,4,1,0,0.8,1.0,0.8
best_edge_side,NONE,91,0,0,0,0,0,0,0,0,,,
best_edge_side,OVER,1,0,0,0,0,1,1,0,0,,,1.0
best_edge_side,UNDER,5,0,0,0,0,5,4,1,0,,,0.8
data_quality_status,DEGRADED,16,0,0,0,0,2,2,0,0,,,1.0
data_quality_status,OK,93,0,0,0,0,16,12,4,0,,,0.75
division_game,false,62,0,0,0,0,11,8,3,0,,,0.7273
division_game,true,47,0,0,0,0,7,6,1,0,,,0.8571
expectation_sample_warning,true,109,0,0,0,0,18,14,4,0,,,0.7778
market_expectation_pick_alignment,aligned,5,0,0,0,0,5,3,2,0,,,0.6
market_expectation_pick_alignment,conflict,6,0,0,0,0,6,5,1,0,,,0.8333
market_expectation_pick_alignment,neutral,1,0,0,0,0,1,1,0,0,,,1.0
market_expectation_pick_alignment,no_pick,91,0,0,0,0,0,0,0,0,,,
market_expectation_pick_alignment,non_side_pick,6,0,0,0,0,6,5,1,0,,,0.8333
market_expectation_side,AWAY,49,10,6,8,4,10,7,3,0,0.6,0.5,0.7
market_expectation_side,HOME,46,6,4,3,1,6,6,0,0,0.6667,0.3333,1.0
market_expectation_side,NEUTRAL,14,0,0,0,0,2,1,1,0,,,0.5
overperformance_pick_alignment,aligned,6,0,0,0,0,6,5,1,0,,,0.8333
overperformance_pick_alignment,conflict,2,0,0,0,0,2,1,1,0,,,0.5
overperformance_pick_alignment,neutral,4,0,0,0,0,4,3,1,0,,,0.75
overperformance_pick_alignment,no_pick,91,0,0,0,0,0,0,0,0,,,
overperformance_pick_alignment,non_side_pick,6,0,0,0,0,6,5,1,0,,,0.8333
overperformance_side,AWAY,17,7,7,4,4,7,6,1,0,1.0,1.0,0.8571
overperformance_side,HOME,18,4,4,4,2,4,3,1,0,1.0,0.5,0.75
overperformance_side,NEUTRAL,50,0,0,0,0,7,5,2,0,,,0.7143
overperformance_side,NONE,24,0,0,0,0,0,0,0,0,,,
pythagorean_pick_alignment,aligned,7,0,0,0,0,7,6,1,0,,,0.8571
pythagorean_pick_alignment,conflict,4,0,0,0,0,4,2,2,0,,,0.5
pythagorean_pick_alignment,neutral,1,0,0,0,0,1,1,0,0,,,1.0
pythagorean_pick_alignment,no_pick,91,0,0,0,0,0,0,0,0,,,
pythagorean_pick_alignment,non_side_pick,6,0,0,0,0,6,5,1,0,,,0.8333
pythagorean_side,AWAY,47,10,9,6,4,10,8,2,0,0.9,0.6667,0.8
pythagorean_side,HOME,36,7,7,5,3,7,5,2,0,1.0,0.6,0.7143
pythagorean_side,NEUTRAL,2,0,0,0,0,1,1,0,0,,,1.0
pythagorean_side,NONE,24,0,0,0,0,0,0,0,0,,,
spread_status,blocked,73,0,0,0,0,1,1,0,0,,,1.0
spread_status,lean,23,0,0,0,0,4,3,1,0,,,0.75
spread_status,playable,13,0,0,0,0,13,10,3,0,,,0.7692
total_status,blocked,22,0,0,0,0,0,0,0,0,,,
total_status,lean,81,0,0,0,0,12,9,3,0,,,0.75
total_status,playable,6,0,0,0,0,6,5,1,0,,,0.8333
value_gap_pick_alignment,aligned,8,0,0,0,0,8,7,1,0,,,0.875
value_gap_pick_alignment,conflict,4,0,0,0,0,4,2,2,0,,,0.5
value_gap_pick_alignment,no_pick,91,0,0,0,0,0,0,0,0,,,
value_gap_pick_alignment,non_side_pick,6,0,0,0,0,6,5,1,0,,,0.8333
value_gap_side,AWAY,43,10,8,7,5,10,8,2,0,0.8,0.7143,0.8
value_gap_side,HOME,39,8,7,5,3,8,6,2,0,0.875,0.6,0.75
value_gap_side,NEUTRAL,3,0,0,0,0,0,0,0,0,,,
value_gap_side,NONE,24,0,0,0,0,0,0,0,0,,,
