season,season_type,week,matchup_key,away_tla,home_tla,market,side,candidate_status,candidate_score,candidate_threshold,selection_rank,selected_by_engine,line_or_price,fair_estimate,edge_value,result,result_scope,margin_to_line,signal_sources,conflict_sources,source_health_status,data_quality_status,warps_spread_pick_alignment,warps_spread_side,warps_spread_edge_points,warps_ml_side,warps_ml_ev,pythagorean_pick_alignment,value_gap_pick_alignment,market_expectation_pick_alignment,overperformance_pick_alignment
2025,REG,11,CHI@MIN,CHI,MIN,spread,AWAY,playable,4.0,4.0,selected,true,3.0,5.06,2.06,win,selected_bet,5.0,sharp;team_rating;injury,,OK,OK,conflict,HOME,2.06,HOME,0.0835,aligned,aligned,neutral,aligned
2025,REG,11,CHI@MIN,CHI,MIN,total,OVER,lean,3.0,4.0,candidate,false,,,,,ungraded_candidate,,sharp,,OK,OK,conflict,HOME,2.06,HOME,0.0835,aligned,aligned,neutral,aligned
2025,REG,11,CHI@MIN,CHI,MIN,moneyline,AWAY,research_thin_sample,0.4676,,candidate,false,130,0.6381,0.4676,win,straight_up_research,,research_model,,OK,OK,conflict,HOME,2.06,HOME,0.0835,aligned,aligned,neutral,aligned
2025,REG,11,KC@DEN,KC,DEN,spread,AWAY,playable,3.0,3.0,selected,true,-3.5,2.88,6.383,loss,selected_bet,-6.5,sharp,,OK,OK,conflict,HOME,6.383,HOME,0.6376,conflict,conflict,aligned,conflict
2025,REG,11,KC@DEN,KC,DEN,total,UNDER,lean,0.0,4.0,candidate,false,,,,,ungraded_candidate,,,,OK,OK,conflict,HOME,6.383,HOME,0.6376,conflict,conflict,aligned,conflict
2025,REG,11,KC@DEN,KC,DEN,moneyline,HOME,research_thin_sample,0.6957,,candidate,false,180,0.6056,0.6957,win,straight_up_research,,research_model,,OK,OK,conflict,HOME,6.383,HOME,0.6376,conflict,conflict,aligned,conflict
2025,REG,11,HOU@TEN,HOU,TEN,spread,HOME,blocked,0.0,4.0,candidate,false,,-0.19,5.693,,ungraded_candidate,,sharp,team_rating;injury,OK,OK,non_spread_pick,HOME,5.693,HOME,0.5931,no_pick,no_pick,no_pick,no_pick
2025,REG,11,HOU@TEN,HOU,TEN,total,UNDER,lean,3.0,4.0,candidate,false,,,,,ungraded_candidate,,sharp;ref_weather_context,,OK,OK,non_spread_pick,HOME,5.693,HOME,0.5931,no_pick,no_pick,no_pick,no_pick
2025,REG,11,HOU@TEN,HOU,TEN,moneyline,HOME,research_thin_sample,0.0972,,candidate,false,230,0.3325,0.0972,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,HOME,5.693,HOME,0.5931,no_pick,no_pick,no_pick,no_pick
2025,REG,11,WAS@MIA,WAS,MIA,spread,AWAY,blocked,0.0,4.0,candidate,false,,0.64,1.86,,ungraded_candidate,,sharp;injury,team_rating,OK,OK,non_spread_pick,AWAY,1.86,AWAY,0.0775,no_pick,no_pick,no_pick,no_pick
2025,REG,11,WAS@MIA,WAS,MIA,total,UNDER,lean,0.0,4.0,candidate,false,,,,,ungraded_candidate,,,,OK,OK,non_spread_pick,AWAY,1.86,AWAY,0.0775,no_pick,no_pick,no_pick,no_pick
2025,REG,11,WAS@MIA,WAS,MIA,moneyline,AWAY,research_thin_sample,0.0304,,candidate,false,130,0.448,0.0304,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,AWAY,1.86,AWAY,0.0775,no_pick,no_pick,no_pick,no_pick
2025,REG,11,SF@ARI,SF,ARI,spread,HOME,blocked,0.0,4.0,candidate,false,,-2.76,6.265,,ungraded_candidate,,team_rating;injury,,OK,OK,non_spread_pick,HOME,6.265,HOME,0.5117,no_pick,no_pick,no_pick,no_pick
2025,REG,11,SF@ARI,SF,ARI,total,OVER,lean,2.0,4.0,candidate,false,,,,,ungraded_candidate,,sharp,,OK,OK,non_spread_pick,HOME,6.265,HOME,0.5117,no_pick,no_pick,no_pick,no_pick
2025,REG,11,SF@ARI,SF,ARI,moneyline,HOME,research_thin_sample,0.3328,,candidate,false,145,0.544,0.3328,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,HOME,6.265,HOME,0.5117,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CIN@PIT,CIN,PIT,spread,HOME,lean,2.0,4.0,candidate,false,,-2.53,2.974,,ungraded_candidate,,sharp,injury,OK,OK,non_spread_pick,AWAY,2.974,AWAY,0.2978,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CIN@PIT,CIN,PIT,total,OVER,lean,-2.0,4.0,candidate,false,,,,,ungraded_candidate,,,ref_weather_context,OK,OK,non_spread_pick,AWAY,2.974,AWAY,0.2978,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CIN@PIT,CIN,PIT,moneyline,AWAY,research_thin_sample,0.7018,,candidate,false,200,0.5673,0.7018,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,AWAY,2.974,AWAY,0.2978,no_pick,no_pick,no_pick,no_pick
2025,REG,11,DET@PHI,DET,PHI,spread,AWAY,blocked,0.0,4.0,candidate,false,,1.0,1.5,,ungraded_candidate,,team_rating,,OK,OK,non_spread_pick,AWAY,1.5,AWAY,0.0819,no_pick,no_pick,no_pick,no_pick
2025,REG,11,DET@PHI,DET,PHI,total,UNDER,lean,0.0,4.0,candidate,false,,,,,ungraded_candidate,,,,OK,OK,non_spread_pick,AWAY,1.5,AWAY,0.0819,no_pick,no_pick,no_pick,no_pick
2025,REG,11,DET@PHI,DET,PHI,moneyline,HOME,research_thin_sample,0.2232,,candidate,false,-142,0.7178,0.2232,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,AWAY,1.5,AWAY,0.0819,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CAR@ATL,CAR,ATL,spread,HOME,blocked,0.0,5.0,candidate,false,,-5.37,0.871,,ungraded_candidate,,injury,team_rating,OK,OK,non_spread_pick,HOME,0.871,AWAY,-0.0345,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CAR@ATL,CAR,ATL,total,OVER,lean,2.0,4.0,candidate,false,,,,,ungraded_candidate,,ref_weather_context,,OK,OK,non_spread_pick,HOME,0.871,AWAY,-0.0345,no_pick,no_pick,no_pick,no_pick
2025,REG,11,CAR@ATL,CAR,ATL,moneyline,HOME,research_thin_sample,0.1878,,candidate,false,-190,0.7782,0.1878,,ungraded_candidate,,research_model,,OK,OK,non_spread_pick,HOME,0.871,AWAY,-0.0345,no_pick,no_pick,no_pick,no_pick
2025,REG,11,LAC@JAX,LAC,JAX,spread,AWAY,blocked,0.0,4.0,candidate,false,,-2.13,0.868,,ungraded_candidate,,team_rating,,OK,OK,non_spread_pick,HOME,0.868,HOME,0.0052,no_pick,no_pick,no_pick,no_pick
2025,REG,11,LAC@JAX,LAC,JAX,total,UNDER,lean,1.0,4.0,candidate,false,,,,,ungraded_candidate,,sharp,,OK,OK,non_spread_pick,HOME,0.868,HOME,0.0052,no_pick,no_pick,no_pick,no_pick
