season,season_type,week,matchup_key,away_tla,home_tla,market,side,bet_result,target_bet_win,target_margin_to_line,straight_up_winner_side,final_margin_away_minus_home,final_total,best_edge_market,best_edge_side,best_edge_status,spread_status,total_status,moneyline_status,division_game,conference_game,pythagorean_side,market_expectation_side,value_gap_side,overperformance_side,pythagorean_pick_alignment,market_expectation_pick_alignment,value_gap_pick_alignment,overperformance_pick_alignment,expectation_sample_warning,source_health_status,data_quality_status,best_edge_score,spread_score,total_score,pythagorean_wins_delta,vegas_win_total_delta,pythagorean_vs_vegas_delta,actual_vs_pythagorean_delta,expectation_games_tracked_min,moneyline_selected_ev,moneyline_selected_edge,best_edge_score_bin,spread_score_bin,total_score_bin,pythagorean_wins_delta_bin,vegas_win_total_delta_bin,pythagorean_vs_vegas_delta_bin,actual_vs_pythagorean_delta_bin,expectation_games_tracked_min_bin,moneyline_selected_ev_bin,moneyline_selected_edge_bin
2025,REG,11,CHI@MIN,CHI,MIN,spread,AWAY,win,1,5.0,AWAY,2.0,36.0,spread,AWAY,play,playable,lean,research_thin_sample,true,true,AWAY,NEUTRAL,AWAY,AWAY,aligned,neutral,aligned,aligned,true,OK,OK,4.0,4.0,3.0,2.22,0.0,2.22,0.86,1,0.4676,0.2179,4_to_5,3.5_to_4.5,0_to_3.5,abs2_to_4,neutral,abs2_to_4,abs0.5_to_2,<4_games,>=0.20,>=0.20
2025,REG,11,KC@DEN,KC,DEN,spread,AWAY,loss,0,-6.5,HOME,-3.0,41.0,spread,AWAY,play,playable,lean,research_thin_sample,true,true,HOME,AWAY,HOME,HOME,conflict,aligned,conflict,conflict,true,OK,OK,3.0,3.0,0.0,-3.27,2.0,-5.27,-0.98,1,0.6957,0.2586,0_to_4,0_to_3.5,<=0,abs2_to_4,abs2_to_4,abs>=4,abs0.5_to_2,<4_games,>=0.20,>=0.20
2025,REG,11,HOU@TEN,HOU,TEN,,,,,,,,,,,pass,blocked,lean,research_thin_sample,true,true,AWAY,AWAY,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,3.0,6.2,4.0,2.2,0.9,1,0.0972,0.0401,missing,<=0,0_to_3.5,abs>=4,abs>=4,abs2_to_4,abs0.5_to_2,<4_games,0_to_0.10,0_to_0.10
2025,REG,11,WAS@MIA,WAS,MIA,,,,,,,,,,,pass,blocked,lean,research_thin_sample,false,false,,AWAY,,,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,0.0,,1.0,,,0,0.0304,0.0224,missing,<=0,<=0,missing,abs0.5_to_2,missing,missing,<4_games,0_to_0.10,0_to_0.10
2025,REG,11,SF@ARI,SF,ARI,,,,,,,,,,,pass,blocked,lean,research_thin_sample,true,true,,AWAY,,,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,2.0,,2.0,,,0,0.3328,0.1435,missing,<=0,0_to_3.5,missing,abs2_to_4,missing,missing,<4_games,>=0.20,0.10_to_0.20
2025,REG,11,CIN@PIT,CIN,PIT,,,,,,,,,,,pass,lean,lean,research_thin_sample,true,true,AWAY,AWAY,NEUTRAL,NEUTRAL,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,2.0,-2.0,0.75,1.0,-0.25,-0.05,1,0.7018,0.2451,missing,0_to_3.5,<=0,abs0.5_to_2,abs0.5_to_2,neutral,neutral,<4_games,>=0.20,>=0.20
2025,REG,11,DET@PHI,DET,PHI,,,,,,,,,,,pass,blocked,lean,research_thin_sample,false,true,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,0.0,-10.36,-1.0,-9.36,-0.39,1,0.2232,0.1434,missing,<=0,<=0,abs>=4,abs0.5_to_2,abs>=4,neutral,<4_games,>=0.20,0.10_to_0.20
2025,REG,11,CAR@ATL,CAR,ATL,,,,,,,,,,,pass,blocked,lean,research_thin_sample,true,true,HOME,HOME,HOME,HOME,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,2.0,-8.14,-1.0,-7.14,-0.52,1,0.1878,0.1437,missing,<=0,0_to_3.5,abs>=4,abs0.5_to_2,abs>=4,abs0.5_to_2,<4_games,0.10_to_0.20,0.10_to_0.20
2025,REG,11,LAC@JAX,LAC,JAX,,,,,,,,,,,pass,blocked,lean,research_thin_sample,false,true,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,1.0,-4.55,2.0,-6.55,0.27,1,0.4216,0.1947,missing,<=0,0_to_3.5,abs>=4,abs2_to_4,abs>=4,neutral,<4_games,>=0.20,0.10_to_0.20
2025,REG,11,SEA@LAR,SEA,LAR,,,,,,,,,,,pass,blocked,lean,research_thin_sample,true,true,AWAY,HOME,AWAY,NEUTRAL,no_pick,no_pick,no_pick,no_pick,true,OK,OK,,0.0,1.0,2.78,-2.0,4.78,0.06,1,0.6975,0.2705,missing,<=0,0_to_3.5,abs2_to_4,abs2_to_4,abs>=4,neutral,<4_games,>=0.20,>=0.20
