key,season,season_type,week,matchup_key,away_tla,home_tla,stage,raw_action,quality_action,quality_gate,confidence,market,side,selector_score,label,recommendation,source_health_status,data_quality_status,result,margin_to_line
CHI@MIN:final,2025,REG,11,CHI@MIN,CHI,MIN,final,play,play,clear,high,spread,AWAY,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Chicago Bears +3,OK,OK,win,5.0
KC@DEN:final,2025,REG,11,KC@DEN,KC,DEN,final,play,play,clear,standard,spread,AWAY,3.0,📊 LEAN,👀 LEAN: Kansas City Chiefs -3.5 (proceed with caution),OK,OK,loss,-6.5
HOU@TEN:final,2025,REG,11,HOU@TEN,HOU,TEN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
WAS@MIA:final,2025,REG,11,WAS@MIA,WAS,MIA,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
SF@ARI:final,2025,REG,11,SF@ARI,SF,ARI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CIN@PIT:final,2025,REG,11,CIN@PIT,CIN,PIT,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
DET@PHI:final,2025,REG,11,DET@PHI,DET,PHI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CAR@ATL:final,2025,REG,11,CAR@ATL,CAR,ATL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LAC@JAX:final,2025,REG,11,LAC@JAX,LAC,JAX,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
SEA@LAR:final,2025,REG,11,SEA@LAR,SEA,LAR,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
GB@NYG:final,2025,REG,11,GB@NYG,GB,NYG,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
TB@BUF:final,2025,REG,11,TB@BUF,TB,BUF,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
DAL@LV:final,2025,REG,11,DAL@LV,DAL,LV,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
BAL@CLE:final,2025,REG,11,BAL@CLE,BAL,CLE,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
IND@KC:final,2025,REG,12,IND@KC,IND,KC,final,play,play,clear,high,spread,AWAY,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Indianapolis Colts +3.5,OK,OK,win,0.5
SEA@TEN:final,2025,REG,12,SEA@TEN,SEA,TEN,final,play,play,clear,high,spread,AWAY,3.0,📊 LEAN,👀 LEAN: Seattle Seahawks -13.5 (proceed with caution),OK,OK,loss,-7.5
JAX@ARI:final,2025,REG,12,JAX@ARI,JAX,ARI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
BUF@HOU:final,2025,REG,12,BUF@HOU,BUF,HOU,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NE@CIN:final,2025,REG,12,NE@CIN,NE,CIN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ATL@NO:final,2025,REG,12,ATL@NO,ATL,NO,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CLE@LV:final,2025,REG,12,CLE@LV,CLE,LV,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
PHI@DAL:final,2025,REG,12,PHI@DAL,PHI,DAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
PIT@CHI:final,2025,REG,12,PIT@CHI,PIT,CHI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NYJ@BAL:final,2025,REG,12,NYJ@BAL,NYJ,BAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NYG@DET:final,2025,REG,12,NYG@DET,NYG,DET,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
TB@LAR:final,2025,REG,12,TB@LAR,TB,LAR,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CAR@SF:final,2025,REG,12,CAR@SF,CAR,SF,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
MIN@GB:final,2025,REG,12,MIN@GB,MIN,GB,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
SF@CLE:final,2025,REG,13,SF@CLE,SF,CLE,final,play,play,clear,high,total,UNDER,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: UNDER 35.5,OK,OK,win,1.5
HOU@IND:final,2025,REG,13,HOU@IND,HOU,IND,final,play,play,clear,high,spread,AWAY,3.0,📊 LEAN,👀 LEAN: Houston Texans +3 (proceed with caution),OK,OK,win,7.0
BUF@PIT:final,2025,REG,13,BUF@PIT,BUF,PIT,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ARI@TB:final,2025,REG,13,ARI@TB,ARI,TB,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
DEN@WAS:final,2025,REG,13,DEN@WAS,DEN,WAS,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NO@MIA:final,2025,REG,13,NO@MIA,NO,MIA,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
JAX@TEN:final,2025,REG,13,JAX@TEN,JAX,TEN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LV@LAC:final,2025,REG,13,LV@LAC,LV,LAC,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ATL@NYJ:final,2025,REG,13,ATL@NYJ,ATL,NYJ,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
MIN@SEA:final,2025,REG,13,MIN@SEA,MIN,SEA,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
LAR@CAR:final,2025,REG,13,LAR@CAR,LAR,CAR,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
HOU@KC:final,2025,REG,14,HOU@KC,HOU,KC,final,play,play,clear,standard,total,UNDER,7.0,🔵 BLUE CHIP,✅ STRONG PLAY: UNDER 41.5,OK,OK,win,11.5
WAS@MIN:final,2025,REG,14,WAS@MIN,WAS,MIN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
PIT@BAL:final,2025,REG,14,PIT@BAL,PIT,BAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
SEA@ATL:final,2025,REG,14,SEA@ATL,SEA,ATL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LAR@ARI:final,2025,REG,14,LAR@ARI,LAR,ARI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CIN@BUF:final,2025,REG,14,CIN@BUF,CIN,BUF,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NO@TB:final,2025,REG,14,NO@TB,NO,TB,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
IND@JAX:final,2025,REG,14,IND@JAX,IND,JAX,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
DEN@LV:final,2025,REG,14,DEN@LV,DEN,LV,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
PHI@LAC:final,2025,REG,14,PHI@LAC,PHI,LAC,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CHI@GB:final,2025,REG,14,CHI@GB,CHI,GB,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
DAL@DET:final,2025,REG,14,DAL@DET,DAL,DET,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
TEN@CLE:final,2025,REG,14,TEN@CLE,TEN,CLE,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
MIA@NYJ:final,2025,REG,14,MIA@NYJ,MIA,NYJ,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
MIA@PIT:final,2025,REG,15,MIA@PIT,MIA,PIT,final,play,play,clear,standard,total,UNDER,7.0,🔵 BLUE CHIP,✅ STRONG PLAY: UNDER 41.5,OK,OK,loss,-1.5
NYJ@JAX:final,2025,REG,15,NYJ@JAX,NYJ,JAX,final,play,play,clear,high,spread,HOME,5.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Jacksonville Jaguars -13.5,OK,OK,win,15.0
BUF@NE:final,2025,REG,15,BUF@NE,BUF,NE,final,play,play,clear,high,total,OVER,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: OVER 49.5,OK,OK,win,16.5
LAC@KC:final,2025,REG,15,LAC@KC,LAC,KC,final,play,play,clear,high,total,UNDER,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: UNDER 41.5,OK,OK,win,12.5
LV@PHI:final,2025,REG,15,LV@PHI,LV,PHI,final,play,play,clear,high,total,UNDER,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: UNDER 38.5,OK,OK,win,8.0
DET@LAR:final,2025,REG,15,DET@LAR,DET,LAR,final,play,play,clear,high,spread,HOME,3.0,📊 LEAN,👀 LEAN: Los Angeles Rams -6 (proceed with caution),OK,OK,win,1.5
ARI@HOU:final,2025,REG,15,ARI@HOU,ARI,HOU,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CAR@NO:final,2025,REG,15,CAR@NO,CAR,NO,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
WAS@NYG:final,2025,REG,15,WAS@NYG,WAS,NYG,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
MIN@DAL:final,2025,REG,15,MIN@DAL,MIN,DAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ATL@TB:final,2025,REG,15,ATL@TB,ATL,TB,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
TEN@SF:final,2025,REG,15,TEN@SF,TEN,SF,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
IND@SEA:final,2025,REG,15,IND@SEA,IND,SEA,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CLE@CHI:final,2025,REG,15,CLE@CHI,CLE,CHI,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
BAL@CIN:final,2025,REG,15,BAL@CIN,BAL,CIN,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
GB@DEN:final,2025,REG,15,GB@DEN,GB,DEN,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
CIN@MIA:final,2025,REG,16,CIN@MIA,CIN,MIA,final,play,play,clear,high,spread,HOME,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Miami Dolphins +3.5,OK,OK,loss,-19.5
KC@TEN:final,2025,REG,16,KC@TEN,KC,TEN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ATL@ARI:final,2025,REG,16,ATL@ARI,ATL,ARI,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
SF@IND:final,2025,REG,16,SF@IND,SF,IND,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NE@BAL:final,2025,REG,16,NE@BAL,NE,BAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LAC@DAL:final,2025,REG,16,LAC@DAL,LAC,DAL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LV@HOU:final,2025,REG,16,LV@HOU,LV,HOU,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
TB@CAR:final,2025,REG,16,TB@CAR,TB,CAR,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
JAX@DEN:final,2025,REG,16,JAX@DEN,JAX,DEN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NYJ@NO:final,2025,REG,16,NYJ@NO,NYJ,NO,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
MIN@NYG:final,2025,REG,16,MIN@NYG,MIN,NYG,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
PIT@DET:final,2025,REG,16,PIT@DET,PIT,DET,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
BUF@CLE:final,2025,REG,16,BUF@CLE,BUF,CLE,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
TB@MIA:final,2025,REG,17,TB@MIA,TB,MIA,final,play,play,clear,high,spread,HOME,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Miami Dolphins +5.5,OK,OK,win,8.5
SEA@CAR:final,2025,REG,17,SEA@CAR,SEA,CAR,final,play,play,clear,high,spread,AWAY,3.0,📊 LEAN,👀 LEAN: Seattle Seahawks -6.5 (proceed with caution),OK,OK,win,10.5
JAX@IND:final,2025,REG,17,JAX@IND,JAX,IND,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
ARI@CIN:final,2025,REG,17,ARI@CIN,ARI,CIN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
PIT@CLE:final,2025,REG,17,PIT@CLE,PIT,CLE,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NE@NYJ:final,2025,REG,17,NE@NYJ,NE,NYJ,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
CHI@SF:final,2025,REG,17,CHI@SF,CHI,SF,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
LAR@ATL:final,2025,REG,17,LAR@ATL,LAR,ATL,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NO@TEN:final,2025,REG,17,NO@TEN,NO,TEN,final,lean,watch,clear,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,OK,OK,,
NYG@LV:final,2025,REG,17,NYG@LV,NYG,LV,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
PHI@BUF:final,2025,REG,17,PHI@BUF,PHI,BUF,final,pass,pass,clear,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",OK,OK,,
DAL@NYG:final,2025,REG,18,DAL@NYG,DAL,NYG,final,play,play,warn,standard,spread,HOME,5.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: New York Giants +3.5,DEGRADED,DEGRADED,win,20.5
NO@ATL:final,2025,REG,18,NO@ATL,NO,ATL,final,play,play,warn,standard,spread,AWAY,4.0,🎯 TARGETED PLAY,🎯 TARGETED PLAY: New Orleans Saints +3.5,DEGRADED,DEGRADED,win,1.5
LAC@DEN:final,2025,REG,18,LAC@DEN,LAC,DEN,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
WAS@PHI:final,2025,REG,18,WAS@PHI,WAS,PHI,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
KC@LV:final,2025,REG,18,KC@LV,KC,LV,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
GB@MIN:final,2025,REG,18,GB@MIN,GB,MIN,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
BAL@PIT:final,2025,REG,18,BAL@PIT,BAL,PIT,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
NYJ@BUF:final,2025,REG,18,NYJ@BUF,NYJ,BUF,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
ARI@LAR:final,2025,REG,18,ARI@LAR,ARI,LAR,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
MIA@NE:final,2025,REG,18,MIA@NE,MIA,NE,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
