away_score,away_team,classification,data_quality_status,degraded_sources,final_total,home_score,home_team,line,margin_to_line,market,matchup,pick,reasons,recommendation,result,result_source,result_source_name,result_source_url,season,selector_score,side,trace_aligned_sources,trace_blockers,trace_conflict_sources,trace_final_market,trace_final_reason,trace_final_side,trace_market_cleared,trace_market_score,trace_market_threshold,unsafe_sources,week
19,Chicago Bears,🎯 TARGETED PLAY,OK,,36,17,Minnesota Vikings,3.0,5.0,spread,Chicago Bears @ Minnesota Vikings,Chicago Bears,sharp spread edge; team-rating edge aligns; injury context aligns,🎯 TARGETED PLAY: Chicago Bears +3,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,4,AWAY,sharp;team_rating;injury,,,spread,spread candidate cleared threshold and ranked highest,AWAY,True,4,4,,11
19,Kansas City Chiefs,📊 LEAN,OK,,41,22,Denver Broncos,-3.5,-6.5,spread,Kansas City Chiefs @ Denver Broncos,Kansas City Chiefs,sharp spread edge,👀 LEAN: Kansas City Chiefs -3.5 (proceed with caution),loss,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,3,AWAY,sharp,,,spread,spread candidate cleared threshold and ranked highest,AWAY,True,3,3,,11
20,Indianapolis Colts,🎯 TARGETED PLAY,OK,,43,23,Kansas City Chiefs,3.5,0.5,spread,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,sharp spread edge; team-rating edge aligns,🎯 TARGETED PLAY: Indianapolis Colts +3.5,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,4,AWAY,sharp;team_rating,,,spread,spread candidate cleared threshold and ranked highest,AWAY,True,4,3,,12
30,Seattle Seahawks,📊 LEAN,OK,,54,24,Tennessee Titans,-13.5,-7.5,spread,Seattle Seahawks @ Tennessee Titans,Seattle Seahawks,sharp spread edge; team-rating edge aligns,👀 LEAN: Seattle Seahawks -13.5 (proceed with caution),loss,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,3,AWAY,sharp;team_rating,,,spread,spread candidate cleared threshold and ranked highest,AWAY,True,3,3,,12
26,San Francisco 49ers,🎯 TARGETED PLAY,OK,,34,8,Cleveland Browns,35.5,1.5,total,San Francisco 49ers @ Cleveland Browns,UNDER,sharp total edge; weather suppresses scoring,🎯 TARGETED PLAY: UNDER 35.5,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,4,UNDER,sharp;ref_weather_context,,,total,total candidate cleared threshold and ranked highest,UNDER,True,4,4,,13
20,Houston Texans,📊 LEAN,OK,,36,16,Indianapolis Colts,3.0,7.0,spread,Houston Texans @ Indianapolis Colts,Houston Texans,sharp spread edge,👀 LEAN: Houston Texans +3 (proceed with caution),win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,3,AWAY,sharp,,,spread,spread candidate cleared threshold and ranked highest,AWAY,True,3,3,,13
20,Houston Texans,🔵 BLUE CHIP,OK,,30,10,Kansas City Chiefs,41.5,11.5,total,Houston Texans @ Kansas City Chiefs,UNDER,sharp total edge; referee under trend; weather suppresses scoring,✅ STRONG PLAY: UNDER 41.5,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,7,UNDER,sharp;ref_weather_context,,,total,total candidate cleared threshold and ranked highest,UNDER,True,7,4,,14
15,Miami Dolphins,🔵 BLUE CHIP,OK,,43,28,Pittsburgh Steelers,41.5,-1.5,total,Miami Dolphins @ Pittsburgh Steelers,UNDER,sharp total edge; referee under trend; weather suppresses scoring,✅ STRONG PLAY: UNDER 41.5,loss,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,7,UNDER,sharp;ref_weather_context,,,total,total candidate cleared threshold and ranked highest,UNDER,True,7,4,,15
20,New York Jets,🎯 TARGETED PLAY,OK,,68,48,Jacksonville Jaguars,-13.0,15.0,spread,New York Jets @ Jacksonville Jaguars,Jacksonville Jaguars,sharp spread edge; team-rating edge aligns; injury context conflicts,🎯 TARGETED PLAY: Jacksonville Jaguars -13.5,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,5,HOME,sharp;team_rating,,injury,spread,spread candidate cleared threshold and ranked highest,HOME,True,5,4,,15
35,Buffalo Bills,🎯 TARGETED PLAY,OK,,66,31,New England Patriots,49.5,16.5,total,Buffalo Bills @ New England Patriots,OVER,sharp total edge; referee over trend,🎯 TARGETED PLAY: OVER 49.5,win,nflverse,nflverse schedules,https://github.com/nflverse/nflverse-data/releases/download/schedules/games.csv,2025,4,OVER,sharp;ref_weather_context,,,total,total candidate cleared threshold and ranked highest,OVER,True,4,4,,15
