avg_margin_to_line,graded,injury_policy,losses,plays,pushes,spread_losses,spread_plays,spread_threshold,spread_win_rate,spread_wins,total_losses,total_plays,total_policy,total_threshold,total_win_rate,total_wins,win_rate,wins
9.389,9,raise_spread_threshold,1,9,0,0,3,4,1.0,3,1,6,allow,4,0.8333,5,0.8889,8
9.389,9,raise_spread_threshold,1,9,0,0,3,4,1.0,3,1,6,require_ref_weather,4,0.8333,5,0.8889,8
10.5,8,allow,1,8,0,0,2,5,1.0,2,1,6,allow,4,0.8333,5,0.875,7
10.5,8,allow,1,8,0,0,2,5,1.0,2,1,6,require_ref_weather,4,0.8333,5,0.875,7
9.0,8,raise_spread_threshold,1,8,0,0,3,4,1.0,3,1,5,require_sharp_and_ref_weather,4,0.8,4,0.875,7
8.688,8,block_spread_if_injury_context,1,8,0,0,2,4,1.0,2,1,6,allow,4,0.8333,5,0.875,7
8.688,8,block_spread_if_injury_context,1,8,0,0,2,4,1.0,2,1,6,require_ref_weather,4,0.8333,5,0.875,7
10.214,7,allow,1,7,0,0,2,5,1.0,2,1,5,require_sharp_and_ref_weather,4,0.8,4,0.8571,6
9.857,7,raise_spread_threshold,1,7,0,0,1,5,1.0,1,1,6,allow,4,0.8333,5,0.8571,6
9.857,7,raise_spread_threshold,1,7,0,0,1,5,1.0,1,1,6,require_ref_weather,4,0.8333,5,0.8571,6
9.857,7,block_spread_if_injury_context,1,7,0,0,1,5,1.0,1,1,6,allow,4,0.8333,5,0.8571,6
9.857,7,block_spread_if_injury_context,1,7,0,0,1,5,1.0,1,1,6,require_ref_weather,4,0.8333,5,0.8571,6
9.857,7,block_spread_if_injury_conflict,1,7,0,0,1,5,1.0,1,1,6,allow,4,0.8333,5,0.8571,6
9.857,7,block_spread_if_injury_conflict,1,7,0,0,1,5,1.0,1,1,6,require_ref_weather,4,0.8333,5,0.8571,6
8.143,7,block_spread_if_injury_context,1,7,0,0,2,4,1.0,2,1,5,require_sharp_and_ref_weather,4,0.8,4,0.8571,6
6.154,13,allow,2,13,0,1,7,4,0.8571,6,1,6,allow,4,0.8333,5,0.8462,11
6.154,13,allow,2,13,0,1,7,4,0.8571,6,1,6,require_ref_weather,4,0.8333,5,0.8462,11
