avg_margin_to_line,dimension,graded,losses,plays,pushes,value,win_rate,wins
11.0,data_quality_status,2,0,2,0,DEGRADED,1.0,2
3.938,data_quality_status,16,4,16,0,OK,0.75,12
3.042,market,12,3,12,0,spread,0.75,9
8.083,market,6,1,6,0,total,0.8333,5
1.5,side,7,2,7,0,AWAY,0.7143,5
5.2,side,5,1,5,0,HOME,0.8,4
16.5,side,1,0,1,0,OVER,1.0,1
6.4,side,5,1,5,0,UNDER,0.8,4
-1.125,trace_aligned_signature,4,1,4,0,injury+sharp+team_rating,0.75,3
12.5,trace_aligned_signature,1,0,1,0,ref_weather_context,1.0,1
7.2,trace_aligned_signature,5,1,5,0,ref_weather_context+sharp,0.8,4
0.667,trace_aligned_signature,3,1,3,0,sharp,0.6667,2
7.8,trace_aligned_signature,5,1,5,0,sharp+team_rating,0.8,4
-1.125,trace_aligned_sources,4,1,4,0,injury,0.75,3
8.083,trace_aligned_sources,6,1,6,0,ref_weather_context,0.8333,5
4.265,trace_aligned_sources,17,4,17,0,sharp,0.7647,13
3.833,trace_aligned_sources,9,2,9,0,team_rating,0.7778,7
4.722,trace_blockers,18,4,18,0,NONE,0.7778,14
4.118,trace_conflict_sources,17,4,17,0,NONE,0.7647,13
15.0,trace_conflict_sources,1,0,1,0,injury,1.0,1
3.042,trace_final_reason,12,3,12,0,spread candidate cleared threshold and ranked highest,0.75,9
8.083,trace_final_reason,6,1,6,0,total candidate cleared threshold and ranked highest,0.8333,5
