section,bucket,plays,wins,losses,pushes,win_rate,units,roi_per_play,profitable_season_pct
market_side,moneyline / AWAY,6038,2709,3309,20,0.4501,-159.9895,-0.0265,0.3636
market_side,moneyline / HOME,6070,3323,2727,20,0.5493,-297.7673,-0.0491,0.0909
market_side,spread / AWAY,6050,3009,2891,150,0.51,-60.4196,-0.01,0.3636
market_side,spread / HOME,6050,2891,3009,150,0.49,-292.3128,-0.0483,0.0
market_side,total / OVER,3027,1464,1535,28,0.4882,-164.5199,-0.0544,0.1818
market_side,total / UNDER,3027,1535,1464,28,0.5118,-21.3888,-0.0071,0.5455
market_side_regular,moneyline / AWAY,5772,2611,3141,20,0.4539,-140.6053,-0.0244,0.3636
market_side_regular,moneyline / HOME,5804,3155,2629,20,0.5455,-291.3057,-0.0502,0.0909
market_side_regular,spread / AWAY,5784,2889,2749,146,0.5124,-32.3166,-0.0056,0.4545
market_side_regular,spread / HOME,5784,2749,2889,146,0.4876,-305.0004,-0.0527,0.0909
market_side_regular,total / OVER,2894,1401,1467,26,0.4885,-155.2237,-0.0536,0.1818
market_side_regular,total / UNDER,2894,1467,1401,26,0.5115,-21.9799,-0.0076,0.5455
market_side_postseason,moneyline / AWAY,266,98,168,0,0.3684,-19.3842,-0.0729,0.4545
market_side_postseason,moneyline / HOME,266,168,98,0,0.6316,-6.4616,-0.0243,0.4545
market_side_postseason,spread / AWAY,266,120,142,4,0.458,-28.103,-0.1057,0.3636
market_side_postseason,spread / HOME,266,142,120,4,0.542,12.6876,0.0477,0.6364
market_side_postseason,total / OVER,133,63,68,2,0.4809,-9.2962,-0.0699,0.4545
market_side_postseason,total / UNDER,133,68,63,2,0.5191,0.5911,0.0044,0.5455
total_bucket,OVER / 40.5_to_44.5,1091,513,569,9,0.4741,-90.338,-0.0828,0.0
total_bucket,OVER / 40_or_less,352,181,169,2,0.5171,-0.2116,-0.0006,0.2727
total_bucket,OVER / 45_to_49.5,1150,564,575,11,0.4952,-45.7718,-0.0398,0.3636
total_bucket,OVER / 50_plus,434,206,222,6,0.4813,-28.1985,-0.065,0.2727
total_bucket,UNDER / 40.5_to_44.5,1091,569,513,9,0.5259,21.1109,0.0194,0.4545
total_bucket,UNDER / 40_or_less,352,169,181,2,0.4829,-23.003,-0.0653,0.1818
total_bucket,UNDER / 45_to_49.5,1150,575,564,11,0.5048,-22.5314,-0.0196,0.4545
total_bucket,UNDER / 50_plus,434,222,206,6,0.5187,3.0347,0.007,0.6364
market_by_season,moneyline / 2015,1068,535,533,0,0.5009,5.0168,0.0047,1.0
market_by_season,moneyline / 2016,1068,532,528,8,0.5019,-40.0004,-0.0375,0.0
market_by_season,moneyline / 2017,1064,532,532,0,0.5,-51.7476,-0.0486,0.0
market_by_season,moneyline / 2018,1068,528,532,8,0.4981,-28.5502,-0.0267,0.0
market_by_season,moneyline / 2019,1068,532,532,4,0.5,-21.6594,-0.0203,0.0
market_by_season,moneyline / 2020,1076,536,536,4,0.5,-54.648,-0.0508,0.0
market_by_season,moneyline / 2021,1140,568,568,4,0.5,-8.8484,-0.0078,0.0
market_by_season,moneyline / 2022,1136,563,565,8,0.4991,-62.5962,-0.0551,0.0
market_by_season,moneyline / 2023,1140,568,572,0,0.4982,-44.8466,-0.0393,0.0
market_by_season,moneyline / 2024,1140,571,569,0,0.5009,-91.6791,-0.0804,0.0
market_by_season,moneyline / 2025,1140,567,569,4,0.4991,-58.1977,-0.0511,0.0
market_by_season,spread / 2015,1068,514,514,40,0.5,-20.869,-0.0195,0.0
market_by_season,spread / 2016,1066,523,523,20,0.5,-23.1372,-0.0217,0.0
market_by_season,spread / 2017,1058,513,513,32,0.5,-24.6072,-0.0233,0.0
market_by_season,spread / 2018,1068,516,516,36,0.5,-23.9838,-0.0225,0.0
market_by_season,spread / 2019,1068,514,514,40,0.5,-25.7196,-0.0241,0.0
market_by_season,spread / 2020,1076,538,538,0,0.5,-28.7188,-0.0267,0.0
market_by_season,spread / 2021,1140,562,562,16,0.5,-28.186,-0.0247,0.0
market_by_season,spread / 2022,1136,548,548,40,0.5,-28.9034,-0.0254,0.0
market_by_season,spread / 2023,1140,542,542,56,0.5,-48.6484,-0.0427,0.0
market_by_season,spread / 2024,1140,562,562,16,0.5,-48.4272,-0.0425,0.0
market_by_season,spread / 2025,1140,568,568,4,0.5,-51.5318,-0.0452,0.0
market_by_season,total / 2015,534,262,262,10,0.5,-11.9998,-0.0225,0.0
market_by_season,total / 2016,534,266,266,2,0.5,-12.5482,-0.0235,0.0
market_by_season,total / 2017,532,266,266,0,0.5,-13.0177,-0.0245,0.0
market_by_season,total / 2018,534,264,264,6,0.5,-12.5942,-0.0236,0.0
market_by_season,total / 2019,534,266,266,2,0.5,-13.713,-0.0257,0.0
market_by_season,total / 2020,538,264,264,10,0.5,-13.0113,-0.0242,0.0
market_by_season,total / 2021,570,282,282,6,0.5,-16.7675,-0.0294,0.0
market_by_season,total / 2022,568,281,281,6,0.5,-15.9058,-0.028,0.0
market_by_season,total / 2023,570,281,281,8,0.5,-25.3659,-0.0445,0.0
market_by_season,total / 2024,570,282,282,6,0.5,-25.698,-0.0451,0.0
market_by_season,total / 2025,570,285,285,0,0.5,-25.2873,-0.0444,0.0
