season,week,matchup_key,away_team,home_team,spread_pick_side,spread_pick_team,spread_edge_points,favorite_side,ref_key,ref_n,ref_ats_for_our_side,ref_alignment,spread_result,pick_wins,spread_roi
2015,1,PIT@NE,PIT,NE,AWAY,PIT,2.668,HOME,carlcheffers,104,0.5384615384615384,aligned,win,True,0.9009
2015,1,BAL@DEN,BAL,DEN,AWAY,BAL,2.789,HOME,genesteratore,133,0.5413533834586466,aligned,loss,False,-1.0
2015,1,CAR@JAX,CAR,JAX,HOME,JAX,2.224,AWAY,rontorbert,0,,unknown,loss,False,-1.0
2015,1,CLE@NYJ,CLE,NYJ,AWAY,CLE,2.731,HOME,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,1,DET@LAC,DET,LAC,AWAY,DET,2.297,HOME,,0,,unknown,loss,False,-1.0
2015,1,GB@CHI,GB,CHI,HOME,CHI,2.816,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,1,IND@BUF,IND,BUF,HOME,BUF,2.795,AWAY,johnparry,119,0.4873949579831933,neutral,win,True,0.9346
2015,1,KC@HOU,KC,HOU,HOME,HOU,2.746,AWAY,rontorbert,0,,unknown,loss,False,-1.0
2015,1,MIA@WAS,MIA,WAS,HOME,WAS,2.911,AWAY,waltcoleman,218,0.4678899082568807,neutral,loss,False,-1.0
2015,1,NYG@DAL,NYG,DAL,AWAY,NYG,3.109,HOME,billvinovich,88,0.5568181818181819,strong_aligned,win,True,0.9259
2015,1,SEA@LAR,SEA,LAR,HOME,LAR,1.692,AWAY,,0,,unknown,win,True,0.9174
2015,1,MIN@SF,MIN,SF,HOME,SF,4.31,AWAY,edhochuli,234,0.5128205128205128,aligned,win,True,1.21
2015,1,PHI@ATL,PHI,ATL,HOME,ATL,3.661,AWAY,terrymcaulay,213,0.4976525821596244,neutral,win,True,0.9091
2015,2,ARI@CHI,ARI,CHI,HOME,CHI,1.654,AWAY,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,2,BAL@LV,BAL,LV,HOME,LV,1.95,AWAY,,0,,unknown,win,True,1.03
2015,2,DAL@PHI,DAL,PHI,AWAY,DAL,4.814,HOME,tonycorrente,222,0.48198198198198194,neutral,win,True,0.9091
2015,2,DET@MIN,DET,MIN,AWAY,DET,2.326,HOME,billvinovich,88,0.5568181818181819,strong_aligned,loss,False,-1.0
2015,2,HOU@CAR,HOU,CAR,AWAY,HOU,2.93,HOME,cleteblakeman,75,0.45333333333333337,neutral,loss,False,-1.0
2015,2,MIA@JAX,MIA,JAX,HOME,JAX,3.428,AWAY,johnparry,119,0.4873949579831933,neutral,win,True,1.0
2015,2,LAC@CIN,LAC,CIN,AWAY,LAC,1.537,HOME,,0,,unknown,loss,False,-1.0
2015,2,SEA@GB,SEA,GB,AWAY,SEA,2.153,HOME,genesteratore,133,0.5413533834586466,aligned,loss,False,-1.0
2015,2,SF@PIT,SF,PIT,AWAY,SF,2.604,HOME,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,2,LAR@WAS,LAR,WAS,HOME,WAS,3.095,AWAY,,0,,unknown,win,True,1.09
2015,2,TB@NO,TB,NO,AWAY,TB,5.008,HOME,carlcheffers,104,0.5384615384615384,aligned,win,True,0.9091
2015,2,TEN@CLE,TEN,CLE,HOME,CLE,2.524,HOME,terrymcaulay,213,0.5023474178403756,aligned,win,True,0.9524
2015,3,WAS@NYG,WAS,NYG,HOME,NYG,1.507,HOME,rontorbert,0,,unknown,win,True,0.8696
2015,3,ATL@DAL,ATL,DAL,HOME,DAL,2.707,HOME,petermorelli,182,0.489010989010989,neutral,loss,False,-1.0
2015,3,CHI@SEA,CHI,SEA,AWAY,CHI,9.188,HOME,carlcheffers,104,0.5384615384615384,aligned,loss,False,-1.0
2015,3,CIN@BAL,CIN,BAL,HOME,BAL,1.911,HOME,waltanderson,182,0.45604395604395603,neutral,loss,False,-1.0
2015,3,DEN@DET,DEN,DET,HOME,DET,3.801,AWAY,jefftriplette,227,0.4581497797356828,neutral,loss,False,-1.0
2015,3,JAX@NE,JAX,NE,AWAY,JAX,6.42,HOME,waltcoleman,218,0.4678899082568807,neutral,loss,False,-1.0
2015,3,NO@CAR,NO,CAR,AWAY,NO,8.566,HOME,edhochuli,234,0.5128205128205128,aligned,win,True,0.885
2015,3,PHI@NYJ,PHI,NYJ,AWAY,PHI,5.605,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,1.02
2015,3,LAC@MIN,LAC,MIN,AWAY,LAC,1.507,HOME,,0,,unknown,loss,False,-1.0
2015,3,SF@ARI,SF,ARI,AWAY,SF,3.731,HOME,tonycorrente,222,0.48198198198198194,neutral,loss,False,-1.0
2015,3,KC@GB,KC,GB,AWAY,KC,1.942,HOME,johnparry,119,0.4873949579831933,neutral,loss,False,-1.0
2015,4,BAL@PIT,BAL,PIT,HOME,PIT,2.814,AWAY,cleteblakeman,75,0.45333333333333337,neutral,push,False,0.0
2015,4,CAR@TB,CAR,TB,HOME,TB,3.119,AWAY,genesteratore,133,0.5413533834586466,aligned,loss,False,-1.0
2015,4,DAL@NO,DAL,NO,AWAY,DAL,2.463,HOME,bradallen,15,0.4666666666666667,neutral,loss,False,-1.0
2015,4,GB@SF,GB,SF,HOME,SF,5.926,AWAY,terrymcaulay,213,0.4976525821596244,neutral,loss,False,-1.0
2015,4,HOU@ATL,HOU,ATL,AWAY,HOU,3.554,HOME,carlcheffers,104,0.5384615384615384,aligned,loss,False,-1.0
2015,4,JAX@IND,JAX,IND,HOME,IND,3.383,HOME,edhochuli,234,0.48717948717948717,neutral,loss,False,-1.0
2015,4,KC@CIN,KC,CIN,AWAY,KC,3.353,HOME,rontorbert,0,,unknown,loss,False,-1.0
2015,4,MIN@DEN,MIN,DEN,AWAY,MIN,1.94,HOME,waltcoleman,218,0.4678899082568807,neutral,win,True,0.8547
2015,4,NYG@BUF,NYG,BUF,AWAY,NYG,1.751,HOME,johnhussey,0,,unknown,win,True,0.9524
2015,4,NYJ@MIA,NYJ,MIA,HOME,MIA,7.678,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,4,LV@CHI,LV,CHI,HOME,CHI,6.397,AWAY,,0,,unknown,win,True,1.13
2015,4,LAR@ARI,LAR,ARI,AWAY,LAR,4.169,HOME,,0,,unknown,win,True,0.8696
2015,4,DET@SEA,DET,SEA,AWAY,DET,5.782,HOME,tonycorrente,222,0.48198198198198194,neutral,win,True,0.885
2015,5,IND@HOU,IND,HOU,AWAY,IND,3.187,HOME,terrymcaulay,213,0.4976525821596244,neutral,win,True,0.9009
2015,5,ARI@DET,ARI,DET,HOME,DET,7.321,AWAY,genesteratore,133,0.5413533834586466,aligned,loss,False,-1.0
2015,5,BUF@TEN,BUF,TEN,AWAY,BUF,4.057,HOME,waltanderson,182,0.543956043956044,aligned,win,True,0.9346
2015,5,CHI@KC,CHI,KC,AWAY,CHI,3.863,HOME,tonycorrente,222,0.48198198198198194,neutral,win,True,0.8696
2015,5,JAX@TB,JAX,TB,HOME,TB,1.912,HOME,jeromeboger,133,0.49624060150375937,neutral,win,True,0.9346
2015,5,NE@DAL,NE,DAL,HOME,DAL,8.705,AWAY,cleteblakeman,75,0.45333333333333337,neutral,loss,False,-1.0
2015,5,NO@PHI,NO,PHI,AWAY,NO,2.838,HOME,rontorbert,0,,unknown,loss,False,-1.0
2015,5,SEA@CIN,SEA,CIN,AWAY,SEA,4.068,HOME,johnparry,119,0.4873949579831933,neutral,push,False,0.0
2015,5,SF@NYG,SF,NYG,AWAY,SF,4.464,HOME,waltcoleman,218,0.4678899082568807,neutral,win,True,0.9524
2015,5,LAR@GB,LAR,GB,AWAY,LAR,3.355,HOME,,0,,unknown,loss,False,-1.0
2015,5,WAS@ATL,WAS,ATL,AWAY,WAS,2.81,HOME,billvinovich,88,0.5568181818181819,strong_aligned,win,True,0.8333
2015,5,PIT@LAC,PIT,LAC,AWAY,PIT,2.122,HOME,,0,,unknown,win,True,0.9434
2015,6,ATL@NO,ATL,NO,HOME,NO,5.231,AWAY,genesteratore,133,0.5413533834586466,aligned,win,True,0.9091
2015,6,ARI@PIT,ARI,PIT,HOME,PIT,7.648,AWAY,edhochuli,234,0.5128205128205128,aligned,win,True,0.9259
2015,6,CAR@SEA,CAR,SEA,AWAY,CAR,1.573,HOME,terrymcaulay,213,0.4976525821596244,neutral,win,True,0.9524
2015,6,CHI@DET,CHI,DET,HOME,DET,1.662,HOME,waltcoleman,218,0.5321100917431193,aligned,loss,False,-1.0
2015,6,CIN@BUF,CIN,BUF,HOME,BUF,7.089,AWAY,cleteblakeman,75,0.45333333333333337,neutral,loss,False,-1.0
2015,6,DEN@CLE,DEN,CLE,HOME,CLE,1.933,AWAY,craigwrolstad,15,0.6666666666666667,strong_aligned,win,True,0.7874
2015,6,HOU@JAX,HOU,JAX,AWAY,HOU,5.224,HOME,bradallen,15,0.4666666666666667,neutral,win,True,1.2
2015,6,KC@MIN,KC,MIN,AWAY,KC,4.324,HOME,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,6,MIA@TEN,MIA,TEN,AWAY,MIA,3.924,HOME,jefftriplette,227,0.4581497797356828,neutral,win,True,0.9709
2015,6,NE@IND,NE,IND,HOME,IND,9.294,AWAY,tonycorrente,222,0.48198198198198194,neutral,win,True,0.9434
2015,6,LAC@GB,LAC,GB,AWAY,LAC,6.14,HOME,,0,,unknown,win,True,0.9174
2015,6,WAS@NYJ,WAS,NYJ,AWAY,WAS,5.556,HOME,petermorelli,182,0.510989010989011,aligned,loss,False,-1.0
2015,7,SEA@SF,SEA,SF,HOME,SF,4.252,AWAY,waltanderson,182,0.543956043956044,aligned,loss,False,-1.0
2015,7,ATL@TEN,ATL,TEN,HOME,TEN,4.495,AWAY,bradallen,15,0.4666666666666667,neutral,win,True,0.9804
2015,7,CLE@LAR,CLE,LAR,AWAY,CLE,3.732,HOME,,0,,unknown,loss,False,-1.0
2015,7,DAL@NYG,DAL,NYG,AWAY,DAL,2.86,HOME,johnparry,119,0.4873949579831933,neutral,loss,False,-1.0
2015,7,HOU@MIA,HOU,MIA,AWAY,HOU,3.634,HOME,johnhussey,0,,unknown,loss,False,-1.0
2015,7,MIN@DET,MIN,DET,HOME,DET,2.857,HOME,edhochuli,234,0.48717948717948717,neutral,loss,False,-1.0
2015,7,LV@LAC,LV,LAC,HOME,LAC,2.214,HOME,,0,,unknown,loss,False,-1.0
2015,7,PHI@CAR,PHI,CAR,AWAY,PHI,3.216,HOME,craigwrolstad,15,0.6666666666666667,strong_aligned,loss,False,-1.0
2015,7,BAL@ARI,BAL,ARI,AWAY,BAL,10.314,HOME,rontorbert,0,,unknown,win,True,0.9259
2015,8,MIA@NE,MIA,NE,AWAY,MIA,3.407,HOME,petermorelli,182,0.510989010989011,aligned,loss,False,-1.0
2015,8,ARI@CLE,ARI,CLE,HOME,CLE,7.458,AWAY,waltcoleman,218,0.4678899082568807,neutral,loss,False,-1.0
2015,8,GB@DEN,GB,DEN,HOME,DEN,4.204,AWAY,johnparry,119,0.4873949579831933,neutral,win,True,1.0
2015,8,MIN@CHI,MIN,CHI,HOME,CHI,1.698,AWAY,johnhussey,0,,unknown,loss,False,-1.0
2015,8,NYJ@LV,NYJ,LV,HOME,LV,4.088,AWAY,,0,,unknown,win,True,1.09
2015,8,SEA@DAL,SEA,DAL,HOME,DAL,5.152,AWAY,carlcheffers,104,0.5384615384615384,aligned,win,True,0.9434
2015,8,SF@LAR,SF,LAR,AWAY,SF,5.54,HOME,,0,,unknown,loss,False,-1.0
2015,8,TB@ATL,TB,ATL,AWAY,TB,3.716,HOME,rontorbert,0,,unknown,win,True,0.8772
2015,8,TEN@HOU,TEN,HOU,HOME,HOU,3.056,HOME,cleteblakeman,75,0.5466666666666666,aligned,win,True,0.9709
2015,8,IND@CAR,IND,CAR,AWAY,IND,5.64,HOME,billvinovich,88,0.5568181818181819,strong_aligned,win,True,0.9091
2015,9,CLE@CIN,CLE,CIN,AWAY,CLE,9.496,HOME,johnhussey,0,,unknown,loss,False,-1.0
2015,9,ATL@SF,ATL,SF,HOME,SF,10.317,AWAY,tonycorrente,222,0.48198198198198194,neutral,win,True,0.9524
2015,9,DEN@IND,DEN,IND,HOME,IND,5.731,AWAY,bradallen,15,0.4666666666666667,neutral,win,True,0.813
2015,9,JAX@NYJ,JAX,NYJ,AWAY,JAX,5.075,HOME,waltcoleman,218,0.4678899082568807,neutral,win,True,0.9434
2015,9,PHI@DAL,PHI,DAL,HOME,DAL,4.856,AWAY,edhochuli,234,0.5128205128205128,aligned,loss,False,-1.0
2015,9,TEN@NO,TEN,NO,AWAY,TEN,1.774,HOME,jeromeboger,133,0.5037593984962406,aligned,win,True,0.9091
2015,9,WAS@NE,WAS,NE,AWAY,WAS,5.881,HOME,terrymcaulay,213,0.4976525821596244,neutral,loss,False,-1.0
2015,10,BUF@NYJ,BUF,NYJ,AWAY,BUF,5.301,HOME,bradallen,15,0.4666666666666667,neutral,win,True,0.9174
2015,10,ARI@SEA,ARI,SEA,HOME,SEA,2.009,HOME,cleteblakeman,75,0.5466666666666666,aligned,loss,False,-1.0
2015,10,CAR@TEN,CAR,TEN,HOME,TEN,2.872,AWAY,waltanderson,182,0.543956043956044,aligned,loss,False,-1.0
2015,10,CHI@LAR,CHI,LAR,AWAY,CHI,3.934,HOME,,0,,unknown,win,True,0.9804
2015,10,CLE@PIT,CLE,PIT,AWAY,CLE,3.297,HOME,rontorbert,0,,unknown,loss,False,-1.0
2015,10,DET@GB,DET,GB,AWAY,DET,6.95,HOME,johnhussey,0,,unknown,win,True,0.885
2015,10,JAX@BAL,JAX,BAL,HOME,BAL,3.479,HOME,petermorelli,182,0.489010989010989,neutral,loss,False,-1.0
2015,10,KC@DEN,KC,DEN,AWAY,KC,1.757,HOME,genesteratore,133,0.5413533834586466,aligned,win,True,0.885
2015,10,MIA@PHI,MIA,PHI,AWAY,MIA,2.045,HOME,terrymcaulay,213,0.4976525821596244,neutral,win,True,0.9259
