market,threshold_type,threshold,plays,graded,wins,losses,pushes,win_rate,units,roi_per_play,profitable_season_pct
spread,edge_points,0.5,2758,2758,1374,1311,73,0.5117,-29.6726,-0.0108,0.3636
spread,edge_points,1.0,2499,2499,1248,1192,59,0.5115,-29.5319,-0.0118,0.3636
spread,edge_points,1.5,2274,2274,1129,1089,56,0.509,-39.3837,-0.0173,0.3636
spread,edge_points,2.0,2035,2035,1008,976,51,0.5081,-39.3213,-0.0193,0.3636
spread,edge_points,2.5,1839,1839,909,883,47,0.5073,-38.5265,-0.0209,0.3636
spread,edge_points,3.0,1619,1619,809,771,39,0.512,-20.3537,-0.0126,0.3636
spread,edge_points,3.5,1423,1423,717,676,30,0.5147,-10.8382,-0.0076,0.2727
spread,edge_points,4.0,1230,1230,621,585,24,0.5149,-9.7447,-0.0079,0.2727
moneyline,edge_prob,0.01,2875,2875,1003,1863,9,0.35,-130.4039,-0.0454,0.2727
moneyline,edge_prob,0.02,2741,2741,947,1786,8,0.3465,-114.923,-0.0419,0.3636
moneyline,edge_prob,0.03,2570,2570,868,1695,7,0.3387,-117.5421,-0.0457,0.3636
moneyline,edge_prob,0.04,2429,2429,805,1618,6,0.3322,-119.1261,-0.049,0.2727
moneyline,edge_prob,0.05,2305,2305,764,1538,3,0.3319,-96.0302,-0.0417,0.2727
moneyline,edge_prob,0.06,2149,2149,686,1460,3,0.3197,-123.1074,-0.0573,0.2727
moneyline,edge_prob,0.08,1875,1875,572,1301,2,0.3054,-118.6002,-0.0633,0.2727
moneyline,edge_prob,0.1,1610,1610,468,1140,2,0.291,-121.6774,-0.0756,0.3636
moneyline,ev,0.02,2690,2690,915,1767,8,0.3412,-118.1009,-0.0439,0.3636
moneyline,ev,0.05,2505,2505,829,1669,7,0.3319,-116.1227,-0.0464,0.4545
moneyline,ev,0.08,2325,2325,750,1570,5,0.3233,-107.4565,-0.0462,0.2727
moneyline,ev,0.1,2207,2207,695,1509,3,0.3153,-110.1673,-0.0499,0.2727
moneyline,ev,0.15,1954,1954,588,1363,3,0.3014,-103.4503,-0.0529,0.2727
moneyline,ev,0.2,1748,1748,499,1247,2,0.2858,-115.8986,-0.0663,0.2727
