week,season,game,recommendation,classification,bet_type,predicted_side,actual_result,won,confidence,total_score,sharp_score,referee_score,weather_score,injury_score,situational_score,line_at_recommendation,closing_line,line_movement,edge_identified,recommendation_date,result_date,final_score,spread_result,total_result,push,actually_bet,units_bet,dollar_amount,line_actually_bet,,,
11,2025,Seahawks at Rams,✅ STRONG PLAY: Seahawks +3 + OVER 48.5,🔵 BLUE CHIP,spread,away,Seattle Seahawks 19-21 Los Angeles Rams,TRUE,9,11,0,0,0,0,0,3,,0,0,2025-11-26T01:56:12.627095,2025-11-26T01:56:13.037286,19-21,Away Margin: -2 vs Line: +3,,FALSE,,,,,,,
11,2025,Seahawks at Rams,✅ STRONG PLAY: Seahawks +3 + OVER 48.5,🔵 BLUE CHIP,total,over,Seattle Seahawks 19-21 Los Angeles Rams,FALSE,9,11,0,0,0,0,0,O48.5,,0,0,2025-11-26T01:56:12.627106,2025-11-26T01:56:13.038218,19-21,,Total 40 vs O48.5,FALSE,,,,,,,
11,2025,Chiefs at Broncos,✅ STRONG PLAY: Chiefs -3.5,🔵 BLUE CHIP,spread,away,Kansas City Chiefs 19-22 Denver Broncos,FALSE,9,12,0,0,0,0,0,-3.5,,0,0,2025-11-26T01:56:12.627120,2025-11-26T01:56:13.038672,19-22,Away Margin: -3 vs Line: -3.5,,FALSE,,,,,,,
11,2025,Bears at Vikings,🎯 TARGETED PLAY: OVER 48,🎯 TARGETED PLAY,total,over,Chicago Bears 19-17 Minnesota Vikings,FALSE,7,12,0,0,0,0,0,O48,,0,0,2025-11-26T01:56:12.627134,2025-11-26T01:56:13.039061,19-17,,Total 36 vs O48.0,FALSE,,,,,,,
11,2025,Lions at Eagles,🎯 TARGETED PLAY: Lions +2.5,🎯 TARGETED PLAY,spread,away,Detroit Lions 9-16 Philadelphia Eagles,FALSE,7,7,0,0,0,0,0,2.5,,0,0,2025-11-26T01:56:12.627146,2025-11-26T01:56:13.039445,16-Sep,Away Margin: -7 vs Line: +2.5,,FALSE,,,,,,,
11,2025,Cowboys at Raiders,🎯 TARGETED PLAY: OVER 49.5,🎯 TARGETED PLAY,total,over,Dallas Cowboys 33-16 Las Vegas Raiders,FALSE,7,9,0,0,0,0,0,O49.5,,0,0,2025-11-26T01:56:12.627157,2025-11-26T01:56:13.039874,33-16,,Total 49 vs O49.5,FALSE,,,,,,,
11,2025,Packers at Giants,👀 LEAN: Packers -7 (proceed with caution),📊 LEAN,spread,away,Green Bay Packers 27-20 New York Giants,FALSE,5,3,0,0,0,0,0,-7,,0,0,2025-11-26T01:56:12.627169,2025-11-26T01:56:13.040152,27-20,Away Margin: +7 vs Line: -7,,TRUE,,,,,,,
11,2025,Bengals at Steelers,👀 LEAN: Steelers -5.5 (proceed with caution),📊 LEAN,spread,home,Cincinnati Bengals 12-34 Pittsburgh Steelers,TRUE,5,3,0,0,0,0,0,-5.5,,0,0,2025-11-26T01:56:12.627181,2025-11-26T01:56:13.040374,Dec-34,Home Margin: +22 vs Line: -5.5,,FALSE,,,,,,,
11,2025,Commanders vs. Dolphins,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Washington Commanders 13-16 Miami Dolphins,FALSE,3,1,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627195,2025-11-26T01:56:13.040619,13-16,,,FALSE,,,,,,,
11,2025,Panthers at Falcons,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Carolina Panthers 30-27 Atlanta Falcons,FALSE,3,0,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627209,2025-11-26T01:56:13.040835,30-27,,,FALSE,,,,,,,
11,2025,Buccaneers at Bills,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Tampa Bay Buccaneers 32-44 Buffalo Bills,FALSE,3,-1,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627223,2025-11-26T01:56:13.041043,32-44,,,FALSE,,,,,,,
11,2025,Chargers at Jaguars,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Los Angeles Chargers 6-35 Jacksonville Jaguars,FALSE,3,2,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627235,2025-11-26T01:56:13.041263,Jun-35,,,FALSE,,,,,,,
11,2025,Texans at Titans,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Houston Texans 16-13 Tennessee Titans,FALSE,3,1,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627247,2025-11-26T01:56:13.041493,16-13,,,FALSE,,,,,,,
11,2025,49ers at Cardinals,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,San Francisco 49ers 41-22 Arizona Cardinals,FALSE,3,1,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627259,2025-11-26T01:56:13.041793,41-22,,,FALSE,,,,,,,
11,2025,Ravens at Browns,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Baltimore Ravens 23-16 Cleveland Browns,FALSE,3,0,0,0,0,0,0,,,0,0,2025-11-26T01:56:12.627271,2025-11-26T01:56:13.042200,23-16,,,FALSE,,,,,,,
12,2025,Patriots at Bengals,🎯 TARGETED PLAY: OVER 50,🎯 TARGETED PLAY,total,over,New England Patriots 26-20 Cincinnati Bengals,FALSE,7,5,0,0,0,0,0,O50,,0,0,2025-11-26T01:56:45.700810,2025-11-26T01:56:45.930644,26-20,,Total 46 vs O50.0,FALSE,,,,,,,
12,2025,Vikings at Packers,🎯 TARGETED PLAY: OVER 41.5,🎯 TARGETED PLAY,total,over,Minnesota Vikings 6-23 Green Bay Packers,FALSE,7,5,0,0,0,0,0,O41.5,,0,0,2025-11-26T01:56:45.700835,2025-11-26T01:56:45.930921,23-Jun,,Total 29 vs O41.5,FALSE,,,,,,,
12,2025,Seahawks at Titans,🎯 TARGETED PLAY: OVER 40.5,🎯 TARGETED PLAY,total,over,Seattle Seahawks 30-24 Tennessee Titans,TRUE,4,6,0,0,0,0,0,O40.5,,0,0,2025-11-26T01:56:45.700847,2025-11-26T01:56:45.931155,30-24,,Total 54 vs O40.5,FALSE,,,,,,,
12,2025,Bills at Texans,👀 LEAN: Bills -5.5 (proceed with caution),📊 LEAN,spread,away,Buffalo Bills 19-23 Houston Texans,FALSE,5,6,0,0,0,0,0,-5.5,,0,0,2025-11-26T01:56:45.700861,2025-11-26T01:56:45.931367,19-23,Away Margin: -4 vs Line: -5.5,,FALSE,,,,,,,
12,2025,Giants at Lions,👀 LEAN: Lions -11 (proceed with caution),📊 LEAN,spread,home,New York Giants 27-34 Detroit Lions,FALSE,5,4,0,0,0,0,0,-11,,0,0,2025-11-26T01:56:45.700873,2025-11-26T01:56:45.931583,27-34,Home Margin: +7 vs Line: -11,,FALSE,,,,,,,
12,2025,Jaguars at Cardinals,👀 LEAN: Cardinals +2.5 (proceed with caution),📊 LEAN,spread,home,Jacksonville Jaguars 27-24 Arizona Cardinals,FALSE,5,3,0,0,0,0,0,2.5,,0,0,2025-11-26T01:56:45.700884,2025-11-26T01:56:45.931917,27-24,Home Margin: -3 vs Line: +2.5,,FALSE,,,,,,,
12,2025,Eagles at Cowboys,👀 LEAN: Cowboys +3 (proceed with caution),📊 LEAN,spread,home,Philadelphia Eagles 21-24 Dallas Cowboys,TRUE,5,5,0,0,0,0,0,3,,0,0,2025-11-26T01:56:45.700895,2025-11-26T01:56:45.932156,21-24,Home Margin: +3 vs Line: +3,,FALSE,,,,,,,
12,2025,Steelers at Bears,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Pittsburgh Steelers 28-31 Chicago Bears,FALSE,3,2,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700912,2025-11-26T01:56:45.932361,28-31,,,FALSE,,,,,,,
12,2025,Colts at Chiefs,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Indianapolis Colts 20-23 Kansas City Chiefs,FALSE,3,2,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700926,2025-11-26T01:56:45.932562,20-23,,,FALSE,,,,,,,
12,2025,Browns at Raiders,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Cleveland Browns 24-10 Las Vegas Raiders,FALSE,3,1,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700938,2025-11-26T01:56:45.932782,24-10,,,FALSE,,,,,,,
12,2025,Falcons at Saints,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,Atlanta Falcons 24-10 New Orleans Saints,FALSE,3,1,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700950,2025-11-26T01:56:45.932993,24-10,,,FALSE,,,,,,,
12,2025,Jets at Ravens,❌ AVOID: Multiple negative factors align,❌ FADE,unknown,unknown,New York Jets 10-23 Baltimore Ravens,FALSE,2,-4,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700961,2025-11-26T01:56:45.933197,23-Oct,,,FALSE,,,,,,,
12,2025,Buccaneers at Rams,❌ AVOID: Multiple negative factors align,❌ FADE,unknown,unknown,Tampa Bay Buccaneers 7-34 Los Angeles Rams,FALSE,2,-4,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700972,2025-11-26T01:56:45.933405,Jul-34,,,FALSE,,,,,,,
12,2025,Panthers at 49ers,❌ AVOID: Multiple negative factors align,❌ FADE,unknown,unknown,Carolina Panthers 9-20 San Francisco 49ers,FALSE,2,-4,0,0,0,0,0,,,0,0,2025-11-26T01:56:45.700982,2025-11-26T01:56:45.933612,20-Sep,,,FALSE,,,,,,,
13,2025,Cardinals @ Buccaneers,🎯 TARGETED PLAY: Cardinals +2.5,🎯 TARGETED PLAY,spread,away,Arizona Cardinals 17-20 Tampa Bay Buccaneers,FALSE,9.12,9.12,0,0,0,0,0,2.5,,0,0,2025-11-29T17:19:53.708859,2025-12-02T13:57:26.629465,17-20,Away Margin: -3 vs Line: +2.5,,FALSE,,,,,,,
13,2025,Jaguars @ Titans,🎯 TARGETED PLAY: UNDER 41.5,🎯 TARGETED PLAY,total,under,Jacksonville Jaguars 25-3 Tennessee Titans,TRUE,9.1,9.1,0,0,0,0,0,U41.5,,0,0,2025-11-29T17:19:53.708891,2025-12-02T13:57:26.629701,25-3,,Total 28 vs U41.5,FALSE,,,,,,,
13,2025,Rams @ Panthers,🎯 TARGETED PLAY: Rams -10,🎯 TARGETED PLAY,spread,away,Los Angeles Rams 28-31 Carolina Panthers,FALSE,8.4,8.4,0,0,0,0,0,-10,,0,0,2025-11-29T17:19:53.708913,2025-12-02T13:57:26.629924,28-31,Away Margin: -3 vs Line: -10,,FALSE,,,,,,,
13,2025,Broncos @ Commanders,🎯 TARGETED PLAY: OVER 43,🎯 TARGETED PLAY,total,over,Denver Broncos 27-26 Washington Commanders,TRUE,7,7,0,0,0,0,0,O43,,0,0,2025-11-29T17:19:53.708930,2025-12-02T13:57:26.630167,27-26,,Total 53 vs O43.0,FALSE,,,,,,,
13,2025,Packers @ Lions,🎯 TARGETED PLAY: Packers +3,🎯 TARGETED PLAY,spread,away,Green Bay Packers 31-24 Detroit Lions,TRUE,6.5,6.5,0,0,0,0,0,3,,0,0,2025-11-29T17:19:53.708946,2025-12-02T13:57:26.630376,31-24,Away Margin: +7 vs Line: +3,,FALSE,,,,,,,
13,2025,Bengals @ Ravens,👀 LEAN: Bengals +7 (proceed with caution),📊 LEAN,spread,away,Cincinnati Bengals 32-14 Baltimore Ravens,TRUE,6.699999999999999,6.699999999999999,0,0,0,0,0,7,,0,0,2025-11-29T17:19:53.708966,2025-12-02T13:57:26.630580,32-14,Away Margin: +18 vs Line: +7,,FALSE,,,,,,,
13,2025,Saints @ Dolphins,👀 LEAN: Dolphins -5.5 (proceed with caution),📊 LEAN,spread,home,New Orleans Saints 17-21 Miami Dolphins,FALSE,6.08,6.08,0,0,0,0,0,-5.5,,0,0,2025-11-29T17:19:53.708985,2025-12-02T13:57:26.630789,17-21,Home Margin: +4 vs Line: -5.5,,FALSE,,,,,,,
13,2025,Raiders @ Chargers,👀 LEAN: Chargers -9.5 (proceed with caution),📊 LEAN,spread,home,Las Vegas Raiders 14-31 Los Angeles Chargers,TRUE,5.699999999999999,5.699999999999999,0,0,0,0,0,-9.5,,0,0,2025-11-29T17:19:53.709003,2025-12-02T13:57:26.631089,14-31,Home Margin: +17 vs Line: -9.5,,FALSE,,,,,,,
13,2025,Bills @ Steelers,👀 LEAN: Steelers +3.5 (proceed with caution),📊 LEAN,spread,home,Buffalo Bills 26-7 Pittsburgh Steelers,FALSE,4.7,4.7,0,0,0,0,0,3.5,,0,0,2025-11-29T17:19:53.709022,2025-12-02T13:57:26.631304,26-7,Home Margin: -19 vs Line: +3.5,,FALSE,,,,,,,
13,2025,Chiefs @ Cowboys,👀 LEAN: Cowboys +3 (proceed with caution),📊 LEAN,spread,home,Kansas City Chiefs 28-31 Dallas Cowboys,TRUE,4.3,4.3,0,0,0,0,0,3,,0,0,2025-11-29T17:19:53.709040,2025-12-02T13:57:26.631504,28-31,Home Margin: +3 vs Line: +3,,FALSE,,,,,,,
13,2025,Bears @ Eagles,👀 LEAN: No clear spread edge (proceed with caution),📊 LEAN,unknown,unknown,Chicago Bears 24-15 Philadelphia Eagles,FALSE,3.6,3.6,0,0,0,0,0,,,0,0,2025-11-29T17:19:53.709064,2025-12-02T13:57:26.631699,24-15,,,FALSE,,,,,,,
13,2025,49ers @ Browns,"⚠️ PASS: Mixed signals, no clear edge identified",⚠️ LANDMINE,unknown,unknown,San Francisco 49ers 26-8 Cleveland Browns,FALSE,2.6,2.6,0,0,0,0,0,,,0,0,2025-11-29T17:19:53.709089,2025-12-02T13:57:26.631901,26-8,,,FALSE,,,,,,,
