matchup_key,away_team,home_team,away_spread_line,home_spread_line,away_moneyline,home_moneyline,total_line,source,source_book
LAC@BUF,LAC,BUF,7.0,-7.0,250.0,-310.0,50.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
CAR@CLE,CAR,CLE,-2.5,2.5,-148.0,124.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
CIN@PIT,CIN,PIT,-3.5,3.5,-175.0,145.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
NYJ@DET,NYJ,DET,6.5,-6.5,245.0,-305.0,47.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
HOU@IND,HOU,IND,-1.5,1.5,-125.0,105.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
NE@JAX,NE,JAX,3.0,-3.0,130.0,-155.0,45.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
KC@MIA,KC,MIA,-10.5,10.5,-575.0,425.0,45.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
TEN@NYG,TEN,NYG,2.5,-2.5,110.0,-130.0,38.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
SEA@WAS,SEA,WAS,-7.5,7.5,-355.0,280.0,40.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
ARI@SF,ARI,SF,8.5,-8.5,340.0,-440.0,47.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
MIN@TB,MIN,TB,-1.5,1.5,-120.0,100.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
BAL@DAL,BAL,DAL,-3.5,3.5,-175.0,145.0,53.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
LV@NO,LV,NO,3.0,-3.0,154.0,-185.0,43.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
LAR@DEN,LAR,DEN,-2.5,2.5,-135.0,114.0,43.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
PHI@CHI,PHI,CHI,-4.5,4.5,-225.0,185.0,41.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
PIT@CLE,PIT,CLE,-3.0,3.0,-148.0,124.0,38.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
IND@WAS,IND,WAS,-4.5,4.5,-205.0,170.0,46.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
ARI@NYG,ARI,NYG,2.5,-2.5,114.0,-135.0,43.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
TEN@BAL,TEN,BAL,10.5,-10.5,440.0,-600.0,44.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
NE@BUF,NE,BUF,5.5,-5.5,205.0,-250.0,49.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
NYJ@CHI,NYJ,CHI,3.0,-3.0,136.0,-162.0,43.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
JAX@CIN,JAX,CIN,3.0,-3.0,136.0,-162.0,49.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
DAL@HOU,DAL,HOU,3.0,-3.0,136.0,-162.0,47.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
LAR@PHI,LAR,PHI,-1.5,1.5,-135.0,114.0,45.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
MIA@MIN,MIA,MIN,10.5,-10.5,500.0,-700.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
DEN@SF,DEN,SF,3.0,-3.0,142.0,-170.0,45.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
KC@LV,KC,LV,-6.0,6.0,-258.0,210.0,45.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
LAC@SEA,LAC,SEA,6.5,-6.5,230.0,-285.0,42.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
DET@CAR,DET,CAR,-3.0,3.0,-155.0,130.0,49.5,/home/runner/work/nfl-betting-automation/nfl-betting-automation/data/current_odds_api.json,DraftKings
