season,week,matchup_key,away_tla,home_tla,best_market,best_side,best_score,pythagorean_side,pythagorean_wins_delta,market_expectation_side,vegas_win_total_delta,value_gap_side,pythagorean_vs_vegas_delta,overperformance_side,actual_vs_pythagorean_delta,games_tracked_min,sample_warning
2025,18,ARI@LAR,ARI,LAR,,,,HOME,-10.58,HOME,-1.0,HOME,-9.58,NEUTRAL,-0.38,1,True
2025,18,BAL@PIT,BAL,PIT,,,,HOME,-1.6,AWAY,3.0,HOME,-4.6,HOME,-0.9,1,True
2025,18,CAR@TB,CAR,TB,,,,HOME,-2.66,HOME,-3.0,NEUTRAL,0.34,HOME,-0.84,1,True
2025,18,CLE@CIN,CLE,CIN,,,,AWAY,2.12,HOME,-4.0,AWAY,6.12,AWAY,0.88,1,True
2025,18,DAL@NYG,DAL,NYG,,,,HOME,-11.48,AWAY,2.0,HOME,-13.48,NEUTRAL,-0.32,1,True
2025,18,DET@CHI,DET,CHI,,,,AWAY,3.42,AWAY,2.0,AWAY,1.42,AWAY,0.8,1,True
2025,18,GB@MIN,GB,MIN,,,,HOME,-16.36,AWAY,1.0,HOME,-17.36,NEUTRAL,-0.04,1,True
2025,18,IND@HOU,IND,HOU,,,,HOME,-4.64,HOME,-2.0,HOME,-2.64,HOME,-0.72,1,True
2025,18,KC@LV,KC,LV,,,,HOME,-3.08,AWAY,5.0,HOME,-8.08,HOME,-0.82,1,True
2025,18,LAC@DEN,LAC,DEN,,,,HOME,-16.58,NEUTRAL,0.0,HOME,-16.58,NEUTRAL,-0.02,1,True
2025,18,MIA@NE,MIA,NE,,,,HOME,-15.62,AWAY,1.0,HOME,-16.62,NEUTRAL,-0.08,1,True
2025,18,NO@ATL,NO,ATL,,,,HOME,-2.22,HOME,-1.0,HOME,-1.22,HOME,-0.86,1,True
2025,18,NYJ@BUF,NYJ,BUF,,,,HOME,-16.0,HOME,-6.0,HOME,-10.0,NEUTRAL,-0.06,1,True
2025,18,SEA@SF,SEA,SF,,,,AWAY,15.98,HOME,-3.0,AWAY,18.98,NEUTRAL,0.06,1,True
2025,18,TEN@JAX,TEN,JAX,,,,HOME,-16.5,HOME,-2.0,HOME,-14.5,NEUTRAL,-0.02,1,True
2025,18,WSH@PHI,WAS,PHI,,,,AWAY,6.58,HOME,-2.0,AWAY,8.58,AWAY,0.62,1,True
