season,season_type,week,matchup_key,away_tla,home_tla,stage,analysis_available,best_edge_market,best_edge_side,best_edge_score,best_edge_status,best_edge_label,engine_recommendation,spread_side,spread_score,spread_threshold,spread_status,spread_cleared_threshold,spread_blocked,spread_blockers,spread_signal_sources,spread_conflict_sources,total_side,total_score,total_threshold,total_status,total_cleared_threshold,total_blocked,total_blockers,total_signal_sources,total_conflict_sources,moneyline_status,moneyline_side,moneyline_line,moneyline_away_odds,moneyline_home_odds,moneyline_away_fair_prob,moneyline_home_fair_prob,moneyline_away_model_prob,moneyline_home_model_prob,moneyline_away_edge,moneyline_home_edge,moneyline_away_ev,moneyline_home_ev,moneyline_selected_ev,moneyline_selected_edge,moneyline_market_hold,division_game,conference_game,away_division,home_division,pythagorean_side,market_expectation_side,value_gap_side,overperformance_side,pythagorean_pick_alignment,market_expectation_pick_alignment,value_gap_pick_alignment,overperformance_pick_alignment,pythagorean_wins_delta,vegas_win_total_delta,pythagorean_vs_vegas_delta,actual_vs_pythagorean_delta,expectation_games_tracked_min,expectation_sample_warning,source_health_status,data_quality_status,away_score,home_score,straight_up_winner_side,final_margin_away_minus_home,final_total,bet_result,bet_margin_to_line,bet_line,result_source
2025,REG,18,ARI@LAR,ARI,LAR,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC West,NFC West,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-10.58,-1.0,-9.58,-0.38,1,true,,,20,37,HOME,-17,57,,,,
2025,REG,18,BAL@PIT,BAL,PIT,initial,true,,,,pass,📊 LEAN,👀 LEAN: Baltimore Ravens -3.5 (proceed with caution),,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC North,AFC North,HOME,AWAY,HOME,HOME,no_pick,no_pick,no_pick,no_pick,-1.6,3.0,-4.6,-0.9,1,true,,,24,26,HOME,-2,50,,,,
2025,REG,18,CAR@TB,CAR,TB,initial,true,,,,pass,📊 LEAN,👀 LEAN: Carolina Panthers +2.5 (proceed with caution),,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC South,NFC South,HOME,HOME,NEUTRAL,HOME,no_pick,no_pick,no_pick,no_pick,-2.66,-3.0,0.34,-0.84,1,true,,,14,16,HOME,-2,30,,,,
2025,REG,18,CLE@CIN,CLE,CIN,final,true,,,,pass,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Cleveland Browns +7.5,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC North,AFC North,AWAY,HOME,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,2.12,-4.0,6.12,0.88,1,true,,,20,18,AWAY,2,38,,,,
2025,REG,18,DAL@NYG,DAL,NYG,final,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC East,NFC East,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-11.48,2.0,-13.48,-0.32,1,true,,,17,34,HOME,-17,51,,,,
2025,REG,18,DET@CHI,DET,CHI,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC North,NFC North,AWAY,AWAY,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,3.42,2.0,1.42,0.8,1,true,,,19,16,AWAY,3,35,,,,
2025,REG,18,GB@MIN,GB,MIN,initial,true,,,,pass,❌ FADE,❌ AVOID: Multiple negative factors align,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC North,NFC North,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-16.36,1.0,-17.36,-0.04,1,true,,,3,16,HOME,-13,19,,,,
2025,REG,18,IND@HOU,IND,HOU,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC South,AFC South,HOME,HOME,HOME,HOME,no_pick,no_pick,no_pick,no_pick,-4.64,-2.0,-2.64,-0.72,1,true,,,30,38,HOME,-8,68,,,,
2025,REG,18,KC@LV,KC,LV,final,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC West,AFC West,HOME,AWAY,HOME,HOME,no_pick,no_pick,no_pick,no_pick,-3.08,5.0,-8.08,-0.82,1,true,,,12,14,HOME,-2,26,,,,
2025,REG,18,LAC@DEN,LAC,DEN,initial,true,,,,pass,❌ FADE,❌ AVOID: Multiple negative factors align,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC West,AFC West,HOME,NEUTRAL,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-16.58,0.0,-16.58,-0.02,1,true,,,3,19,HOME,-16,22,,,,
