key,season,season_type,week,team,opponent,home_away,matchup_key,score_for,score_against,latest_stage,analysis_available,classification,pick_market,pick_side,pick_on_team,selector_score,data_quality_status,source_health_status
ARI:PREWPRE1,2026,PRE,PRE1,ARI,CAR,home,CAR@ARI,30,33,,False,,,,False,,,
LV:PREWPRE1,2026,PRE,PRE1,LV,ARI,home,ARI@LV,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
CAR:PREWPRE1,2026,PRE,PRE1,CAR,@ARI,away,CAR@ARI,33,30,,False,,,,False,,,
BUF:PREWPRE1,2026,PRE,PRE1,BUF,CAR,home,CAR@BUF,,,initial,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
CLE:PREWPRE1,2026,PRE,PRE1,CLE,@CHI,away,CLE@CHI,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
CHI:PREWPRE1,2026,PRE,PRE1,CHI,CLE,home,CLE@CHI,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
DAL:PREWPRE1,2026,PRE,PRE1,DAL,@SEA,away,DAL@SEA,,,initial,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
SEA:PREWPRE1,2026,PRE,PRE1,SEA,DAL,home,DAL@SEA,,,initial,True,❌ FADE,none,,False,,DEGRADED,DEGRADED
DEN:PREWPRE1,2026,PRE,PRE1,DEN,@ATL,away,DEN@ATL,,,initial,True,📊 LEAN,spread,AWAY,True,3,DEGRADED,DEGRADED
ATL:PREWPRE1,2026,PRE,PRE1,ATL,DEN,home,DEN@ATL,,,initial,True,📊 LEAN,spread,AWAY,False,3,DEGRADED,DEGRADED
DET:PREWPRE1,2026,PRE,PRE1,DET,@CIN,away,DET@CIN,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
CIN:PREWPRE1,2026,PRE,PRE1,CIN,DET,home,DET@CIN,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
GB:PREWPRE1,2026,PRE,PRE1,GB,@PIT,away,GB@PIT,,,initial,True,📊 LEAN,spread,HOME,False,3,DEGRADED,DEGRADED
PIT:PREWPRE1,2026,PRE,PRE1,PIT,GB,home,GB@PIT,,,initial,True,📊 LEAN,spread,HOME,True,3,DEGRADED,DEGRADED
IND:PREWPRE1,2026,PRE,PRE1,IND,@NE,away,IND@NE,,,initial,True,⚠️ PASS,none,,False,,DEGRADED,DEGRADED
