game_id,season,game_type,week,gameday,away_team,home_team,away_score,home_score,spread_line,total_line,actual_total,div_game,referee,favorite_side,favorite_ats,favorite_cover_margin,ou_result
2000_01_ARI_NYG,2000,REG,1,2000-09-03,ARI,NYG,16.0,21.0,6.5,40.0,37.0,1,Bill Carollo,HF,loss,-1.5,under
2000_01_BAL_PIT,2000,REG,1,2000-09-03,BAL,PIT,16.0,0.0,-2.5,37.0,16.0,1,Phil Luckett,AF,win,13.5,under
2000_01_CAR_WAS,2000,REG,1,2000-09-03,CAR,WAS,17.0,20.0,10.5,47.5,37.0,0,Bob McElwee,HF,loss,-7.5,under
2000_01_CHI_MIN,2000,REG,1,2000-09-03,CHI,MIN,27.0,30.0,4.5,46.5,57.0,1,Ed Hochuli,HF,loss,-1.5,over
2000_01_DEN_STL,2000,REG,1,2000-09-04,DEN,STL,36.0,41.0,6.5,48.5,77.0,0,Gerry Austin,HF,loss,-1.5,over
2000_01_IND_KC,2000,REG,1,2000-09-03,IND,KC,27.0,14.0,-3.5,44.0,41.0,0,Larry Nemmers,AF,win,9.5,under
2000_01_JAX_CLE,2000,REG,1,2000-09-03,JAX,CLE,27.0,7.0,-10.5,38.5,34.0,1,Bernie Kukar,AF,win,9.5,under
2000_01_NYJ_GB,2000,REG,1,2000-09-03,NYJ,GB,20.0,16.0,2.5,44.0,36.0,0,Mike Carey,HF,loss,-6.5,under
2000_01_PHI_DAL,2000,REG,1,2000-09-03,PHI,DAL,41.0,14.0,6.0,39.5,55.0,1,Tom White,HF,loss,-33.0,over
2000_01_SD_OAK,2000,REG,1,2000-09-03,SD,OAK,6.0,9.0,6.5,39.5,15.0,1,Ron Blum,HF,loss,-3.5,under
2000_01_SEA_MIA,2000,REG,1,2000-09-03,SEA,MIA,0.0,23.0,2.0,36.0,23.0,0,Ron Winter,HF,win,21.0,under
2000_01_SF_ATL,2000,REG,1,2000-09-03,SF,ATL,28.0,36.0,6.5,46.5,64.0,1,Walt Coleman,HF,win,1.5,over
2000_01_TB_NE,2000,REG,1,2000-09-03,TB,NE,21.0,16.0,-3.0,36.0,37.0,0,Jeff Triplette,AF,win,2.0,over
2000_01_TEN_BUF,2000,REG,1,2000-09-03,TEN,BUF,13.0,16.0,1.0,40.0,29.0,0,Johnny Grier,HF,win,2.0,under
2000_02_ATL_DEN,2000,REG,2,2000-09-10,ATL,DEN,14.0,42.0,4.5,47.0,56.0,0,Tony Corrente,HF,win,23.5,over
2000_02_CAR_SF,2000,REG,2,2000-09-10,CAR,SF,38.0,22.0,-3.0,48.0,60.0,1,Ed Hochuli,AF,win,13.0,over
2000_02_CHI_TB,2000,REG,2,2000-09-10,CHI,TB,0.0,41.0,7.0,36.5,41.0,1,Bernie Kukar,HF,win,34.0,over
2000_02_CLE_CIN,2000,REG,2,2000-09-10,CLE,CIN,24.0,7.0,6.0,40.5,31.0,1,Phil Luckett,HF,loss,-23.0,under
2000_02_DAL_ARI,2000,REG,2,2000-09-10,DAL,ARI,31.0,32.0,3.0,38.5,63.0,1,Ron Blum,HF,loss,-2.0,over
2000_02_GB_BUF,2000,REG,2,2000-09-10,GB,BUF,18.0,27.0,6.0,38.5,45.0,0,Walt Coleman,HF,win,3.0,over
2000_02_JAX_BAL,2000,REG,2,2000-09-10,JAX,BAL,36.0,39.0,3.0,36.5,75.0,1,Johnny Grier,HF,push,0.0,over
2000_02_KC_TEN,2000,REG,2,2000-09-10,KC,TEN,14.0,17.0,8.5,38.5,31.0,0,Mike Carey,HF,loss,-5.5,under
2000_02_MIA_MIN,2000,REG,2,2000-09-10,MIA,MIN,7.0,13.0,3.0,42.5,20.0,0,Gerry Austin,HF,win,3.0,under
2000_02_NE_NYJ,2000,REG,2,2000-09-11,NE,NYJ,19.0,20.0,6.5,39.5,39.0,1,Tom White,HF,loss,-5.5,under
2000_02_NO_SD,2000,REG,2,2000-09-10,NO,SD,28.0,27.0,5.5,35.5,55.0,0,Dick Hantak,HF,loss,-6.5,over
2000_02_NYG_PHI,2000,REG,2,2000-09-10,NYG,PHI,33.0,18.0,3.0,39.5,51.0,1,Ron Winter,HF,loss,-18.0,over
2000_02_OAK_IND,2000,REG,2,2000-09-10,OAK,IND,38.0,31.0,6.5,44.0,69.0,0,Bob McElwee,HF,loss,-13.5,over
2000_02_STL_SEA,2000,REG,2,2000-09-10,STL,SEA,37.0,34.0,-7.5,46.0,71.0,0,Larry Nemmers,AF,loss,-4.5,over
2000_02_WAS_DET,2000,REG,2,2000-09-10,WAS,DET,10.0,15.0,-5.5,43.0,25.0,0,Jeff Triplette,AF,loss,-10.5,under
2000_03_ATL_CAR,2000,REG,3,2000-09-17,ATL,CAR,15.0,10.0,6.0,48.5,25.0,1,Larry Nemmers,HF,loss,-11.0,under
2000_03_BAL_MIA,2000,REG,3,2000-09-17,BAL,MIA,6.0,19.0,-1.5,34.5,25.0,0,Jeff Triplette,AF,loss,-14.5,under
2000_03_BUF_NYJ,2000,REG,3,2000-09-17,BUF,NYJ,14.0,27.0,1.0,38.5,41.0,1,Ron Winter,HF,win,12.0,over
2000_03_CIN_JAX,2000,REG,3,2000-09-17,CIN,JAX,0.0,13.0,13.0,41.0,13.0,1,Ed Hochuli,HF,push,0.0,under
2000_03_DAL_WAS,2000,REG,3,2000-09-18,DAL,WAS,27.0,21.0,10.5,44.0,48.0,1,Bill Carollo,HF,loss,-16.5,over
