su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct,sample_size,source,note,query,referee,favorite,game_type
31-21,59.6%,23-28-1,45.1%,24-28,46.2%,52,nflverse schedules,,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018,Adrian Hill,HF,NDIV
15-13,53.6%,11-17,39.3%,16-12,57.1%,28,nflverse schedules,,'Alex Kemp' in officials and HF and DIV and REG and season>=2018,Alex Kemp,HF,DIV
33-12,73.3%,21-22-2,48.8%,26-19,57.8%,45,nflverse schedules,,'Brad Allen' in officials and HF and C and REG and season>=2018,Brad Allen,HF,C
35-16,68.6%,26-23-2,53.1%,28-23,54.9%,51,nflverse schedules,,'John Hussey' in officials and HF and NDIV and REG and season>=2018,John Hussey,HF,NDIV
21-6,77.8%,17-10,63.0%,10-17,37.0%,27,nflverse schedules,,'Alan Eck' in officials and HF and C and REG and season>=2018,Alan Eck,HF,C
7-2,77.8%,6-3,66.7%,5-4,55.6%,9,nflverse schedules,,'Alex Moore' in officials and HF and C and REG and season>=2018,Alex Moore,HF,C
25-19,56.8%,17-27,38.6%,23-21,52.3%,44,nflverse schedules,,'Scott Novak' in officials and HF and C and REG and season>=2018,Scott Novak,HF,C
34-21,61.8%,24-31,43.6%,23-32,41.8%,55,nflverse schedules,,'Craig Wrolstad' in officials and HF and C and REG and season>=2018,Craig Wrolstad,HF,C
23-17,57.5%,18-21-1,46.2%,24-16,60.0%,40,nflverse schedules,,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018,Brad Rogers,HF,NDIV
17-11,60.7%,9-16-3,36.0%,10-17-1,37.0%,28,nflverse schedules,,'Land Clark' in officials and HF and C and REG and season>=2018,Land Clark,HF,C
27-8,77.1%,17-18,48.6%,13-22,37.1%,35,nflverse schedules,,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018,Ron Torbert,HF,NDIV
33-15,68.8%,24-21-3,53.3%,24-24,50.0%,48,nflverse schedules,,'Clete Blakeman' in officials and HF and C and REG and season>=2018,Clete Blakeman,HF,C
16-15,51.6%,11-20,35.5%,12-17-2,41.4%,31,nflverse schedules,,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018,Shawn Hochuli,HF,DIV
16-9,64.0%,7-17-1,29.2%,11-14,44.0%,25,nflverse schedules,,'Shawn Smith' in officials and HF and DIV and REG and season>=2018,Shawn Smith,HF,DIV
19-8,70.4%,11-16,40.7%,16-11,59.3%,27,nflverse schedules,,'Carl Cheffers' in officials and HF and DIV and REG and season>=2018,Carl Cheffers,HF,DIV
13-17,43.3%,9-21,30.0%,20-10,66.7%,30,nflverse schedules,,'Clay Martin' in officials and HF and DIV and REG and season>=2018,Clay Martin,HF,DIV
