season,week,team,opponent,matchup_key,game_key,home_away,day,win_probability,fair_moneyline,warps_wins,opponent_warps_wins,division_game,opponent_sos_rank,team_has_bye_before,opponent_has_bye_before,future_safe_spots,future_elite_spots,best_future_win_probability,future_value_cost,volatility_penalty,safety_score,survivor_score,risk_band,tier,reasons
2026,1,JAX,CLE,CLE@JAX,1:CLE@JAX,home,Sun,0.6892,-222,10.47,6.76,False,32,False,False,2,1,0.714,5.35,0.0,68.92,63.57,strong,secondary,WARPS win probability 68.9%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,1,PHI,WAS,WAS@PHI,1:WAS@PHI,home,Sun,0.6696,-203,9.82,6.71,True,16,False,False,3,0,0.6593,3.6,3.0,66.96,60.36,strong,secondary,WARPS win probability 67.0%; Home-field survivor spot; Division game raises upset volatility
2026,1,TEN,NYJ,NYJ@TEN,1:NYJ@TEN,home,Sun,0.5977,-149,5.97,4.93,False,12,False,False,0,0,0.5322,0.0,0.0,59.77,59.77,thin,deep_pool,WARPS win probability 59.8%; Home-field survivor spot; Low future opportunity cost
2026,1,LAC,ARI,ARI@LAC,1:ARI@LAC,home,Sun,0.6238,-166,8.45,6.68,False,3,False,False,2,0,0.6831,3.47,0.0,62.38,58.91,usable,deep_pool,WARPS win probability 62.4%; Home-field survivor spot
2026,1,PIT,ATL,ATL@PIT,1:ATL@PIT,home,Sun,0.5923,-145,8.88,7.99,False,27,False,False,2,0,0.636,3.19,0.0,59.23,56.04,thin,deep_pool,WARPS win probability 59.2%; Home-field survivor spot
2026,1,DET,NO,NO@DET,1:NO@DET,home,Sun,0.664,-198,10.45,7.51,False,31,False,False,5,2,0.7442,12.44,0.0,66.4,53.96,strong,deep_pool,WARPS win probability 66.4%; Home-field survivor spot; Save risk: 2 future elite spot(s)
2026,1,NYG,DAL,DAL@NYG,1:DAL@NYG,home,Sun,0.5759,-136,7.53,7.09,True,20,False,False,0,0,0.6163,0.73,3.0,57.59,53.86,thin,deep_pool,WARPS win probability 57.6%; Home-field survivor spot; Division game raises upset volatility; Low future opportunity cost
2026,1,CAR,CHI,CHI@CAR,1:CHI@CAR,home,Sun,0.5067,-103,7.02,8.44,False,1,False,False,0,0,0.5415,0.63,0.0,50.67,50.04,avoid,avoid,WARPS win probability 50.7%; Home-field survivor spot; Low future opportunity cost
2026,1,CIN,TB,TB@CIN,1:TB@CIN,home,Sun,0.5292,-112,7.74,8.56,False,22,False,False,1,0,0.6238,2.9,0.0,52.92,50.02,avoid,avoid,WARPS win probability 52.9%; Home-field survivor spot
2026,1,LV,MIA,MIA@LV,1:MIA@LV,home,Sun,0.503,-101,5.24,6.76,False,2,False,False,0,0,0.5326,0.53,0.0,50.3,49.77,avoid,avoid,WARPS win probability 50.3%; Home-field survivor spot; Low future opportunity cost
2026,1,MIN,GB,GB@MIN,1:GB@MIN,home,Sun,0.5656,-130,9.03,8.87,True,4,False,False,3,0,0.6429,4.99,3.0,56.56,48.57,thin,deep_pool,WARPS win probability 56.6%; Home-field survivor spot; Division game raises upset volatility
2026,1,HOU,BUF,BUF@HOU,1:BUF@HOU,home,Sun,0.581,-139,10.8,10.22,False,8,False,False,4,1,0.724,9.87,0.0,58.1,48.23,thin,deep_pool,WARPS win probability 58.1%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,1,IND,BAL,BAL@IND,1:BAL@IND,home,Sun,0.5608,-128,9.56,9.53,False,23,False,False,5,0,0.6854,8.24,0.0,56.08,47.84,thin,deep_pool,WARPS win probability 56.1%; Home-field survivor spot
2026,1,LAR,SF,SF@LAR,1:SF@LAR,home,Thu,0.6106,-157,11.04,9.64,True,19,False,False,7,1,0.7097,12.68,3.0,61.06,45.38,usable,deep_pool,WARPS win probability 61.1%; Home-field survivor spot; Division game raises upset volatility; Save risk: 1 future elite spot(s)
2026,1,SEA,NE,NE@SEA,1:NE@SEA,home,Wed,0.6106,-157,11.44,10.04,False,7,False,False,8,2,0.7219,16.6,0.0,61.06,44.46,usable,deep_pool,WARPS win probability 61.1%; Home-field survivor spot; Save risk: 2 future elite spot(s)
2026,1,MIA,LV,MIA@LV,1:MIA@LV,away,Sun,0.497,+101,6.76,5.24,False,6,False,False,1,0,0.6259,3.52,3.5,49.7,42.68,avoid,avoid,WARPS win probability 49.7%; Road favorite requires extra caution
2026,1,CHI,CAR,CHI@CAR,1:CHI@CAR,away,Sun,0.4933,+103,8.44,7.02,False,10,False,False,1,0,0.6828,4.61,3.5,49.33,41.22,avoid,avoid,WARPS win probability 49.3%; Road favorite requires extra caution
2026,1,KC,DEN,DEN@KC,1:DEN@KC,home,Mon,0.5523,-123,9.32,9.52,True,13,False,False,3,2,0.7106,11.45,3.0,55.23,40.78,thin,avoid,WARPS win probability 55.2%; Home-field survivor spot; Division game raises upset volatility; Save risk: 2 future elite spot(s)
2026,1,TB,CIN,TB@CIN,1:TB@CIN,away,Sun,0.4708,+112,8.56,7.74,False,30,False,False,1,0,0.6248,3.97,3.5,47.08,39.61,avoid,avoid,WARPS win probability 47.1%; Road favorite requires extra caution
2026,1,NYJ,TEN,NYJ@TEN,1:NYJ@TEN,away,Sun,0.4023,+149,4.93,5.97,False,25,False,False,0,0,0.5482,2.63,3.5,40.23,34.1,avoid,avoid,WARPS win probability 40.2%; Road favorite requires extra caution; Low future opportunity cost
2026,1,ATL,PIT,ATL@PIT,1:ATL@PIT,away,Sun,0.4077,+145,7.99,8.88,False,18,False,False,0,0,0.5952,3.37,3.5,40.77,33.9,avoid,avoid,WARPS win probability 40.8%; Road favorite requires extra caution; Low future opportunity cost
