matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
ARI@SEA,2026,REG,10,Arizona Cardinals,Seattle Seahawks,ARI,SEA,Arizona Cardinals @ Seattle Seahawks,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.1,1.1,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,7.3,7.3,2026.1,🎯 TARGETED PLAY,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [""injury context aligns""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [{""impact"": 0, ""score"": -7.0, ""side"": ""AWAY"", ""source"": ""injury"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": [{""delta"": 1, ""reason"": ""injury context present""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee under trend""], ""score"": 2, ""side"": ""UNDER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
ATL@IND,2026,REG,10,Atlanta Falcons,Indianapolis Colts,ATL,IND,Atlanta Falcons @ Indianapolis Colts,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
BAL@MIN,2026,REG,10,Baltimore Ravens,Minnesota Vikings,BAL,MIN,Baltimore Ravens @ Minnesota Vikings,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.2,0.2,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.2,0.2,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
BUF@MIA,2026,REG,10,Buffalo Bills,Miami Dolphins,BUF,MIA,Buffalo Bills @ Miami Dolphins,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,8.4,8.4,2026.1,📊 LEAN,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee under trend""], ""score"": 2, ""side"": ""UNDER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,12.6,12.6,2026.1,🎯 TARGETED PLAY,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [""injury context aligns""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [{""impact"": 0, ""score"": 3.5, ""side"": ""HOME"", ""source"": ""injury"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": [{""delta"": 1, ""reason"": ""injury context present""}]}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee under trend""], ""score"": 2, ""side"": ""UNDER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
BUF@NYJ,2026,REG,10,Buffalo Bills,New York Jets,BUF,NYJ,Buffalo Bills @ New York Jets,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,0,0,0,0
CAR@NO,2026,REG,10,Carolina Panthers,New Orleans Saints,CAR,NO,Carolina Panthers @ New Orleans Saints,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,0,0,0,0
CLE@NYJ,2026,REG,10,Cleveland Browns,New York Jets,CLE,NYJ,Cleveland Browns @ New York Jets,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.4,2.4,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
DET@WAS,2026,REG,10,Detroit Lions,Washington Commanders,DET,WAS,Detroit Lions @ Washington Commanders,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.4,0.4,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,7.4,7.4,2026.1,🎯 TARGETED PLAY,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [""injury context aligns""], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [{""impact"": 0, ""score"": 6.5, ""side"": ""HOME"", ""source"": ""injury"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": [{""delta"": 1, ""reason"": ""injury context present""}]}, ""total"": {""blocked"": true, ""blockers"": [""no sharp total side""], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
HOU@CLE,2026,REG,10,Houston Texans,Cleveland Browns,HOU,CLE,Houston Texans @ Cleveland Browns,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,0,0,0,0
JAX@HOU,2026,REG,10,Jacksonville Jaguars,Houston Texans,JAX,HOU,Jacksonville Jaguars @ Houston Texans,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.1,2.1,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,OK,,,,2026-08-21T11:03:41.936453+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,4.5,4.5,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:40:23.550730+00:00,,,,
