season,week,matchup_key,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,away_score,home_score,final_margin,final_total,graded,result,cover_margin,graded_at
2025,13,ARI@TB,Arizona Cardinals,Tampa Bay Buccaneers,ARI,TB,Arizona Cardinals @ Tampa Bay Buccaneers,False,,,,,,,False,,,,,,,False,,,,,,,17,20,-3,37,True,NO BET,,2025-12-25T02:36:06.122707
2025,13,ATL@NYJ,Atlanta Falcons,New York Jets,ATL,NYJ,Atlanta Falcons @ New York Jets,False,,,,,,,False,,,,,,,False,,,,,,,24,27,-3,51,True,NO BET,,2025-12-25T02:36:06.122877
2025,13,BUF@PIT,Buffalo Bills,Pittsburgh Steelers,BUF,PIT,Buffalo Bills @ Pittsburgh Steelers,False,,,,,,,False,,,,,,,False,,,,,,,26,7,19,33,True,NO BET,,2025-12-25T02:36:06.123021
2025,13,CHI@PHI,Chicago Bears,Philadelphia Eagles,CHI,PHI,Chicago Bears @ Philadelphia Eagles,False,,,,,,,False,,,,,,,False,,,,,,,24,15,9,39,True,NO BET,,2025-12-25T02:36:06.123163
2025,13,CIN@BAL,Cincinnati Bengals,Baltimore Ravens,CIN,BAL,Cincinnati Bengals @ Baltimore Ravens,False,,,,,,,False,,,,,,,False,,,,,,,32,14,18,46,True,NO BET,,2025-12-25T02:36:06.123302
2025,13,DEN@WSH,Denver Broncos,Washington Commanders,DEN,WSH,Denver Broncos @ Washington Commanders,False,,,,,,,False,,,,,,,False,,,,,,,27,26,1,53,True,NO BET,,2025-12-25T02:36:06.123440
2025,13,GB@DET,Green Bay Packers,Detroit Lions,GB,DET,Green Bay Packers @ Detroit Lions,False,,,,,,,False,,,,,,,False,,,,,,,31,24,7,55,True,NO BET,,2025-12-25T02:36:06.123578
2025,13,HOU@IND,Houston Texans,Indianapolis Colts,HOU,IND,Houston Texans @ Indianapolis Colts,False,,,,,,,False,,,,,,,False,,,,,,,20,16,4,36,True,NO BET,,2025-12-25T02:36:06.123716
2025,13,JAX@TEN,Jacksonville Jaguars,Tennessee Titans,JAX,TEN,Jacksonville Jaguars @ Tennessee Titans,False,,,,,,,False,,,,,,,False,,,,,,,25,3,22,28,True,NO BET,,2025-12-25T02:36:06.123856
2025,13,KC@DAL,Kansas City Chiefs,Dallas Cowboys,KC,DAL,Kansas City Chiefs @ Dallas Cowboys,False,,,,,,,False,,,,,,,False,,,,,,,28,31,-3,59,True,NO BET,,2025-12-25T02:36:06.123996
2025,13,LAR@CAR,Los Angeles Rams,Carolina Panthers,LAR,CAR,Los Angeles Rams @ Carolina Panthers,False,,,,,,,False,,,,,,,False,,,,,,,28,31,-3,59,True,NO BET,,2025-12-25T02:36:06.124135
2025,13,LV@LAC,Las Vegas Raiders,Los Angeles Chargers,LV,LAC,Las Vegas Raiders @ Los Angeles Chargers,False,,,,,,,False,,,,,,,False,,,,,,,14,31,-17,45,True,NO BET,,2025-12-25T02:36:06.124274
2025,13,MIN@SEA,Minnesota Vikings,Seattle Seahawks,MIN,SEA,Minnesota Vikings @ Seattle Seahawks,False,,,,,,,False,,,,,,,False,,,,,,,0,26,-26,26,True,NO BET,,2025-12-25T02:36:06.124442
2025,13,NO@MIA,New Orleans Saints,Miami Dolphins,NO,MIA,New Orleans Saints @ Miami Dolphins,False,,,,,,,False,,,,,,,False,,,,,,,17,21,-4,38,True,NO BET,,2025-12-25T02:36:06.124590
2025,13,NYG@NE,New York Giants,New England Patriots,NYG,NE,New York Giants @ New England Patriots,False,,,,,,,False,,,,,,,False,,,,,,,15,33,-18,48,True,NO BET,,2025-12-25T02:36:06.124742
2025,13,SF@CLE,San Francisco 49ers,Cleveland Browns,SF,CLE,San Francisco 49ers @ Cleveland Browns,False,,,,,,,False,,,,,,,False,,,,,,,26,8,18,34,True,NO BET,,2025-12-25T02:36:06.124885
