away_score,away_team,away_tla,cover_margin,final_classification,final_classification_label,final_confidence,final_margin,final_recommendation,final_tier_score,final_total,final_total_score,game,graded,graded_at,has_final,has_initial,has_lock,has_update,home_score,home_team,home_tla,initial_classification,initial_classification_label,initial_confidence,initial_recommendation,initial_tier_score,initial_total_score,lock_classification,lock_classification_label,lock_confidence,lock_recommendation,lock_tier_score,lock_total_score,matchup_key,result,season,update_classification,update_classification_label,update_confidence,update_recommendation,update_tier_score,update_total_score,week
26,Atlanta Falcons,ATL,-4.0,🎯 TARGETED PLAY,SOLID EDGE,5.1,7,🎯 TARGETED PLAY: Arizona Cardinals +3,7.0,45,5.1,Atlanta Falcons @ Arizona Cardinals,True,2025-12-25T01:24:47.625949,True,True,False,True,19,Arizona Cardinals,ARI,🎯 TARGETED PLAY,SOLID EDGE,11.7,🎯 TARGETED PLAY: Atlanta Falcons -2.5,7.0,11.7,,,,,,,ATL@ARI,LOSS,2025,🎯 TARGETED PLAY,SOLID EDGE,5.1,🎯 TARGETED PLAY: Arizona Cardinals +3,7.0,5.1,16
23,Buffalo Bills,BUF,-13.5,📊 LEAN,SLIGHT EDGE,5.6,3,👀 LEAN: Buffalo Bills -10.5 (proceed with caution),5.0,43,5.6,Buffalo Bills @ Cleveland Browns,True,2025-12-25T01:24:47.621961,True,True,False,True,20,Cleveland Browns,CLE,🎯 TARGETED PLAY,SOLID EDGE,10.7,🎯 TARGETED PLAY: Buffalo Bills -10.5,7.0,10.7,,,,,,,BUF@CLE,LOSS,2025,📊 LEAN,SLIGHT EDGE,5.6,👀 LEAN: Buffalo Bills -10.5 (proceed with caution),5.0,5.6,16
45,Cincinnati Bengals,CIN,-20.5,📊 LEAN,SLIGHT EDGE,3.2,24,👀 LEAN: Miami Dolphins +3.5 (proceed with caution),5.0,66,3.2,Cincinnati Bengals @ Miami Dolphins,True,2025-12-25T01:24:47.624570,True,True,False,True,21,Miami Dolphins,MIA,🎯 TARGETED PLAY,SOLID EDGE,8.3,🎯 TARGETED PLAY: Cincinnati Bengals -3.5,7.0,8.3,,,,,,,CIN@MIA,LOSS,2025,📊 LEAN,SLIGHT EDGE,3.2,👀 LEAN: Miami Dolphins +3.5 (proceed with caution),5.0,3.2,16
16,Green Bay Packers,GB,,,,,-6,,,38,,Green Bay Packers @ Chicago Bears,True,2025-12-25T01:24:47.620929,False,True,False,False,22,Chicago Bears,CHI,⚠️ LANDMINE,PASS,1.4,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.4,,,,,,,GB@CHI,NO BET,2025,📊 LEAN,SLIGHT EDGE,5.6,👀 LEAN: Buffalo Bills -10.5 (proceed with caution),5.0,5.6,16
34,Jacksonville Jaguars,JAX,,⚠️ LANDMINE,PASS,1.5,14,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,54,1.5,Jacksonville Jaguars @ Denver Broncos,True,2025-12-25T01:24:47.625682,True,True,False,True,20,Denver Broncos,DEN,⚠️ LANDMINE,PASS,1.5,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.5,,,,,,,JAX@DEN,NO BET,2025,⚠️ LANDMINE,PASS,1.5,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.5,16
9,Kansas City Chiefs,KC,,❌ FADE,AVOID,3.9,-17,❌ AVOID: Multiple negative factors align,2.0,35,-3.9,Kansas City Chiefs @ Tennessee Titans,True,2025-12-25T01:24:47.624275,True,True,False,True,26,Tennessee Titans,TEN,⚠️ LANDMINE,PASS,0.1,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,0.1,,,,,,,KC@TEN,NO BET,2025,❌ FADE,AVOID,3.9,❌ AVOID: Multiple negative factors align,2.0,-3.9,16
34,Los Angeles Chargers,LAC,,⚠️ LANDMINE,PASS,1.4,17,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,51,1.4,Los Angeles Chargers @ Dallas Cowboys,True,2025-12-25T01:24:47.623850,True,True,False,True,17,Dallas Cowboys,DAL,⚠️ LANDMINE,PASS,1.0,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,-1.0,,,,,,,LAC@DAL,NO BET,2025,⚠️ LANDMINE,PASS,1.4,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.4,16
37,Los Angeles Rams,LAR,,,,,-1,,,75,,Los Angeles Rams @ Seattle Seahawks,True,2025-12-25T01:24:47.620370,False,True,False,False,38,Seattle Seahawks,SEA,⚠️ LANDMINE,PASS,1.8,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.8,,,,,,,LAR@SEA,NO BET,2025,⚠️ LANDMINE,PASS,0.4,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,-0.4,16
21,Las Vegas Raiders,LV,16.5,🎯 TARGETED PLAY,SOLID EDGE,5.2,-2,🎯 TARGETED PLAY: Las Vegas Raiders +14.5,7.0,44,5.2,Las Vegas Raiders @ Houston Texans,True,2025-12-25T01:24:47.626488,True,True,False,True,23,Houston Texans,HOU,🎯 TARGETED PLAY,SOLID EDGE,5.2,🎯 TARGETED PLAY: Las Vegas Raiders +14.5,7.0,5.2,,,,,,,LV@HOU,WIN,2025,🎯 TARGETED PLAY,SOLID EDGE,5.2,🎯 TARGETED PLAY: Las Vegas Raiders +14.5,7.0,5.2,16
16,Minnesota Vikings,MIN,,⚠️ LANDMINE,PASS,0.2,3,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,29,-0.2,Minnesota Vikings @ New York Giants,True,2025-12-25T01:24:47.625140,True,True,False,True,13,New York Giants,NYG,🎯 TARGETED PLAY,SOLID EDGE,5.5,🎯 TARGETED PLAY: Minnesota Vikings -3,7.0,5.5,,,,,,,MIN@NYG,NO BET,2025,⚠️ LANDMINE,PASS,0.2,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,-0.2,16
28,New England Patriots,NE,,⚠️ LANDMINE,PASS,1.9,4,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,52,1.9,New England Patriots @ Baltimore Ravens,True,2025-12-25T01:24:47.626762,True,True,False,True,24,Baltimore Ravens,BAL,⚠️ LANDMINE,PASS,1.2,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.2,,,,,,,NE@BAL,NO BET,2025,⚠️ LANDMINE,PASS,1.9,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,1.9,16
6,New York Jets,NYJ,,⚠️ LANDMINE,PASS,0.4,-23,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,35,-0.4,New York Jets @ New Orleans Saints,True,2025-12-25T01:24:47.624860,True,True,False,True,29,New Orleans Saints,NO,❌ FADE,AVOID,3.0,❌ AVOID: Multiple negative factors align,2.0,-3.0,,,,,,,NYJ@NO,NO BET,2025,⚠️ LANDMINE,PASS,0.4,"⚠️ PASS: Mixed signals, no clear edge identified",3.0,-0.4,16
29,Philadelphia Eagles,PHI,,,,,11,,,47,,Philadelphia Eagles @ Washington Commanders,True,2025-12-25T01:24:47.620674,False,False,False,False,18,Washington Commanders,WSH,🎯 TARGETED PLAY,SOLID EDGE,7.4,🎯 TARGETED PLAY: Detroit Lions -7,7.0,7.4,,,,,,,PHI@WSH,NO BET,2025,📊 LEAN,SLIGHT EDGE,4.8,👀 LEAN: Detroit Lions -7 (proceed with caution),5.0,4.8,16
29,Pittsburgh Steelers,PIT,-12.0,📊 LEAN,SLIGHT EDGE,4.8,5,👀 LEAN: Detroit Lions -7 (proceed with caution),5.0,53,4.8,Pittsburgh Steelers @ Detroit Lions,True,2025-12-25T01:24:47.626213,True,True,False,True,24,Detroit Lions,DET,🎯 TARGETED PLAY,SOLID EDGE,7.4,🎯 TARGETED PLAY: Detroit Lions -7,7.0,7.4,,,,,,,PIT@DET,LOSS,2025,📊 LEAN,SLIGHT EDGE,4.8,👀 LEAN: Detroit Lions -7 (proceed with caution),5.0,4.8,16
48,San Francisco 49ers,SF,-26.5,🎯 TARGETED PLAY,SOLID EDGE,7.8,21,🎯 TARGETED PLAY: San Francisco 49ers -5.5,7.0,75,7.8,San Francisco 49ers @ Indianapolis Colts,True,2025-12-25T01:24:47.627036,True,True,False,True,27,Indianapolis Colts,IND,🔵 BLUE CHIP,STRONG PLAY,8.6,✅ STRONG PLAY: San Francisco 49ers -6.5,9.0,8.6,,,,,,,SF@IND,LOSS,2025,🎯 TARGETED PLAY,SOLID EDGE,7.8,🎯 TARGETED PLAY: San Francisco 49ers -5.5,7.0,7.8,16
20,Tampa Bay Buccaneers,TB,0.0,📊 LEAN,SLIGHT EDGE,4.9,-3,👀 LEAN: Tampa Bay Buccaneers -3 (proceed with caution),5.0,43,4.9,Tampa Bay Buccaneers @ Carolina Panthers,True,2025-12-25T01:24:47.625406,True,True,False,True,23,Carolina Panthers,CAR,🎯 TARGETED PLAY,SOLID EDGE,7.7,🎯 TARGETED PLAY: Tampa Bay Buccaneers -3,7.0,7.7,,,,,,,TB@CAR,PUSH,2025,📊 LEAN,SLIGHT EDGE,4.9,👀 LEAN: Tampa Bay Buccaneers -3 (proceed with caution),5.0,4.9,16
