matchup_key,away_score,away_team,away_tla,cover_margin,final_margin,final_total,game,graded,graded_at,has_initial,has_lock,has_update,home_score,home_team,home_tla,initial_classification,initial_classification_label,initial_confidence,initial_recommendation,initial_tier_score,initial_total_score,lock_classification,lock_classification_label,lock_confidence,lock_recommendation,lock_tier_score,lock_total_score,result,season,update_classification,update_classification_label,update_confidence,update_recommendation,update_tier_score,update_total_score,week
ARI@LAR,20,Arizona Cardinals,ARI,,-17,57,Arizona Cardinals @ Los Angeles Rams,True,2026-01-05T22:44:44.747467,True,False,True,37,Los Angeles Rams,LAR,❌ FADE,AVOID,12.4,❌ AVOID: Multiple negative factors align,2,-12.4,,,,,,,NO BET,2025,❌ FADE,AVOID,13.3,❌ AVOID: Multiple negative factors align,2,-13.3,18
BAL@PIT,24,Baltimore Ravens,BAL,,-2,50,Baltimore Ravens @ Pittsburgh Steelers,True,2026-01-05T22:44:44.747599,True,False,True,26,Pittsburgh Steelers,PIT,📊 LEAN,SLIGHT EDGE,5.8,👀 LEAN: No clear spread edge (proceed with caution),5,5.8,,,,,,,NO BET,2025,⚠️ LANDMINE,PASS,3.4,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.4,18
CAR@TB,14,Carolina Panthers,CAR,,-2,30,Carolina Panthers @ Tampa Bay Buccaneers,True,2026-01-05T22:44:44.747731,True,False,True,16,Tampa Bay Buccaneers,TB,❌ FADE,AVOID,4.6,❌ AVOID: Multiple negative factors align,2,-4.6,,,,,,,NO BET,2025,❌ FADE,AVOID,5.6,❌ AVOID: Multiple negative factors align,2,-5.6,18
CLE@CIN,20,Cleveland Browns,CLE,,2,38,Cleveland Browns @ Cincinnati Bengals,True,2026-01-05T22:44:44.747834,True,False,True,18,Cincinnati Bengals,CIN,❌ FADE,AVOID,2.6,❌ AVOID: Multiple negative factors align,2,-2.6,,,,,,,NO BET,2025,❌ FADE,AVOID,5.6,❌ AVOID: Multiple negative factors align,2,-5.6,18
DAL@NYG,17,Dallas Cowboys,DAL,,-17,51,Dallas Cowboys @ New York Giants,True,2026-01-05T22:44:44.747943,True,False,True,34,New York Giants,NYG,⚠️ LANDMINE,PASS,1.3,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.3,,,,,,,NO BET,2025,❌ FADE,AVOID,5.5,❌ AVOID: Multiple negative factors align,2,-5.5,18
DET@CHI,19,Detroit Lions,DET,,3,35,Detroit Lions @ Chicago Bears,True,2026-01-05T22:44:44.748053,True,False,True,16,Chicago Bears,CHI,⚠️ LANDMINE,PASS,1.6,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.6,,,,,,,NO BET,2025,⚠️ LANDMINE,PASS,0.8,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.8,18
GB@MIN,3,Green Bay Packers,GB,,-13,19,Green Bay Packers @ Minnesota Vikings,True,2026-01-05T22:44:44.748145,True,False,True,16,Minnesota Vikings,MIN,⚠️ LANDMINE,PASS,3.4,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.4,,,,,,,NO BET,2025,⚠️ LANDMINE,PASS,1.1,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.1,18
IND@HOU,30,Indianapolis Colts,IND,,-8,68,Indianapolis Colts @ Houston Texans,True,2026-01-05T22:44:44.748238,True,False,True,38,Houston Texans,HOU,❌ FADE,AVOID,5.2,❌ AVOID: Multiple negative factors align,2,-5.2,,,,,,,NO BET,2025,❌ FADE,AVOID,5.7,❌ AVOID: Multiple negative factors align,2,-5.7,18
KC@LV,12,Kansas City Chiefs,KC,,-2,26,Kansas City Chiefs @ Las Vegas Raiders,True,2026-01-05T22:44:44.748328,True,False,True,14,Las Vegas Raiders,LV,❌ FADE,AVOID,7.3,❌ AVOID: Multiple negative factors align,2,-7.3,,,,,,,NO BET,2025,❌ FADE,AVOID,14.3,❌ AVOID: Multiple negative factors align,2,-14.3,18
LAC@DEN,3,Los Angeles Chargers,LAC,,-16,22,Los Angeles Chargers @ Denver Broncos,True,2026-01-05T22:44:44.748415,True,False,True,19,Denver Broncos,DEN,❌ FADE,AVOID,3.8,❌ AVOID: Multiple negative factors align,2,-3.8,,,,,,,NO BET,2025,❌ FADE,AVOID,6.9,❌ AVOID: Multiple negative factors align,2,-6.9,18
