matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_recommendation_trace,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_recommendation_trace,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_recommendation_trace,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_recommendation_trace,away_score,home_score,final_margin,final_total
ARI@LV,2026,PRE,PRE1,Arizona Cardinals,Las Vegas Raiders,ARI,LV,Arizona Cardinals @ Las Vegas Raiders,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.1,1.1,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,8.0,8.0,2026.1,🎯 TARGETED PLAY,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
CAR@BUF,2026,PRE,PRE1,Carolina Panthers,Buffalo Bills,CAR,BUF,Carolina Panthers @ Buffalo Bills,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.0,4.0,2026.1,❌ FADE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.0,4.0,2026.1,❌ FADE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
CLE@CHI,2026,PRE,PRE1,Cleveland Browns,Chicago Bears,CLE,CHI,Cleveland Browns @ Chicago Bears,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.4,5.4,2026.1,📊 LEAN,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.9,3.9,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
DAL@SEA,2026,PRE,PRE1,Dallas Cowboys,Seattle Seahawks,DAL,SEA,Dallas Cowboys @ Seattle Seahawks,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-3.3,3.3,2026.1,❌ FADE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-3.3,3.3,2026.1,❌ FADE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
DEN@ATL,2026,PRE,PRE1,Denver Broncos,Atlanta Falcons,DEN,ATL,Denver Broncos @ Atlanta Falcons,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: Denver Broncos -4.5 (proceed with caution),5,13.4,13.4,2026.1,🎯 TARGETED PLAY,spread,AWAY,3,sharp spread edge,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,8.9,8.9,2026.1,📊 LEAN,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
DET@CIN,2026,PRE,PRE1,Detroit Lions,Cincinnati Bengals,DET,CIN,Detroit Lions @ Cincinnati Bengals,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,2.7,2.7,2026.1,🚨 TRAP GAME,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
GB@PIT,2026,PRE,PRE1,Green Bay Packers,Pittsburgh Steelers,GB,PIT,Green Bay Packers @ Pittsburgh Steelers,True,📊 LEAN,SLIGHT EDGE,👀 LEAN: Pittsburgh Steelers +1.5 (proceed with caution),5,11.3,11.3,2026.1,🎯 TARGETED PLAY,spread,HOME,3,sharp spread edge,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.8,6.8,2026.1,📊 LEAN,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
IND@NE,2026,PRE,PRE1,Indianapolis Colts,New England Patriots,IND,NE,Indianapolis Colts @ New England Patriots,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.9,1.9,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-2.6,2.6,2026.1,❌ FADE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
JAX@NO,2026,PRE,PRE1,Jacksonville Jaguars,New Orleans Saints,JAX,NO,Jacksonville Jaguars @ New Orleans Saints,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.8,6.8,2026.1,📊 LEAN,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,8.6,8.6,2026.1,📊 LEAN,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
LAC@HOU,2026,PRE,PRE1,Los Angeles Chargers,Houston Texans,LAC,HOU,Los Angeles Chargers @ Houston Texans,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.9,0.9,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T15:17:52.669950+00:00,DEGRADED,,rotowire,,False,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.2,1.2,2026.1,⚠️ LANDMINE,none,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-12T18:39:30.351245+00:00,DEGRADED,,rotowire,,,,,
