matchup_key,season,season_type,week,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
ARI@LV,2026,PRE,PRE2,Arizona Cardinals,Las Vegas Raiders,ARI,LV,Arizona Cardinals @ Las Vegas Raiders,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,False,,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,27,14,13,41
ATL@IND,2026,PRE,PRE2,Atlanta Falcons,Indianapolis Colts,ATL,IND,Atlanta Falcons @ Indianapolis Colts,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,+4 (-113) | -3.5 (-110),o36.5 (-109) | u37.5 (-110),,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,2.7,2.7,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+4 (-109) | -3 (-112),o37.5 (+102) | u36.5 (-108),+145 | -162,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
BAL@MIN,2026,PRE,PRE2,Baltimore Ravens,Minnesota Vikings,BAL,MIN,Baltimore Ravens @ Minnesota Vikings,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.3,0.3,2026.1,⚠️ LANDMINE,none,,3.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.3,0.3,2026.1,⚠️ LANDMINE,none,,2.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,+3.5 (-107) | -3.5 (-105),o37 (-108) | u36.5 (-102),,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,4.8,4.8,2026.1,🚨 TRAP GAME,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""HOME"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""HOME"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""UNDER"", ""signals"": [{""impact"": 1, ""score"": -1, ""side"": ""UNDER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+0.5 (+135) | -2.5 (-110),o37.5 (-105) | u36.5 (-104),+138 | -142,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
BUF@CLE,2026,PRE,PRE2,Buffalo Bills,Cleveland Browns,BUF,CLE,Buffalo Bills @ Cleveland Browns,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.8,6.8,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": true, ""blockers"": [""no sharp total side""], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.8,6.8,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""no sharp spread side"", ""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": true, ""blockers"": [""no sharp total side""], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""NEUTRAL"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,+3 (-110) | -2.5 (-117),o36.5 (-112) | u36.5 (-105),,,,,,,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,7.3,7.3,2026.1,📊 LEAN,none,,2,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 2, ""side"": ""OVER"", ""signals"": [{""impact"": 2, ""score"": 2, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+2.5 (-104) | -2.5 (-113),o36.5 (-113) | u36.5 (-102),+124 | -146,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
CAR@BUF,2026,PRE,PRE2,Carolina Panthers,Buffalo Bills,CAR,BUF,Carolina Panthers @ Buffalo Bills,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,False,,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,14,29,-15,43
CAR@JAX,2026,PRE,PRE2,Carolina Panthers,Jacksonville Jaguars,CAR,JAX,Carolina Panthers @ Jacksonville Jaguars,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-3.3,3.3,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-3.3,3.3,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,+2.5 (-110) | -2.5 (-105),o38.5 (-110) | u39.5 (-110),,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-105) | +2.5 (-106),o37.5 (-115) | u38.5 (-105),-135 | +118,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
CHI@CIN,2026,PRE,PRE2,Chicago Bears,Cincinnati Bengals,CHI,CIN,Chicago Bears @ Cincinnati Bengals,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.0,4.0,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-4.0,4.0,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,-1.5 (-105) | +1.5 (-110),o36.5 (-112) | u37.5 (-110),,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,0.5,0.5,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (-110) | +3.5 (-105),o37.5 (-109) | u38.5 (-110),-180 | +154,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
CLE@CHI,2026,PRE,PRE2,Cleveland Browns,Chicago Bears,CLE,CHI,Cleveland Browns @ Chicago Bears,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,False,,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,10,34,-24,44
DAL@ARI,2026,PRE,PRE2,Dallas Cowboys,Arizona Cardinals,DAL,ARI,Dallas Cowboys @ Arizona Cardinals,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,3.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,2.0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""OK"", ""unsafe_sources"": []}}",OK,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,+1.5 (-108) | -1.5 (-109),o37.5 (-109) | u37.5 (-107),,,,,,,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-1.8,1.8,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2 (-112) | +2.5 (-110),o38.5 (-109) | u38.5 (-108),-126 | +114,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,,,,
DAL@SEA,2026,PRE,PRE2,Dallas Cowboys,Seattle Seahawks,DAL,SEA,Dallas Cowboys @ Seattle Seahawks,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T03:09:55.958647+00:00,False,,,,,,,,,,,,,,,,,,,,OK,,,,2026-08-26T14:52:01.420592+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-24T00:11:01.179509+00:00,17,7,10,24
