season,season_type,week,matchup_key,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
2026,PRE,PRE3,ARI@GB,Arizona Cardinals,Green Bay Packers,ARI,GB,Arizona Cardinals @ Green Bay Packers,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,-0.9,0.9,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+1.5 (-116) | +0.5 (-117),o36.5 (-102) | u35.5 (-106),+103 | -110,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,ATL@IND,Atlanta Falcons,Indianapolis Colts,ATL,IND,Atlanta Falcons @ Indianapolis Colts,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,34,6,28,40
2026,PRE,PRE3,ATL@MIA,Atlanta Falcons,Miami Dolphins,ATL,MIA,Atlanta Falcons @ Miami Dolphins,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,6.0,6.0,2026.1,📊 LEAN,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""AWAY"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""referee under trend""], ""score"": 2, ""side"": ""UNDER"", ""signals"": [{""impact"": 2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3.5 (-114) | +3.5 (+102),o36.5 (-110) | u36.5 (-108),-173 | +165,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,BAL@MIN,Baltimore Ravens,Minnesota Vikings,BAL,MIN,Baltimore Ravens @ Minnesota Vikings,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,13,3,10,16
2026,PRE,PRE3,BUF@CLE,Buffalo Bills,Cleveland Browns,BUF,CLE,Buffalo Bills @ Cleveland Browns,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,31,7,24,38
2026,PRE,PRE3,CAR@JAX,Carolina Panthers,Jacksonville Jaguars,CAR,JAX,Carolina Panthers @ Jacksonville Jaguars,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,34,17,17,51
2026,PRE,PRE3,CHI@CIN,Chicago Bears,Cincinnati Bengals,CHI,CIN,Chicago Bears @ Cincinnati Bengals,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,9,27,-18,36
2026,PRE,PRE3,CHI@TEN,Chicago Bears,Tennessee Titans,CHI,TEN,Chicago Bears @ Tennessee Titans,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,1.0,1.0,2026.1,🚨 TRAP GAME,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": true, ""market"": ""spread"", ""reasons"": [""sharp spread edge""], ""requires_sharp_edge"": true, ""score"": 3, ""side"": ""AWAY"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""AWAY"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [{""impact"": -2, ""reasons"": [""referee under trend""], ""score"": -2, ""side"": ""UNDER"", ""source"": ""ref_weather_context"", ""status"": ""conflict""}], ""market"": ""total"", ""reasons"": [""sharp total edge"", ""ref/weather total context conflicts""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 3, ""score"": 3, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+3 (-107) | -2.5 (-112),o36.5 (-110) | u36.5 (-104),+132 | -134,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,CIN@PHI,Cincinnati Bengals,Philadelphia Eagles,CIN,PHI,Cincinnati Bengals @ Philadelphia Eagles,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.4,1.4,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+3 (-110) | -2.5 (-117),o36.5 (+100) | u36.5 (-105),+129 | -141,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,DAL@ARI,Dallas Cowboys,Arizona Cardinals,DAL,ARI,Dallas Cowboys @ Arizona Cardinals,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,34,13,21,47
