game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,NYJ,NE,NYJ @ NE,J. Fields,Drake Maye,None,"0%
40°  7 mph WNW Wind",NE -12.5,43.5,2025-11-14 03:19:04
SUN9:30 AM ET,WAS,MIA,WAS @ MIA,M. Mariota,T. Tagovailoa,Julian Hill (TE)-Q,"42% Precipitation
58°  9 mph WSW Wind",MIA-2.5,47.5,2025-11-14 03:19:05
SUN1:00 PM ET,CAR,ATL,CAR @ ATL,Bryce Young,M. Penix,"Rico Dowdle (RB)-Q, Drake London (WR)-Q","Dome
In Domed Stadium",ATL-3.5,42.5,2025-11-14 03:19:05
SUN1:00 PM ET,TB,BUF,TB @ BUF,B. Mayfield,Josh Allen,"Bucky Irving (RB)-D, Chris Godwin (WR)-D, K. Shakir (WR)-Q, D. Kincaid (TE)-Q","75% Rain
40°  13 mph W Wind",BUF-5.5,47.5,2025-11-14 03:19:06
SUN1:00 PM ET,LAC,JAX,LAC @ JAX,J. Herbert,T. Lawrence,"L. McConkey (WR)-Q, Q. Johnston (WR)-Q, Brian Thomas (WR)-Q, P. Washington (WR)-Q, Hunter Long (TE)-Q","0%
77°  13 mph WSW Wind",LAC-3,43.5,2025-11-14 03:19:06
SUN1:00 PM ET,CHI,MIN,CHI @ MIN,C. Williams,J. McCarthy,"Rome Odunze (WR)-Q, DJ Moore (WR)-Q, Aaron Jones (RB)-Q","Dome
In Domed Stadium",MIN-2.5,48.5,2025-11-14 03:19:06
SUN1:00 PM ET,GB,NYG,GB @ NYG,Jordan Love,Jaxson Dart,"M. Golden (WR)-Q, C. Watson (WR)-Q, Jaxson Dart (QB)-Q, D. Slayton (WR)-Q","7% Rain
56°  17 mph WNW Wind",GB -7,42.5,2025-11-14 03:19:07
SUN1:00 PM ET,CIN,PIT,CIN @ PIT,Joe Flacco,A. Rodgers,Joe Flacco (QB)-Q,"6% Rain
48°  20 mph WNW Wind",PIT-5.5,49.0,2025-11-14 03:19:07
SUN1:00 PM ET,HOU,TEN,HOU @ TEN,Davis Mills,Cam Ward,"D. Schultz (TE)-Q, C. Ridley (WR)-Q, Chig Okonkwo (TE)-Q","2% Precipitation
67°  9 mph NNW Wind",HOU-6,37.0,2025-11-14 03:19:08
SUN4:05 PM ET,SF,ARI,SF @ ARI,Brock Purdy,J. Brissett,"R. Pearsall (WR)-Q, Bam Knight (RB)-Q","Dome
In Domed Stadium",SF -3,48.5,2025-11-14 03:19:08
SUN4:05 PM ET,SEA,LAR,SEA @ LAR,Sam Darnold,M. Stafford,D. Adams (WR)-Q,"Dome
In Domed Stadium",LAR-3,48.5,2025-11-14 03:19:08
SUN4:25 PM ET,BAL,CLE,BAL @ CLE,L. Jackson,D. Gabriel,"R. Bateman (WR)-Q, C. Tillman (WR)-Q, Isaiah Bond (WR)-Q","6% Precipitation
45°  20 mph WNW Wind",BAL-7.5,39.0,2025-11-14 03:19:09
SUN4:25 PM ET,KC,DEN,KC @ DEN,P. Mahomes,Bo Nix,"I. Pacheco (RB)-Q, X. Worthy (WR)-Q, J.K. Dobbins (RB)-Q, Marvin Mims (WR)-Q","6% Precipitation
68°  7 mph ENE Wind",KC -4,45.0,2025-11-14 03:19:09
SUN8:20 PM ET,DET,PHI,DET @ PHI,Jared Goff,Jalen Hurts,Sam LaPorta (TE)-Q,"3% Precipitation
46°  10 mph WNW Wind",PHI-2.5,46.5,2025-11-14 03:19:10
MON8:15 PM ET,DAL,LV,DAL @ LV,Dak Prescott,Geno Smith,T. Lockett (WR)-Q,"Dome
In Domed Stadium",DAL-3.5,50.0,2025-11-14 03:19:10
