Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Jets @ Patriots,Spread,"Fri 11/14, 1:15 AM",+12.5 (-102) | -13 (-108),39% | 61%,35% | 65%,+4%,"13,490",2025-11-12 20:01
Commanders @ Dolphins,Spread,"Sun 11/16, 2:30 PM",+2.5 (+102) | -2.5 (-115),37% | 63%,39% | 61%,+2%,"7,083",2025-11-12 20:01
Bengals @ Steelers,Spread,"Sun 11/16, 6:00 PM",+5.5 (+100) | -5.5 (-105),61% | 39%,,,,2025-11-12 20:01
Panthers @ Falcons,Spread,"Sun 11/16, 6:00 PM",+3.5 (-110) | -3.5 (+100),41% | 59%,,,,2025-11-12 20:01
Texans @ Titans,Spread,"Sun 11/16, 6:00 PM",-6.5 (-110) | +7 (-110),56% | 44%,,,,2025-11-12 20:01
Packers @ Giants,Spread,"Sun 11/16, 6:00 PM",-7 (-105) | +7 (-104),54% | 46%,,,,2025-11-12 20:01
Bears @ Vikings,Spread,"Sun 11/16, 6:00 PM",+3 (-102) | -3.5 (+105),52% | 48%,,,,2025-11-12 20:01
Buccaneers @ Bills,Spread,"Sun 11/16, 6:00 PM",+5.5 (+100) | -5.5 (-110),59% | 41%,,,,2025-11-12 20:01
Chargers @ Jaguars,Spread,"Sun 11/16, 6:00 PM",-3 (+100) | +2.5 (+110),67% | 33%,,,,2025-11-12 20:02
Seahawks @ Rams,Spread,"Sun 11/16, 9:05 PM",+3.5 (-120) | -3 (-105),72% | 28%,,,,2025-11-12 20:02
49ers @ Cardinals,Spread,"Sun 11/16, 9:05 PM",-2.5 (-118) | +3 (-108),62% | 38%,,,,2025-11-12 20:02
Ravens @ Browns,Spread,"Sun 11/16, 9:25 PM",-7.5 (-110) | +7.5 (-104),75% | 25%,,,,2025-11-12 20:02
Chiefs @ Broncos,Spread,"Sun 11/16, 9:25 PM",-4 (-105) | +3.5 (+100),57% | 43%,,,,2025-11-12 20:02
Lions @ Eagles,Spread,"Mon 11/17, 1:20 AM",+2.5 (+105) | -2.5 (-114),78% | 22%,,,,2025-11-12 20:02
Cowboys @ Raiders,Spread,"Tue 11/18, 1:15 AM",-3.5 (-102) | +3.5 (-110),74% | 26%,,,,2025-11-12 20:02
Jets @ Patriots,Total,"Fri 11/14, 1:15 AM",o43 (-107) | u43.5 (-115),52% | 48%,42% | 58%,+10%,"13,490",2025-11-12 20:02
Commanders @ Dolphins,Total,"Sun 11/16, 2:30 PM",o47.5 (-104) | u47.5 (-108),9% | 91%,6% | 94%,+3%,"7,083",2025-11-12 20:02
Bengals @ Steelers,Total,"Sun 11/16, 6:00 PM",o49.5 (-102) | u49.5 (-110),29% | 71%,,,,2025-11-12 20:02
Panthers @ Falcons,Total,"Sun 11/16, 6:00 PM",o42.5 (-105) | u42.5 (-105),39% | 61%,,,,2025-11-12 20:02
Texans @ Titans,Total,"Sun 11/16, 6:00 PM",o37.5 (-105) | u38.5 (-110),68% | 32%,,,,2025-11-12 20:02
Packers @ Giants,Total,"Sun 11/16, 6:00 PM",o43.5 (-108) | u43.5 (-102),66% | 34%,,,,2025-11-12 20:02
Bears @ Vikings,Total,"Sun 11/16, 6:00 PM",o48 (-112) | u48.5 (-110),55% | 45%,,,,2025-11-12 20:02
Buccaneers @ Bills,Total,"Sun 11/16, 6:00 PM",o47.5 (-115) | u48.5 (-110),28% | 72%,,,,2025-11-12 20:02
Chargers @ Jaguars,Total,"Sun 11/16, 6:00 PM",o43.5 (-110) | u43.5 (-104),39% | 61%,,,,2025-11-12 20:02
Seahawks @ Rams,Total,"Sun 11/16, 9:05 PM",o48.5 (-109) | u49 (-110),32% | 68%,,,,2025-11-12 20:02
49ers @ Cardinals,Total,"Sun 11/16, 9:05 PM",o47.5 (-110) | u48.5 (-110),28% | 72%,,,,2025-11-12 20:02
Ravens @ Browns,Total,"Sun 11/16, 9:25 PM",o39.5 (-104) | u40 (-110),43% | 57%,,,,2025-11-12 20:02
Chiefs @ Broncos,Total,"Sun 11/16, 9:25 PM",o43.5 (-115) | u44.5 (-110),35% | 65%,,,,2025-11-12 20:02
Lions @ Eagles,Total,"Mon 11/17, 1:20 AM",o46.5 (-110) | u46.5 (-102),46% | 54%,,,,2025-11-12 20:02
Cowboys @ Raiders,Total,"Tue 11/18, 1:15 AM",o49.5 (-110) | u50.5 (-110),39% | 61%,,,,2025-11-12 20:02
Jets @ Patriots,Moneyline,"Fri 11/14, 1:15 AM",+610 | -800,6% | 94%,31% | 69%,+25%,"13,490",2025-11-12 20:02
Commanders @ Dolphins,Moneyline,"Sun 11/16, 2:30 PM",+135 | -148,48% | 52%,8% | 92%,+40%,"7,083",2025-11-12 20:02
Bengals @ Steelers,Moneyline,"Sun 11/16, 6:00 PM",+220 | -235,15% | 85%,,,,2025-11-12 20:02
Panthers @ Falcons,Moneyline,"Sun 11/16, 6:00 PM",+165 | -175,21% | 79%,,,,2025-11-12 20:02
Texans @ Titans,Moneyline,"Sun 11/16, 6:00 PM",-285 | +300,93% | 7%,,,,2025-11-12 20:02
Packers @ Giants,Moneyline,"Sun 11/16, 6:00 PM",-350 | +295,91% | 9%,,,,2025-11-12 20:02
Bears @ Vikings,Moneyline,"Sun 11/16, 6:00 PM",+145 | -165,28% | 72%,,,,2025-11-12 20:02
Buccaneers @ Bills,Moneyline,"Sun 11/16, 6:00 PM",+230 | -250,15% | 85%,,,,2025-11-12 20:02
Chargers @ Jaguars,Moneyline,"Sun 11/16, 6:00 PM",-150 | +140,86% | 14%,,,,2025-11-12 20:02
