Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Packers @ Giants,Spread,"Sun 11/16, 6:00 PM",-7 (-105) | +7 (-104),54% | 46%,56% | 44%,+2%,"6,906",2025-11-12 20:58
Jets @ Patriots,Spread,"Fri 11/14, 1:15 AM",+12.5 (-102) | -13 (-107),39% | 61%,35% | 65%,+4%,"14,141",2025-11-12 20:58
Commanders @ Dolphins,Spread,"Sun 11/16, 2:30 PM",+2.5 (+102) | -2.5 (-115),37% | 63%,39% | 61%,+2%,"7,492",2025-11-12 20:58
Bengals @ Steelers,Spread,"Sun 11/16, 6:00 PM",+5.5 (-105) | -5.5 (-108),61% | 39%,54% | 46%,+7%,"6,613",2025-11-12 20:58
Panthers @ Falcons,Spread,"Sun 11/16, 6:00 PM",+3.5 (-110) | -3.5 (-104),41% | 59%,45% | 55%,+4%,"8,779",2025-11-12 20:58
Texans @ Titans,Spread,"Sun 11/16, 6:00 PM",-6.5 (-110) | +6.5 (-102),56% | 44%,48% | 52%,+8%,"5,811",2025-11-12 20:58
Bears @ Vikings,Spread,"Sun 11/16, 6:00 PM",+3 (-102) | -3 (-110),51% | 49%,51% | 49%,,"9,920",2025-11-12 20:58
Buccaneers @ Bills,Spread,"Sun 11/16, 6:00 PM",+5.5 (-109) | -5.5 (-110),59% | 41%,52% | 48%,+7%,"5,720",2025-11-12 20:58
Chargers @ Jaguars,Spread,"Sun 11/16, 6:00 PM",-3 (+100) | +3 (-114),67% | 33%,78% | 22%,+11%,"6,437",2025-11-12 20:58
Seahawks @ Rams,Spread,"Sun 11/16, 9:05 PM",+3 (-105) | -3 (-105),72% | 28%,76% | 24%,+4%,"7,780",2025-11-12 20:58
49ers @ Cardinals,Spread,"Sun 11/16, 9:05 PM",-2.5 (-118) | +3 (-108),63% | 37%,60% | 40%,+3%,"5,341",2025-11-12 20:58
Ravens @ Browns,Spread,"Sun 11/16, 9:25 PM",-7.5 (-109) | +7.5 (-104),76% | 24%,77% | 23%,+1%,"9,436",2025-11-12 20:58
Chiefs @ Broncos,Spread,"Sun 11/16, 9:25 PM",-4 (-105) | +4 (-110),57% | 43%,78% | 22%,+21%,"12,212",2025-11-12 20:58
Lions @ Eagles,Spread,"Mon 11/17, 1:20 AM",+2.5 (+100) | -2.5 (-114),78% | 22%,62% | 38%,+16%,"7,896",2025-11-12 20:58
Cowboys @ Raiders,Spread,"Tue 11/18, 1:15 AM",-3.5 (-102) | +3.5 (-110),74% | 26%,60% | 40%,+14%,"4,038",2025-11-12 20:58
Packers @ Giants,Total,"Sun 11/16, 6:00 PM",o43.5 (-108) | u43.5 (-102),66% | 34%,41% | 59%,+25%,"6,906",2025-11-12 20:58
Jets @ Patriots,Total,"Fri 11/14, 1:15 AM",o43 (-107) | u42.5 (-102),52% | 48%,42% | 58%,+10%,"14,141",2025-11-12 20:58
Commanders @ Dolphins,Total,"Sun 11/16, 2:30 PM",o47.5 (-104) | u47.5 (-108),9% | 91%,6% | 94%,+3%,"7,492",2025-11-12 20:58
Bengals @ Steelers,Total,"Sun 11/16, 6:00 PM",o49.5 (-102) | u49.5 (-110),29% | 71%,26% | 74%,+3%,"6,613",2025-11-12 20:58
Panthers @ Falcons,Total,"Sun 11/16, 6:00 PM",o41.5 (-118) | u42.5 (-105),39% | 61%,41% | 59%,+2%,"8,779",2025-11-12 20:58
Texans @ Titans,Total,"Sun 11/16, 6:00 PM",o37.5 (-105) | u38 (-110),68% | 32%,73% | 27%,+5%,"5,811",2025-11-12 20:58
Bears @ Vikings,Total,"Sun 11/16, 6:00 PM",o47.5 (-120) | u48.5 (-109),55% | 45%,85% | 15%,+30%,"9,920",2025-11-12 20:58
Buccaneers @ Bills,Total,"Sun 11/16, 6:00 PM",o48 (-110) | u47.5 (-102),29% | 71%,26% | 74%,+3%,"5,720",2025-11-12 20:58
Chargers @ Jaguars,Total,"Sun 11/16, 6:00 PM",o43.5 (-110) | u43.5 (-104),39% | 61%,33% | 67%,+6%,"6,437",2025-11-12 20:58
Seahawks @ Rams,Total,"Sun 11/16, 9:05 PM",o48.5 (-108) | u49 (-110),32% | 68%,50% | 50%,+18%,"7,780",2025-11-12 20:58
49ers @ Cardinals,Total,"Sun 11/16, 9:05 PM",o47.5 (-115) | u48.5 (-110),28% | 72%,46% | 54%,+18%,"5,341",2025-11-12 20:58
Ravens @ Browns,Total,"Sun 11/16, 9:25 PM",o39.5 (-104) | u39.5 (-110),43% | 57%,47% | 53%,+4%,"9,436",2025-11-12 20:58
Chiefs @ Broncos,Total,"Sun 11/16, 9:25 PM",o43.5 (-115) | u44.5 (-110),35% | 65%,36% | 64%,+1%,"12,212",2025-11-12 20:58
Lions @ Eagles,Total,"Mon 11/17, 1:20 AM",o46.5 (-110) | u46.5 (-102),46% | 54%,40% | 60%,+6%,"7,896",2025-11-12 20:58
Cowboys @ Raiders,Total,"Tue 11/18, 1:15 AM",o49.5 (-115) | u50.5 (-110),39% | 61%,67% | 33%,+28%,"4,038",2025-11-12 20:58
Packers @ Giants,Moneyline,"Sun 11/16, 6:00 PM",-350 | +295,91% | 9%,90% | 10%,+1%,"6,906",2025-11-12 20:58
Jets @ Patriots,Moneyline,"Fri 11/14, 1:15 AM",+610 | -800,6% | 94%,31% | 69%,+25%,"14,141",2025-11-12 20:58
Commanders @ Dolphins,Moneyline,"Sun 11/16, 2:30 PM",+133 | -150,48% | 52%,8% | 92%,+40%,"7,492",2025-11-12 20:58
Bengals @ Steelers,Moneyline,"Sun 11/16, 6:00 PM",+205 | -235,15% | 85%,27% | 73%,+12%,"6,613",2025-11-12 20:58
Panthers @ Falcons,Moneyline,"Sun 11/16, 6:00 PM",+165 | -180,21% | 79%,12% | 88%,+9%,"8,779",2025-11-12 20:58
Texans @ Titans,Moneyline,"Sun 11/16, 6:00 PM",-300 | +265,93% | 7%,79% | 21%,+14%,"5,811",2025-11-12 20:58
Bears @ Vikings,Moneyline,"Sun 11/16, 6:00 PM",+145 | -165,28% | 72%,38% | 62%,+10%,"9,920",2025-11-12 20:58
Buccaneers @ Bills,Moneyline,"Sun 11/16, 6:00 PM",+220 | -250,15% | 85%,13% | 87%,+2%,"5,720",2025-11-12 20:58
Chargers @ Jaguars,Moneyline,"Sun 11/16, 6:00 PM",-150 | +132,86% | 14%,90% | 10%,+4%,"6,437",2025-11-12 20:58
Seahawks @ Rams,Moneyline,"Sun 11/16, 9:05 PM",+150 | -164,38% | 62%,67% | 33%,+29%,"7,780",2025-11-12 20:58
49ers @ Cardinals,Moneyline,"Sun 11/16, 9:05 PM",-150 | +136,89% | 11%,94% | 6%,+5%,"5,341",2025-11-12 20:58
Ravens @ Browns,Moneyline,"Sun 11/16, 9:25 PM",-400 | +350,96% | 4%,94% | 6%,+2%,"9,436",2025-11-12 20:58
Chiefs @ Broncos,Moneyline,"Sun 11/16, 9:25 PM",-200 | +175,88% | 12%,96% | 4%,+8%,"12,212",2025-11-12 20:58
Lions @ Eagles,Moneyline,"Mon 11/17, 1:20 AM",+130 | -144,29% | 71%,62% | 38%,+33%,"7,896",2025-11-12 20:58
Cowboys @ Raiders,Moneyline,"Tue 11/18, 1:15 AM",-175 | +160,92% | 8%,97% | 3%,+5%,"4,038",2025-11-12 20:58
