game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU1:00 PM ET,GB,DET,GB @ DET,Jordan Love,Jared Goff,"Josh Jacobs (RB)-Q, M. Golden (WR)-Q, K. Raymond (WR)-Q, Brock Wright (TE)-Q","Dome
In Domed Stadium",DET-2.5,49.0,2025-11-26 12:19:24
THU4:30 PM ET,KC,DAL,KC @ DAL,P. Mahomes,Dak Prescott,G. Pickens (WR)-Q,"Dome
In Domed Stadium",KC -3,52.0,2025-11-26 12:19:25
THU8:20 PM ET,CIN,BAL,CIN @ BAL,Joe Burrow,L. Jackson,R. Bateman (WR)-Q,"0%
36°  11 mph W Wind",BAL-7,51.5,2025-11-26 12:19:25
FRI3:00 PM ET,CHI,PHI,CHI @ PHI,C. Williams,Jalen Hurts,"S. Barkley (RB)-Q, D. Smith (WR)-Q","0%
41°  16 mph W Wind",PHI-7,44.5,2025-11-26 12:19:26
SUN1:00 PM ET,LAR,CAR,LAR @ CAR,M. Stafford,Bryce Young,None,"13% Rain
49°  4 mph SSW Wind",LAR-10,45.0,2025-11-26 12:19:26
SUN1:00 PM ET,SF,CLE,SF @ CLE,Brock Purdy,S. Sanders,Eddy Pineiro (K)-Q,"87% Rain
41°  13 mph SW Wind",SF -5,37.5,2025-11-26 12:19:26
SUN1:00 PM ET,HOU,IND,HOU @ IND,C.J. Stroud,Daniel Jones,C.J. Stroud (QB)-Q,"Dome
In Domed Stadium",IND-4.5,44.5,2025-11-26 12:19:27
SUN1:00 PM ET,NO,MIA,NO @ MIA,Tyler Shough,T. Tagovailoa,Alvin Kamara (RB)-Q,"33% Precipitation
79°  13 mph E Wind",MIA-6,41.5,2025-11-26 12:19:27
SUN1:00 PM ET,ATL,NYJ,ATL @ NYJ,Kirk Cousins,Tyrod Taylor,Drake London (WR)-Q,"6% Rain
47°  10 mph S Wind",ATL-2.5,39.5,2025-11-26 12:19:27
SUN1:00 PM ET,ARI,TB,ARI @ TB,J. Brissett,B. Mayfield,"M. Harrison (WR)-Q, B. Mayfield (QB)-Q, Bucky Irving (RB)-Q","2% Precipitation
79°  8 mph ESE Wind",TB -3,44.5,2025-11-26 12:19:28
SUN1:00 PM ET,JAX,TEN,JAX @ TEN,T. Lawrence,Cam Ward,"Brian Thomas (WR)-Q, E. Ayomanor (WR)-Q","72% Rain
46°  9 mph W Wind",JAX-6.5,42.0,2025-11-26 12:19:28
SUN4:05 PM ET,MIN,SEA,MIN @ SEA,J. McCarthy,Sam Darnold,J. McCarthy (QB)-Q,"8% Precipitation
46°  3 mph N Wind",SEA-10.5,41.0,2025-11-26 12:19:28
SUN4:25 PM ET,LV,LAC,LV @ LAC,Geno Smith,J. Herbert,A. Jeanty (RB)-Q,"Dome
In Domed Stadium",LAC-9.5,41.0,2025-11-26 12:19:29
SUN4:25 PM ET,BUF,PIT,BUF @ PIT,Josh Allen,A. Rodgers,"D. Kincaid (TE)-Q, A. Rodgers (QB)-Q, DK Metcalf (WR)-Q","66% Rain
42°  10 mph SW Wind",BUF-3.5,47.5,2025-11-26 12:19:29
SUN8:20 PM ET,DEN,WAS,DEN @ WAS,Bo Nix,J. Daniels,"J. Daniels (QB)-Q, T. McLaurin (WR)-Q, T. Burks (WR)-Q","43% Precipitation
44°  5 mph SW Wind",DEN-6.5,43.5,2025-11-26 12:19:30
MON8:15 PM ET,NYG,NE,NYG @ NE,Jaxson Dart,Drake Maye,Jaxson Dart (QB)-Q,"40% Precipitation
38°  5 mph WNW Wind",NE -7,46.5,2025-11-26 12:19:30
