game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
SAT4:30 PM ET,CAR,TB,CAR @ TB,Bryce Young,B. Mayfield,None,"100% Rain
67°  8 mph W Wind",TB -3,42.5,2026-01-04 16:46:44
SAT8:00 PM ET,SEA,SF,SEA @ SF,Sam Darnold,Brock Purdy,Brock Purdy (QB)-Q,"0%
58°  9 mph SSE Wind",SEA-2.5,48.5,2026-01-04 16:46:52
SUN1:00 PM ET,NO,ATL,NO @ ATL,Tyler Shough,Kirk Cousins,None,"Dome
In Domed Stadium",ATL-4,43.5,2026-01-04 16:46:53
SUN1:00 PM ET,CLE,CIN,CLE @ CIN,S. Sanders,Joe Burrow,None,"0%
35°  1 mph NNE Wind",CIN-9.5,46.0,2026-01-04 16:46:54
SUN1:00 PM ET,IND,HOU,IND @ HOU,R. Leonard,C.J. Stroud,None,"Dome
In Domed Stadium",HOU-10,37.5,2026-01-04 16:46:55
SUN1:00 PM ET,TEN,JAX,TEN @ JAX,Cam Ward,T. Lawrence,None,"1% Precipitation
58°  11 mph NNE Wind",JAX-13.5,46.5,2026-01-04 16:46:55
SUN1:00 PM ET,GB,MIN,GB @ MIN,Jordan Love,J. McCarthy,None,"Dome
In Domed Stadium",MIN-12.5,37.0,2026-01-04 16:46:56
SUN1:00 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,None,"0%
34°  8 mph NW Wind",DAL-3,49.5,2026-01-04 16:46:56
SUN4:25 PM ET,NYJ,BUF,NYJ @ BUF,Brady Cook,Josh Allen,D. Kincaid (TE)-Q,"16% Precipitation
26°  8 mph W Wind",BUF-10.5,38.0,2026-01-04 16:46:57
SUN4:25 PM ET,DET,CHI,DET @ CHI,Jared Goff,C. Williams,"A. St. Brown (WR)-Q, Rome Odunze (WR)-Q","4% Precipitation
32°  10 mph S Wind",CHI-4.5,51.5,2026-01-04 16:46:57
SUN4:25 PM ET,LAC,DEN,LAC @ DEN,J. Herbert,Bo Nix,Kimani Vidal (RB)-Q,"0%
69°  8 mph NW Wind",DEN-14,37.5,2026-01-04 16:46:58
SUN4:25 PM ET,KC,LV,KC @ LV,C. Oladokun,K. Pickett,"I. Pacheco (RB)-Q, X. Worthy (WR)-D","Dome
In Domed Stadium",KC -4.5,36.0,2026-01-04 16:46:58
SUN4:25 PM ET,ARI,LAR,ARI @ LAR,J. Brissett,M. Stafford,"K. Williams (RB)-Q, D. Adams (WR)-Q","Dome
In Domed Stadium",LAR-14,47.5,2026-01-04 16:46:58
SUN4:25 PM ET,MIA,NE,MIA @ NE,Quinn Ewers,Drake Maye,"D. Achane (RB)-D, J. Waddle (WR)-Q","1% Precipitation
29°  5 mph WNW Wind",NE -13.5,45.5,2026-01-04 16:46:59
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,Josh Johnson,Jalen Hurts,None,"0%
36°  9 mph NW Wind",PHI-3.5,38.5,2026-01-04 16:46:59
SUN8:20 PM ET,BAL,PIT,BAL @ PIT,L. Jackson,A. Rodgers,None,"1% Precipitation
25°  1 mph WSW Wind",BAL-3.5,41.5,2026-01-04 16:47:00
