game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,None,"0%
72°  8 mph N Wind",SEA-3.5,44.5,2026-09-06 05:15:35
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,"C. McCaffrey (RB)-Q, Mike Evans (WR)-Q, D. Stribling (WR)-Q, G. Kittle (TE)-Q, Puka Nacua (WR)-Q","Dome
In Domed Stadium",LAR-3.5,48.0,2026-09-06 05:15:35
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,"D. Swift (RB)-Q, Rome Odunze (WR)-Q, L. Burden (WR)-Q, C. Hubbard (RB)-Q, X. Legette (WR)-Q","6% Precipitation
86°  5 mph SSW Wind",CHI-2.5,47.5,2026-09-06 05:15:35
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,"Emeka Egbuka (WR)-Q, J. McMillan (WR)-Q, J. Chase (WR)-Q, Tee Higgins (WR)-Q","13% Precipitation
84°  9 mph SW Wind",CIN-4,50.5,2026-09-06 05:15:36
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,Sam LaPorta (TE)-Q,"Dome
In Domed Stadium",DET-7,50.0,2026-09-06 05:15:36
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,"K. Shakir (WR)-Q, Keon Coleman (WR)-Q, Jaylin Noel (WR)-Q","Dome
In Domed Stadium",BUF-1.5,44.5,2026-09-06 05:15:36
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,"Zay Flowers (WR)-Q, Josh Downs (WR)-Q, Tyler Warren (TE)-Q","Dome
In Domed Stadium",BAL-3.5,48.0,2026-09-06 05:15:37
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,"B. Tuten (RB)-Q, J. Meyers (WR)-Q","13% Precipitation
89°  4 mph SE Wind",JAX-8,40.5,2026-09-06 05:15:37
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,"DK Metcalf (WR)-Q, M. Pittman (WR)-Q","12% Precipitation
81°  10 mph SW Wind",PIT-3.5,42.5,2026-09-06 05:15:37
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,"Breece Hall (RB)-Q, Carnell Tate (WR)-Q, W. Robinson (WR)-Q","10% Precipitation
89°  8 mph SSW Wind",TEN-1.5,39.5,2026-09-06 05:15:38
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,A. Jeanty (RB)-Q,"Dome
In Domed Stadium",LV -3.5,40.5,2026-09-06 05:15:38
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,"J. Love (RB)-Q, Tre' Harris (WR)-Q, C. Dicker (K)-Q","Dome
In Domed Stadium",LAC-10,47.0,2026-09-06 05:15:38
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,Tucker Kraft (TE)-Q,"Dome
In Domed Stadium",MIN-1.5,46.0,2026-09-06 05:15:39
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,J. Croskey-Merritt (RB)-Q,"13% Precipitation
84°  9 mph SSW Wind",PHI-5,44.5,2026-09-06 05:15:39
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,"10% Precipitation
75°  10 mph S Wind",DAL-3,48.5,2026-09-06 05:15:39
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,P. Mahomes (QB)-Q,"23% Rain
67°  8 mph WNW Wind",KC -2.5,43.5,2026-09-06 05:15:39
