game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,None,No weather info available,SEA-3.5,44.5,2026-08-16 02:17:06
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,"C. McCaffrey (RB)-Q, C. Kirk (WR)-Q, Puka Nacua (WR)-Q","Dome
In Domed Stadium",-,–,2026-08-16 02:17:06
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,"L. Burden (WR)-Q, C. Hubbard (RB)-Q",No weather info available,CHI-2.5,46.0,2026-08-16 02:17:09
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,J. McMillan (WR)-Q,No weather info available,CIN-3.5,51.5,2026-08-16 02:17:10
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,Jordyn Tyson (WR)-Q,"Dome
In Domed Stadium",DET-7,49.0,2026-08-16 02:17:10
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,DJ Moore (WR)-Q,"Dome
In Domed Stadium",BUF-1.5,44.5,2026-08-16 02:17:11
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,Josh Downs (WR)-Q,"Dome
In Domed Stadium",BAL-3.5,48.0,2026-08-16 02:17:11
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,None,No weather info available,JAX-7.5,40.5,2026-08-16 02:17:12
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,"DK Metcalf (WR)-Q, M. Pittman (WR)-Q",No weather info available,PIT-3,42.5,2026-08-16 02:17:14
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,"Geno Smith (QB)-Q, Kenyon Sadiq (TE)-Q",No weather info available,TEN-2.5,39.5,2026-08-16 02:17:15
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,None,"Dome
In Domed Stadium",LV -3.5,40.5,2026-08-16 02:17:15
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,J. Love (RB)-Q,"Dome
In Domed Stadium",LAC-10.5,46.0,2026-08-16 02:17:15
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,"Josh Jacobs (RB)-Q, Tucker Kraft (TE)-Q, J. Addison (WR)-Q","Dome
In Domed Stadium",MIN-1.5,45.0,2026-08-16 02:17:16
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,"D. Smith (WR)-Q, Makai Lemon (WR)-Q",No weather info available,PHI-4.5,46.5,2026-08-16 02:17:16
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,No weather info available,DAL-2.5,48.5,2026-08-16 02:17:16
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,"J.K. Dobbins (RB)-Q, J. Waddle (WR)-Q, P. Mahomes (QB)-Q, X. Worthy (WR)-Q",No weather info available,KC -3,42.5,2026-08-16 02:17:17
