su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct,sample_size,source,note,query,referee,favorite,game_type
30-21,58.8%,23-28,45.1%,24-27,47.1%,51,nflverse schedules,,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018,Adrian Hill,HF,NDIV
15-12,55.6%,11-16,40.7%,16-11,59.3%,27,nflverse schedules,,'Alex Kemp' in officials and HF and DIV and REG and season>=2018,Alex Kemp,HF,DIV
16-14,53.3%,12-17-1,41.4%,15-15,50.0%,30,nflverse schedules,,'Brad Allen' in officials and AF and C and REG and season>=2018,Brad Allen,AF,C
34-16,68.0%,25-23-2,52.1%,27-23,54.0%,50,nflverse schedules,,'John Hussey' in officials and HF and NDIV and REG and season>=2018,John Hussey,HF,NDIV
20-6,76.9%,17-9,65.4%,9-17,34.6%,26,nflverse schedules,,'Alan Eck' in officials and HF and C and REG and season>=2018,Alan Eck,HF,C
2-2,50.0%,1-3,25.0%,2-2,50.0%,4,nflverse schedules,Broadened sample because AF/C had fewer than 5 games,'Alex Moore' in officials and AF and C and REG and season>=2018,Alex Moore,AF,C
21-10,67.7%,15-15-1,50.0%,14-17,45.2%,31,nflverse schedules,,'Scott Novak' in officials and AF and C and REG and season>=2018,Scott Novak,AF,C
33-21,61.1%,23-31,42.6%,22-32,40.7%,54,nflverse schedules,,'Craig Wrolstad' in officials and HF and C and REG and season>=2018,Craig Wrolstad,HF,C
22-17,56.4%,17-21-1,44.7%,24-15,61.5%,39,nflverse schedules,,'Brad Rogers' in officials and HF and NDIV and REG and season>=2018,Brad Rogers,HF,NDIV
17-10,63.0%,9-15-3,37.5%,10-16-1,38.5%,27,nflverse schedules,,'Land Clark' in officials and HF and C and REG and season>=2018,Land Clark,HF,C
27-7,79.4%,17-17,50.0%,13-21,38.2%,34,nflverse schedules,,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018,Ron Torbert,HF,NDIV
32-15,68.1%,23-21-3,52.3%,24-23,51.1%,47,nflverse schedules,,'Clete Blakeman' in officials and HF and C and REG and season>=2018,Clete Blakeman,HF,C
15-15,50.0%,10-20,33.3%,11-17-2,39.3%,30,nflverse schedules,,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018,Shawn Hochuli,HF,DIV
15-9,62.5%,7-16-1,30.4%,10-14,41.7%,24,nflverse schedules,,'Shawn Smith' in officials and HF and DIV and REG and season>=2018,Shawn Smith,HF,DIV
10-10,50.0%,6-13-1,31.6%,11-9,55.0%,20,nflverse schedules,,'Carl Cheffers' in officials and AF and DIV and REG and season>=2018,Carl Cheffers,AF,DIV
12-17,41.4%,8-21,27.6%,20-9,69.0%,29,nflverse schedules,,'Clay Martin' in officials and HF and DIV and REG and season>=2018,Clay Martin,HF,DIV
