matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score
Seahawks at Rams,🔵 BLUE CHIP,9,9,3.0,16.0,63.9,40.5,0,0
Bears at Vikings,🎯 TARGETED PLAY,7,7,14.0,15.0,53.6,57.1,0,0
Chiefs at Broncos,🎯 TARGETED PLAY,6,7,17.0,-1.0,55.6,26.3,0,0
Lions at Eagles,📊 LEAN,3,5,4.0,-2.0,52.7,54.5,0,0
Cowboys at Raiders,🚨 TRAP GAME,2,6,-6.0,22.0,41.7,48.0,0,0
Commanders vs. Dolphins,⚠️ LANDMINE,0,3,5.0,-3.0,57.6,52.9,0,0
Chargers at Jaguars,⚠️ LANDMINE,0,3,3.0,-6.0,54.1,55.6,0,0
Packers at Giants,⚠️ LANDMINE,0,3,5.0,-5.0,54.5,45.7,0,0
Bengals at Steelers,⚠️ LANDMINE,0,3,-10.0,4.0,41.9,35.5,0,0
Ravens at Browns,⚠️ LANDMINE,0,3,-4.0,1.0,41.2,44.4,0,0
Panthers at Falcons,❌ FADE,-3,2,-2.0,3.0,24.0,68.0,0,0
Buccaneers at Bills,❌ FADE,-3,2,-9.0,-8.0,46.2,59.3,0,0
Texans at Titans,❌ FADE,-3,2,-6.0,-7.0,53.8,30.8,0,0
49ers at Cardinals,❌ FADE,-3,2,-1.0,11.0,21.4,40.0,0,0
