matchup,referee,away,home,spread,favorite,game_type,query,su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct,injuries,weather,game_time
Jets at Patriots,Alan Eck,NYJ,NE,-12.5,HF,DIV,'Alan Eck' in officials and HF and DIV and REG and season>=2018,,,,,,,"G. Wilson (WR)-D, R. Stevenson (RB)-Q, K. Boutte (WR)-Q","5% Precipitation
38°  7 mph WNW Wind",THU8:15 PM ET
Commanders vs. Dolphins,Shawn Smith,WAS,MIA,-2.5,HF,NDIV,'Shawn Smith' in officials and HF and NDIV and REG and season>=2018,,,,,,,Julian Hill (TE)-Q,"36% Precipitation
55°  10 mph SW Wind",SUN9:30 AM ET
Panthers at Falcons,Clay Martin,CAR,ATL,-3.5,HF,DIV,'Clay Martin' in officials and HF and DIV and REG and season>=2018,,,,,,,,"Dome
In Domed Stadium",SUN1:00 PM ET
Buccaneers at Bills,Alex Moore,TB,BUF,-5.5,HF,NDIV,'Alex Moore' in officials and HF and NDIV and REG and season>=2018,,,,,,,"Bucky Irving (RB)-D, Chris Godwin (WR)-D, J. Palmer (WR)-Q, D. Kincaid (TE)-Q","87% Rain
43°  12 mph W Wind",SUN1:00 PM ET
Chargers at Jaguars,Craig Wrolstad,LAC,JAX,3.0,AF,C,'Craig Wrolstad' in officials and AF and C and REG and season>=2018,,,,,,,"O. Gadsden (TE)-Q, Brian Thomas (WR)-Q, Hunter Long (TE)-Q","0%
77°  12 mph W Wind",SUN1:00 PM ET
Bears at Vikings,Brad Rogers,CHI,MIN,-3.0,HF,DIV,'Brad Rogers' in officials and HF and DIV and REG and season>=2018,,,,,,,,"Dome
In Domed Stadium",SUN1:00 PM ET
Packers at Giants,Scott Novak,GB,NYG,7.0,AF,C,'Scott Novak' in officials and AF and C and REG and season>=2018,,,,,,,"Romeo Doubs (WR)-Q, M. Golden (WR)-Q, Jaxson Dart (QB)-Q, Graham Gano (K)-Q","74% Rain
55°  14 mph WNW Wind",SUN1:00 PM ET
Texans at Titans,Shawn Hochuli,HOU,TEN,7.0,AF,DIV,'Shawn Hochuli' in officials and AF and DIV and REG and season>=2018,,,,,,,"C.J. Stroud (QB)-Q, K. Fairbairn (K)-Q, C. Ridley (WR)-Q","14% Precipitation
66°  11 mph NW Wind",SUN1:00 PM ET
Bengals at Steelers,Bill Vinovich,CIN,PIT,-5.5,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018,,,,,,,,"81% Rain
50°  18 mph WNW Wind",SUN1:00 PM ET
49ers at Cardinals,Carl Cheffers,SF,ARI,2.5,AF,DIV,'Carl Cheffers' in officials and AF and DIV and REG and season>=2018,,,,,,,"Brock Purdy (QB)-Q, R. Pearsall (WR)-Q, Bam Knight (RB)-Q","Dome
In Domed Stadium",SUN4:05 PM ET
Seahawks at Rams,John Hussey,SEA,LAR,-2.5,HF,DIV,'John Hussey' in officials and HF and DIV and REG and season>=2018,,,,,,,D. Adams (WR)-Q,"Dome
In Domed Stadium",SUN4:05 PM ET
Ravens at Browns,Land Clark,BAL,CLE,7.5,AF,DIV,'Land Clark' in officials and AF and DIV and REG and season>=2018,,,,,,,"R. Bateman (WR)-Q, Isaiah Bond (WR)-Q","38% Precipitation
46°  20 mph WNW Wind",SUN4:25 PM ET
Chiefs at Broncos,Adrian Hill,KC,DEN,3.5,AF,DIV,'Adrian Hill' in officials and AF and DIV and REG and season>=2018,,,,,,,"I. Pacheco (RB)-Q, J.K. Dobbins (RB)-Q, Marvin Mims (WR)-Q","10% Precipitation
64°  6 mph ENE Wind",SUN4:25 PM ET
Lions at Eagles,Alex Kemp,DET,PHI,-2.5,HF,C,'Alex Kemp' in officials and HF and C and REG and season>=2018,,,,,,,,"19% Precipitation
49°  10 mph WNW Wind",SUN8:20 PM ET
Cowboys at Raiders,Brad Allen,DAL,LV,3.5,AF,NDIV,'Brad Allen' in officials and AF and NDIV and REG and season>=2018,,,,,,,Geno Smith (QB)-Q,"Dome
In Domed Stadium",MON8:15 PM ET
