matchup,referee,time,week,away_team,home_team
Cowboys at Lions,Shawn Hochuli,8:15 p.m.,14,Cowboys,Lions
Seahawks at Falcons,Alex Kemp,1 p.m.,14,Seahawks,Falcons
Steelers at Ravens,Alex Moore,1 p.m.,14,Steelers,Ravens
Titans at Browns,Carl Cheffers,1 p.m.,14,Titans,Browns
Colts at Jaguars,John Hussey,1 p.m.,14,Colts,Jaguars
Commanders at Vikings,Brad Allen,1 p.m.,14,Commanders,Vikings
Dolphins at Jets,Bill Vinovich,1 p.m.,14,Dolphins,Jets
Saints at Buccaneers,Clete Blakeman,1 p.m.,14,Saints,Buccaneers
Bengals at Bills,Brad Rogers,1 p.m.,14,Bengals,Bills
Broncos at Raiders,Shawn Smith,4:05 p.m.,14,Broncos,Raiders
Bears at Packers,Craig Wrolstad,4:25 p.m.,14,Bears,Packers
Rams at Cardinals,Ron Torbert,4:25 p.m.,14,Rams,Cardinals
Texans at Chiefs,Alan Eck,8:20 p.m.,14,Texans,Chiefs
Eagles at Chargers,Scott Novak,8:15 p.m.,14,Eagles,Chargers
