captured_at,run_stage,week,season,away,home,spread_away,prev_spread_away,spread_delta
2026-09-16T18:03:18Z,update,2,2026,GIA,RAM,-6.5,,
2026-09-16T18:03:18Z,update,2,2026,LIO,BIL,-4.5,,
2026-09-16T18:03:18Z,update,2,2026,BRO,BUC,-8.5,,
2026-09-16T18:03:18Z,update,2,2026,PAC,JET,3.5,,
2026-09-16T18:03:18Z,update,2,2026,PAN,FAL,2.5,,
2026-09-16T18:03:18Z,update,2,2026,EAG,TIT,7.5,,
2026-09-16T18:03:18Z,update,2,2026,BEN,TEX,-2.5,,
2026-09-16T18:03:18Z,update,2,2026,SAI,RAV,-8.5,,
2026-09-16T18:03:18Z,update,2,2026,VIK,BEA,-5.5,,
2026-09-16T18:03:18Z,update,2,2026,STE,PAT,-5.5,,
2026-09-16T18:03:18Z,update,2,2026,RAI,CHA,-6.5,,
2026-09-16T18:03:18Z,update,2,2026,JAG,BRO,-2.5,,
2026-09-16T18:03:18Z,update,2,2026,COM,COW,-4.5,,
2026-09-16T18:03:18Z,update,2,2026,DOL,49E,-13.5,,
2026-09-16T18:03:18Z,update,2,2026,SEA,CAR,3.5,,
2026-09-16T18:03:18Z,update,2,2026,COL,CHI,-6.5,,
2026-09-17T21:12:41Z,update,2,2026,GIA,RAM,-7.0,-6.5,-0.5
2026-09-17T21:12:41Z,update,2,2026,LIO,BIL,-5.5,-4.5,-1.0
2026-09-17T21:12:41Z,update,2,2026,BRO,BUC,-8.5,-8.5,0.0
2026-09-17T21:12:41Z,update,2,2026,PAC,JET,3.5,3.5,0.0
2026-09-17T21:12:41Z,update,2,2026,PAN,FAL,2.5,2.5,0.0
2026-09-17T21:12:41Z,update,2,2026,EAG,TIT,7.5,7.5,0.0
2026-09-17T21:12:41Z,update,2,2026,BEN,TEX,-2.5,-2.5,0.0
2026-09-17T21:12:41Z,update,2,2026,SAI,RAV,-8.5,-8.5,0.0
2026-09-17T21:12:41Z,update,2,2026,VIK,BEA,-4.5,-5.5,1.0
2026-09-17T21:12:41Z,update,2,2026,STE,PAT,-4.5,-5.5,1.0
2026-09-17T21:12:41Z,update,2,2026,RAI,CHA,-6.5,-6.5,0.0
2026-09-17T21:12:41Z,update,2,2026,JAG,BRO,-2.5,-2.5,0.0
2026-09-17T21:12:41Z,update,2,2026,COM,COW,-3.5,-4.5,1.0
2026-09-17T21:12:41Z,update,2,2026,DOL,49E,-12.5,-13.5,1.0
2026-09-17T21:12:41Z,update,2,2026,SEA,CAR,3.5,3.5,0.0
2026-09-17T21:12:41Z,update,2,2026,COL,CHI,-6.5,-6.5,0.0
2026-09-20T05:32:55Z,update,2,2026,GIA,RAM,-6.5,-7.0,0.5
2026-09-20T05:32:55Z,update,2,2026,BRO,BUC,-7.5,-8.5,1.0
2026-09-20T05:32:55Z,update,2,2026,PAC,JET,3.5,3.5,0.0
2026-09-20T05:32:55Z,update,2,2026,PAN,FAL,2.5,2.5,0.0
2026-09-20T05:32:55Z,update,2,2026,EAG,TIT,7.5,7.5,0.0
2026-09-20T05:32:55Z,update,2,2026,BEN,TEX,-2.5,-2.5,0.0
2026-09-20T05:32:55Z,update,2,2026,SAI,RAV,-8.5,-8.5,0.0
2026-09-20T05:32:55Z,update,2,2026,VIK,BEA,-4.5,-4.5,0.0
2026-09-20T05:32:55Z,update,2,2026,STE,PAT,-5.5,-4.5,-1.0
2026-09-20T05:32:55Z,update,2,2026,RAI,CHA,-6.5,-6.5,0.0
2026-09-20T05:32:55Z,update,2,2026,JAG,BRO,-2.5,-2.5,0.0
2026-09-20T05:32:55Z,update,2,2026,COM,COW,-3.5,-3.5,0.0
2026-09-20T05:32:55Z,update,2,2026,DOL,49E,-13.5,-12.5,-1.0
2026-09-20T05:32:55Z,update,2,2026,SEA,CAR,3.5,3.5,0.0
2026-09-20T05:32:55Z,update,2,2026,COL,CHI,-5.5,-6.5,1.0
2026-09-20T05:32:55Z,update,2,2026,LIO,BIL,-16.5,-5.5,-11.0
