matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Minnesota Vikings @ Chicago Bears,REG,2026.1,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,7.7,7.7,spread,HOME,sharp spread edge,spread HOME 3/3 | total OVER 2/4 | final spread HOME,-18.0,3.0,43.8,68.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Minnesota Vikings (1.1 pts),0,Market inefficiency detected (-18.0% sharp edge),0,Neutral schedule situation (standard rest)
Seattle Seahawks @ Arizona Cardinals,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread HOME 0/4 | total UNDER 2/4 | final none ,-1.0,-11.0,66.7,58.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Green Bay Packers @ New York Jets,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.3,3.3,none,,,spread NA NA/NA | total NA NA/NA | final none ,-7.0,2.0,51.6,46.9,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Green Bay Packers (1.6 pts),0,Market mispricing possible (-7.0% edge),0,Neutral schedule situation (standard rest)
Cleveland Browns @ Tampa Bay Buccaneers,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.1,3.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-14.0,9.0,46.2,60.0,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Tampa Bay Buccaneers (2.0 pts),0,"Market inefficiency detected (-14.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Neutral schedule situation (standard rest)
Indianapolis Colts @ Kansas City Chiefs,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,-15.0,14.0,43.6,41.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Kansas City Chiefs (2.0 pts),0,Market inefficiency detected (-15.0% sharp edge),0,Neutral schedule situation (standard rest)
Philadelphia Eagles @ Tennessee Titans,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.0,2.0,none,,,spread NA NA/NA | total NA NA/NA | final none ,7.0,1.0,44.7,48.6,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market mispricing possible (+7.0% edge), Extreme public sentiment (86% on one side), Potential steam move developing, High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
Las Vegas Raiders @ Los Angeles Chargers,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.0,1.0,none,,,spread NA NA/NA | total NA NA/NA | final none ,-10.0,2.0,42.4,36.4,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Los Angeles Chargers (5.0 pts),0,Market inefficiency detected (-10.0% sharp edge),0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Denver Broncos,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,0.9,0.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,15.0,15.0,53.1,54.9,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-2,Strong statistical edge to Denver Broncos (3.9 pts),0,Market inefficiency detected (+15.0% sharp edge),0,Neutral schedule situation (standard rest)
Detroit Lions @ Buffalo Bills,REG,2026.1,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,rotowire: missing file path,,0.5,0.5,none,,,spread HOME 3/4 | total OVER 1/4 | final none ,-42.0,19.0,48.6,37.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Buffalo Bills (5.0 pts),0,"Market inefficiency detected (-42.0% sharp edge), High contrarian value (fade the public)",0,Neutral schedule situation (standard rest)
New Orleans Saints @ Baltimore Ravens,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.3,0.3,none,,,spread NA NA/NA | total NA NA/NA | final none ,-9.0,17.0,53.3,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Baltimore Ravens (2.0 pts),0,"Market mispricing possible (-9.0% edge), STEAM MOVE: Sharps heavily against public",0,Neutral schedule situation (standard rest)
