matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Denver Broncos @ Atlanta Falcons,REG,2026.1,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,13.4,13.4,spread,AWAY,sharp spread edge,spread AWAY 3/3 | total OVER -2/4 | final spread AWAY,34.0,4.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Denver Broncos (5.0 pts),0,Market inefficiency detected (+34.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Green Bay Packers @ Pittsburgh Steelers,REG,2026.1,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,11.3,11.3,spread,HOME,sharp spread edge,spread HOME 3/3 | total UNDER -2/4 | final spread HOME,-19.0,-1.0,44.7,61.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Green Bay Packers (5.0 pts),0,Market inefficiency detected (-19.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Los Angeles Rams @ Kansas City Chiefs,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,7.3,7.3,none,,,spread NEUTRAL 0/4 | total OVER -2/4 | final none ,0.0,1.0,50.0,38.2,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Los Angeles Rams (5.0 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Jacksonville Jaguars @ New Orleans Saints,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,6.8,6.8,none,,,spread NEUTRAL 0/4 | total OVER -2/4 | final none ,0.0,2.0,40.5,39.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Jacksonville Jaguars (4.6 pts),0,Extreme public sentiment (0% on one side),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Cleveland Browns @ Chicago Bears,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread AWAY 1/4 | total UNDER 0/4 | final none ,6.0,-1.0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Cleveland Browns (1.1 pts),0,Market mispricing possible (+6.0% edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Philadelphia Eagles @ Baltimore Ravens,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.5,4.5,none,,,spread NA NA/NA | total NA NA/NA | final none ,-25.0,1.0,45.1,47.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market inefficiency detected (-25.0% sharp edge), Potential steam move developing",0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Detroit Lions @ Cincinnati Bengals,REG,2026.1,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread HOME 3/4 | total UNDER 0/4 | final none ,-31.0,-1.0,42.6,40.7,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Cincinnati Bengals (2.0 pts),0,Market inefficiency detected (-31.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Minnesota Vikings @ New York Giants,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,-23.0,3.0,52.3,51.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Giants (2.0 pts),0,Market inefficiency detected (-23.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Indianapolis Colts @ New England Patriots,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.9,1.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,29.0,-11.0,37.5,38.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to New England Patriots (5.0 pts),0,Market inefficiency detected (+29.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Miami Dolphins @ Washington Commanders,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.2,1.2,none,,,spread NA NA/NA | total NA NA/NA | final none ,10.0,-2.0,48.8,57.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Washington Commanders (2.0 pts),0,Market inefficiency detected (+10.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Arizona Cardinals @ Las Vegas Raiders,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.1,1.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-8.0,1.0,27.9,52.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Las Vegas Raiders (2.0 pts),0,Market mispricing possible (-8.0% edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Los Angeles Chargers @ Houston Texans,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,0.9,0.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,23.0,2.0,53.2,48.9,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-2,Strong statistical edge to Houston Texans (3.3 pts),0,Market inefficiency detected (+23.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Tennessee Titans @ San Francisco 49ers,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-0.9,0.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,56.0,3.0,48.9,54.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to San Francisco 49ers (5.0 pts),0,Market inefficiency detected (+56.0% sharp edge),0,"Week PRE1 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
