matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Buffalo Bills @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,7.3,7.3,none,,,spread HOME 0/4 | total OVER 2/4 | final none ,-3.0,12.0,27.9,52.2,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Buffalo Bills (5.0 pts),0,"Extreme public sentiment (80% on one side), High contrarian value (fade the public)",0,Week PRE2 not found. Available: []...
Seattle Seahawks @ Tennessee Titans,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread HOME 0/4 | total OVER 3/4 | final none ,-4.0,17.0,52.3,51.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,High contrarian value (fade the public),0,Week PRE2 not found. Available: []...
New York Jets @ Pittsburgh Steelers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.1,5.1,none,,,spread HOME 1/4 | total UNDER 0/4 | final none ,-5.0,-1.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to New York Jets (3.4 pts),0,"Market mispricing possible (-5.0% edge), Extreme public sentiment (15% on one side), Potential steam move developing",0,Week PRE2 not found. Available: []...
Baltimore Ravens @ Minnesota Vikings,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,rotowire: missing file path,,4.8,4.8,none,,,spread HOME 3/4 | total UNDER 1/4 | final none ,-17.0,-6.0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Minnesota Vikings (2.0 pts),0,"Market inefficiency detected (-17.0% sharp edge), High contrarian value (fade the public)",0,Week PRE2 not found. Available: []...
New York Giants @ Miami Dolphins,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,17.0,-6.0,40.5,39.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,Market inefficiency detected (+17.0% sharp edge),0,Week PRE2 not found. Available: []...
San Francisco 49ers @ Los Angeles Chargers,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.0,3.0,none,,,spread NA NA/NA | total NA NA/NA | final none ,-12.0,-1.0,42.6,40.7,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market inefficiency detected (-12.0% sharp edge), Potential steam move developing",0,Week PRE2 not found. Available: []...
Atlanta Falcons @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,-29.0,3.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,Market inefficiency detected (-29.0% sharp edge),0,Week PRE2 not found. Available: []...
Las Vegas Raiders @ Houston Texans,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.6,2.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,24.0,12.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Houston Texans (5.0 pts),0,Market inefficiency detected (+24.0% sharp edge),0,Week PRE2 not found. Available: []...
Carolina Panthers @ Jacksonville Jaguars,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,-7.0,4.0,66.7,55.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Jacksonville Jaguars (5.0 pts),0,"Market mispricing possible (-7.0% edge), Potential steam move developing",0,Week PRE2 not found. Available: []...
Washington Commanders @ Detroit Lions,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,-3.0,4.0,45.1,47.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Detroit Lions (2.0 pts),0,Standard market dynamics,0,Week PRE2 not found. Available: []...
