matchup,referee,away,home,spread,favorite,game_type,query
Raiders at Texans,Alan Eck,LV,HOU,0.0,HF,C,'Alan Eck' in officials and HF and C and REG and season>=2018
49ers at Chargers,Craig Wrolstad,SF,LAC,-2.5,HF,NDIV,'Craig Wrolstad' in officials and HF and NDIV and REG and season>=2018
Jets at Steelers,Larry Smith BACKUP REFEREE,NYJ,PIT,0.0,HF,C,'Larry Smith BACKUP REFEREE' in officials and HF and C and REG and season>=2018
Panthers at Jaguars,Alex Moore,CAR,JAX,0.0,HF,NDIV,'Alex Moore' in officials and HF and NDIV and REG and season>=2018
Packers at Broncos,Land Clark,GB,DEN,0.0,HF,NDIV,'Land Clark' in officials and HF and NDIV and REG and season>=2018
Commanders at Lions,Adrian HillRoy Ellison 2nd HALF,WAS,DET,0.0,HF,C,'Adrian HillRoy Ellison 2nd HALF' in officials and HF and C and REG and season>=2018
Bills at Browns,Bill Vinovich,BUF,CLE,0.0,HF,C,'Bill Vinovich' in officials and HF and C and REG and season>=2018
Falcons at Colts,Bryan Neale BACKUP REFEREE,ATL,IND,0.0,HF,NDIV,'Bryan Neale BACKUP REFEREE' in officials and HF and NDIV and REG and season>=2018
Ravens at Vikings,Alex KempScott Helverson 2nd HALF,BAL,MIN,0.0,HF,NDIV,'Alex KempScott Helverson 2nd HALF' in officials and HF and NDIV and REG and season>=2018
Saints at Rams,Carl Cheffers,NO,LAR,0.0,HF,C,'Carl Cheffers' in officials and HF and C and REG and season>=2018
Giants at Dolphins,Clay MartinJerod Phillips 2nd HALF,NYG,MIA,0.0,HF,NDIV,'Clay MartinJerod Phillips 2nd HALF' in officials and HF and NDIV and REG and season>=2018
Bears at Bengals,Ron Torbert,CHI,CIN,0.0,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Eagles at Patriots,Scott Novak,PHI,NE,0.0,HF,NDIV,'Scott Novak' in officials and HF and NDIV and REG and season>=2018
Chiefs at Buccaneers,Brad Allen,KC,TB,0.0,HF,NDIV,'Brad Allen' in officials and HF and NDIV and REG and season>=2018
Cowboys at Cardinals,John Hussey,DAL,ARI,0.0,HF,C,'John Hussey' in officials and HF and C and REG and season>=2018
Seahawks at Titans,Clete Blakeman,SEA,TEN,0.0,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018
