matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
San Francisco 49ers @ Las Vegas Raiders,PRE,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.4,8.4,none,,,spread AWAY 2/3 | total OVER 0/4 | final none ,13.0,1.0,52.1,54.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to San Francisco 49ers (4.0 pts),0,"Market inefficiency detected (+13.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Week PRE3 not found. Available: []...
Seattle Seahawks @ Kansas City Chiefs,PRE,2026.1,⚠️ PASS,🎯 TARGETED PLAY,OK,,,,,8.3,8.3,none,,,spread AWAY 1/3 | total UNDER 0/4 | final none ,8.0,-1.0,38.6,52.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Market mispricing possible (+8.0% edge),0,Week PRE3 not found. Available: []...
Los Angeles Rams @ Los Angeles Chargers,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,6.9,6.9,none,,,spread AWAY 1/4 | total OVER 1/4 | final none ,5.0,7.0,48.9,54.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Los Angeles Rams (4.8 pts),0,"Market mispricing possible (+5.0% edge), Potential steam move developing, High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Atlanta Falcons @ Miami Dolphins,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,6.0,6.0,none,,,spread AWAY 3/4 | total OVER -2/4 | final none ,25.0,4.0,37.5,38.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,"Market inefficiency detected (+25.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Week PRE3 not found. Available: []...
New England Patriots @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.4,5.4,none,,,spread HOME 0/4 | total UNDER 2/4 | final none ,-2.0,-10.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to New England Patriots (5.0 pts),0,"Extreme public sentiment (81% on one side), High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Houston Texans @ Carolina Panthers,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.4,5.4,none,,,spread AWAY 0/4 | total OVER 1/4 | final none ,3.0,5.0,48.8,57.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Houston Texans (5.0 pts),0,Standard market dynamics,0,Week PRE3 not found. Available: []...
Washington Commanders @ Baltimore Ravens,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-16.0,-10.0,50.0,38.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Baltimore Ravens (2.0 pts),0,"Market inefficiency detected (-16.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Week PRE3 not found. Available: []...
New Orleans Saints @ Dallas Cowboys,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-17.0,12.0,44.7,61.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Dallas Cowboys (2.0 pts),0,"Market inefficiency detected (-17.0% sharp edge), Extreme public sentiment (20% on one side), STEAM MOVE: Sharps heavily against public",0,Week PRE3 not found. Available: []...
Cincinnati Bengals @ Philadelphia Eagles,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.9,2.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,-10.0,10.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-2,Strong statistical edge to Philadelphia Eagles (3.3 pts),0,Market inefficiency detected (-10.0% sharp edge),0,Week PRE3 not found. Available: []...
New York Giants @ New York Jets,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,9.0,-1.0,66.7,55.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Jets (2.0 pts),0,Market mispricing possible (+9.0% edge),0,Week PRE3 not found. Available: []...
Detroit Lions @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,-7.0,7.0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,"Market mispricing possible (-7.0% edge), High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Chicago Bears @ Tennessee Titans,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,OK,,,,,1.0,1.0,none,,,spread AWAY 3/4 | total OVER 0/4 | final none ,21.0,13.0,40.5,39.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Tennessee Titans (5.0 pts),0,"Market inefficiency detected (+21.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Pittsburgh Steelers @ Buffalo Bills,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,-0.9,0.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,58.0,7.0,42.6,40.7,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Buffalo Bills (5.0 pts),0,Market inefficiency detected (+58.0% sharp edge),0,Week PRE3 not found. Available: []...
Tampa Bay Buccaneers @ Jacksonville Jaguars,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,-0.9,0.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,-19.0,9.0,52.3,51.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Jacksonville Jaguars (5.0 pts),0,Market inefficiency detected (-19.0% sharp edge),0,Week PRE3 not found. Available: []...
