su_record,su_pct,ats_record,ats_pct,ou_record,ou_pct,sample_size,source,note,query,referee,favorite,game_type
33-21,61.1%,23-31,42.6%,22-32,40.7%,54,nflverse schedules,,'Craig Wrolstad' in officials and HF and C and REG and season>=2018,Craig Wrolstad,HF,C
0-0,50.0%,0-0,50.0%,0-0,50.0%,0,nflverse schedules,No matching nflverse historical rows,'Derek Anderson BACKUP REFEREE' in officials and HF and C and REG and season>=2018,Derek Anderson BACKUP REFEREE,HF,C
34-16,68.0%,25-23-2,52.1%,27-23,54.0%,50,nflverse schedules,,'John Hussey' in officials and HF and NDIV and REG and season>=2018,John Hussey,HF,NDIV
33-16,67.3%,23-24-2,48.9%,26-22-1,54.2%,49,nflverse schedules,,'Shawn Hochuli' in officials and HF and NDIV and REG and season>=2018,Shawn Hochuli,HF,NDIV
27-7,79.4%,17-17,50.0%,13-21,38.2%,34,nflverse schedules,,'Ron TorbertBarry Anderson 2nd HALF' in officials and HF and NDIV and REG and season>=2018,Ron TorbertBarry Anderson 2nd HALF,HF,NDIV
33-12,73.3%,21-22-2,48.8%,26-19,57.8%,45,nflverse schedules,,'Brad Allen' in officials and HF and NDIV and REG and season>=2018,Brad Allen,HF,NDIV
17-10,63.0%,9-15-3,37.5%,10-16-1,38.5%,27,nflverse schedules,,'Land ClarkMark Pellis 2nd HALF' in officials and HF and NDIV and REG and season>=2018,Land ClarkMark Pellis 2nd HALF,HF,NDIV
32-15,68.1%,23-21-3,52.3%,24-23,51.1%,47,nflverse schedules,,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018,Clete Blakeman,HF,NDIV
7-2,77.8%,6-3,66.7%,5-4,55.6%,9,nflverse schedules,,'Alex Moore' in officials and HF and NDIV and REG and season>=2018,Alex Moore,HF,NDIV
22-17,56.4%,17-21-1,44.7%,24-15,61.5%,39,nflverse schedules,,'Brad Rogers' in officials and HF and C and REG and season>=2018,Brad Rogers,HF,C
25-19,56.8%,17-27,38.6%,23-21,52.3%,44,nflverse schedules,,'Scott Novak' in officials and HF and NDIV and REG and season>=2018,Scott Novak,HF,NDIV
20-6,76.9%,17-9,65.4%,9-17,34.6%,26,nflverse schedules,,'Alan Eck' in officials and HF and NDIV and REG and season>=2018,Alan Eck,HF,NDIV
0-0,50.0%,0-0,50.0%,0-0,50.0%,0,nflverse schedules,No matching nflverse historical rows,'Scott Walker BACKUP REFEREE' in officials and HF and C and REG and season>=2018,Scott Walker BACKUP REFEREE,HF,C
23-23,50.0%,12-31-3,27.9%,24-22,52.2%,46,nflverse schedules,,'Bill Vinovich' in officials and HF and NDIV and REG and season>=2018,Bill Vinovich,HF,NDIV
43-10,81.1%,33-19-1,63.5%,25-25-3,50.0%,53,nflverse schedules,,'Alex Kemp' in officials and HF and NDIV and REG and season>=2018,Alex Kemp,HF,NDIV
24-14,63.2%,15-22-1,40.5%,15-23,39.5%,38,nflverse schedules,,'Clay Martin' in officials and HF and NDIV and REG and season>=2018,Clay Martin,HF,NDIV
