matchup,referee,time,week,away_team,home_team
Steelers at Bills,Craig Wrolstad,7 p.m.,PRE3,Steelers,Bills
Patriots at Browns,Derek Anderson BACKUP REFEREE,8 p.m.,PRE3,Patriots,Browns
49ers at Raiders,John Hussey,8 p.m.,PRE3,49ers,Raiders
Rams at Chargers,Shawn Hochuli,10 p.m.,PRE3,Rams,Chargers
Commanders at Ravens,Ron TorbertBarry Anderson 2nd HALF,6 p.m.,PRE3,Commanders,Ravens
Texans at Panthers,Brad Allen,7 p.m.,PRE3,Texans,Panthers
Falcons at Dolphins,Land ClarkMark Pellis 2nd HALF,7 p.m.,PRE3,Falcons,Dolphins
Buccaneers at Jaguars,Clete Blakeman,7:30 p.m.,PRE3,Buccaneers,Jaguars
Giants at Jets,Alex Moore,7:30 p.m.,PRE3,Giants,Jets
Saints at Cowboys,Brad Rogers,8 p.m.,PRE3,Saints,Cowboys
Seahawks at Chiefs,Scott Novak,8 p.m.,PRE3,Seahawks,Chiefs
Bengals at Eagles,Alan Eck,8 p.m.,PRE3,Bengals,Eagles
Cardinals at Packers,Scott Walker BACKUP REFEREE,8 p.m.,PRE3,Cardinals,Packers
Vikings at Broncos,Bill Vinovich,9 p.m.,PRE3,Vikings,Broncos
Lions at Colts,Alex Kemp,1 p.m.,PRE3,Lions,Colts
Bears at Titans,Clay Martin,7 p.m.,PRE3,Bears,Titans
