game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
THU8:15 PM ET,NYJ,NE,NYJ @ NE,J. Fields,Drake Maye,"G. Wilson (WR)-D, R. Stevenson (RB)-Q, K. Boutte (WR)-Q","5% Precipitation
38°  7 mph WNW Wind",NE -13,43.0,2025-11-12 15:48:42
SUN9:30 AM ET,WAS,MIA,WAS @ MIA,M. Mariota,T. Tagovailoa,Julian Hill (TE)-Q,"36% Precipitation
55°  10 mph SW Wind",MIA-2.5,47.5,2025-11-12 15:48:42
SUN1:00 PM ET,CAR,ATL,CAR @ ATL,Bryce Young,M. Penix,None,"Dome
In Domed Stadium",ATL-3.5,42.5,2025-11-12 15:48:43
SUN1:00 PM ET,TB,BUF,TB @ BUF,B. Mayfield,Josh Allen,"Bucky Irving (RB)-D, Chris Godwin (WR)-D, J. Palmer (WR)-Q, D. Kincaid (TE)-Q","87% Rain
43°  12 mph W Wind",BUF-5.5,48.5,2025-11-12 15:48:43
SUN1:00 PM ET,LAC,JAX,LAC @ JAX,J. Herbert,T. Lawrence,"O. Gadsden (TE)-Q, Brian Thomas (WR)-Q, Hunter Long (TE)-Q","0%
77°  12 mph W Wind",LAC-3,43.5,2025-11-12 15:48:44
SUN1:00 PM ET,CHI,MIN,CHI @ MIN,C. Williams,J. McCarthy,None,"Dome
In Domed Stadium",MIN-3,48.5,2025-11-12 15:48:44
SUN1:00 PM ET,GB,NYG,GB @ NYG,Jordan Love,Jaxson Dart,"Romeo Doubs (WR)-Q, M. Golden (WR)-Q, Jaxson Dart (QB)-Q, Graham Gano (K)-Q","74% Rain
55°  14 mph WNW Wind",GB -7,43.5,2025-11-12 15:48:44
SUN1:00 PM ET,CIN,PIT,CIN @ PIT,Joe Flacco,A. Rodgers,None,"81% Rain
50°  18 mph WNW Wind",PIT-5.5,49.5,2025-11-12 15:48:45
SUN1:00 PM ET,HOU,TEN,HOU @ TEN,C.J. Stroud,Cam Ward,"C.J. Stroud (QB)-Q, K. Fairbairn (K)-Q, C. Ridley (WR)-Q","14% Precipitation
66°  11 mph NW Wind",HOU-7,38.5,2025-11-12 15:48:45
SUN4:05 PM ET,SF,ARI,SF @ ARI,Brock Purdy,J. Brissett,"Brock Purdy (QB)-Q, R. Pearsall (WR)-Q, Bam Knight (RB)-Q","Dome
In Domed Stadium",SF -2.5,48.5,2025-11-12 15:48:45
SUN4:05 PM ET,SEA,LAR,SEA @ LAR,Sam Darnold,M. Stafford,D. Adams (WR)-Q,"Dome
In Domed Stadium",LAR-2.5,48.5,2025-11-12 15:48:46
SUN4:25 PM ET,BAL,CLE,BAL @ CLE,L. Jackson,D. Gabriel,"R. Bateman (WR)-Q, Isaiah Bond (WR)-Q","38% Precipitation
46°  20 mph WNW Wind",BAL-8,40.0,2025-11-12 15:48:46
SUN4:25 PM ET,KC,DEN,KC @ DEN,P. Mahomes,Bo Nix,"I. Pacheco (RB)-Q, J.K. Dobbins (RB)-Q, Marvin Mims (WR)-Q","10% Precipitation
64°  6 mph ENE Wind",KC -3.5,44.0,2025-11-12 15:48:47
SUN8:20 PM ET,DET,PHI,DET @ PHI,Jared Goff,Jalen Hurts,None,"19% Precipitation
49°  10 mph WNW Wind",PHI-2.5,46.5,2025-11-12 15:48:47
MON8:15 PM ET,DAL,LV,DAL @ LV,Dak Prescott,Geno Smith,Geno Smith (QB)-Q,"Dome
In Domed Stadium",DAL-3.5,50.0,2025-11-12 15:48:47
