team,v23_wins,market,edge,signal
MIA,6.76,4.5,2.26,Over
ARI,6.68,4.5,2.18,Over
IND,9.56,7.5,2.06,Over
HOU,10.8,9.5,1.3,Over
JAX,10.47,9.5,0.97,Over
SEA,11.44,10.5,0.94,Over
MIN,9.03,8.5,0.53,Over
ATL,7.99,7.5,0.49,No bet
PIT,8.88,8.5,0.38,No bet
CLE,6.76,6.5,0.26,No bet
TB,8.56,8.5,0.06,No bet
NYG,7.53,7.5,0.03,No bet
DEN,9.52,9.5,0.02,No bet
NO,7.51,7.5,0.01,No bet
DET,10.45,10.5,-0.05,No bet
LV,5.24,5.5,-0.26,No bet
BUF,10.22,10.5,-0.28,No bet
LAR,11.04,11.5,-0.46,No bet
NE,10.04,10.5,-0.46,No bet
CAR,7.02,7.5,-0.48,No bet
TEN,5.97,6.5,-0.53,Under
NYJ,4.93,5.5,-0.57,Under
PHI,9.82,10.5,-0.68,Under
WAS,6.71,7.5,-0.79,Under
SF,9.64,10.5,-0.86,Under
CHI,8.44,9.5,-1.06,Under
KC,9.32,10.5,-1.18,Under
GB,8.87,10.5,-1.63,Under
CIN,7.74,9.5,-1.76,Under
BAL,9.53,11.5,-1.97,Under
LAC,8.45,10.5,-2.05,Under
DAL,7.09,9.5,-2.41,Under
