season,teams,warps_mae,pyth_mae,warps_rmse,pyth_rmse
2015,31,2.3937055647161083,2.559373118155106,2.924867911765758,3.2083858748589633
2016,32,2.4500119406394276,2.601501813024566,2.970878593892471,3.219262567174198
2017,32,2.3020724722239523,2.303367705378433,2.8090385828297677,2.9097329115281427
2018,32,2.1743168322290285,2.1981557147987596,2.538235410968202,2.780615787331518
2019,32,2.2244234850573537,2.25875984241999,2.774236540278137,2.8590391659765935
2020,32,2.766558730015847,2.8961867102769006,3.1222178726563246,3.349601357124446
2021,32,1.9192281854921818,1.9962128770095158,2.245788638355314,2.312501051679309
2022,32,2.426919978916747,2.852656099704431,2.8265080565404954,3.349066347145825
2023,32,1.8617021489657435,2.13081416994838,2.3740670059041307,2.617590520465187
2024,32,3.103602122624232,3.0761810764080453,3.533907644762946,3.751902048096661
2025,32,2.743952036660536,2.9780274204456,3.279733760988727,3.6657462123057143
