season,teams,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse
2015,31,2.3688054699038608,2.559373118155106,2.7419354838709675,2.964430625807358,3.2083858748589633
2016,32,2.4540420215355043,2.601501813024566,2.838709677419355,2.967558552874408,3.219262567174198
2017,32,2.1909788733899163,2.303367705378433,3.125,2.761479851443257,2.9097329115281427
2018,32,2.055669223162763,2.1981557147987596,2.71875,2.513833912724031,2.780615787331518
2019,32,2.2162600503978034,2.25875984241999,2.46875,2.783782095882245,2.8590391659765935
2020,32,2.774384655738287,2.8961867102769006,2.90625,3.1102919185215256,3.349601357124446
2021,32,1.9100012487874054,1.9962128770095158,2.3125,2.167776112269908,2.312501051679309
2022,32,2.5021302531855847,2.852656099704431,3.0,2.8953343636648055,3.349066347145825
2023,32,1.9050769839691641,2.13081416994838,2.59375,2.4088903166547935,2.617590520465187
2024,32,2.976267379660099,3.0761810764080453,2.9375,3.5264442438604906,3.751902048096661
2025,32,2.664942097610933,2.9780274204456,3.15625,3.259168383648405,3.6657462123057143
