season,teams,warps_mae,pyth_mae,pw_mae,warps_rmse
2015,31,2.3662432135060794,2.559373118155106,2.7419354838709675,2.9646065071529755
2016,32,2.4548157353367994,2.601501813024566,2.838709677419355,2.9672416456505855
2017,32,2.1909256359197617,2.303367705378433,3.125,2.759868214536543
2018,32,2.0549496346031613,2.1981557147987596,2.71875,2.5121560809645533
2019,32,2.2173950878992184,2.25875984241999,2.46875,2.7824551786735667
2020,32,2.777825796785282,2.8961867102769006,2.90625,3.114397646352943
2021,32,1.907667389709302,1.9962128770095158,2.3125,2.166291046367069
2022,32,2.5005828815520914,2.852656099704431,3.0,2.8946674580691116
2023,32,1.9031211604745841,2.13081416994838,2.59375,2.406172278853273
2024,32,2.9845374874162967,3.0761810764080453,2.9375,3.5339571371749368
2025,32,2.6691189016416055,2.9780274204456,3.15625,3.2604664842370155
