season,team,proj,actual,pyth_fc
2000,ARI,5.886,3.0,4.139
2000,ATL,6.635,4.0,5.374
2000,BAL,9.462,12.0,9.469
2000,BUF,10.127,8.0,11.016
2000,CAR,8.143,7.0,8.942
2000,CHI,6.964,5.0,5.907
2000,CIN,5.724,4.0,3.844
2000,CLE,4.85,3.0,2.558
2000,DAL,9.395,5.0,10.244
2000,DEN,8.653,11.0,7.88
2000,DET,8.597,9.0,7.971
2000,GB,8.151,9.0,8.434
2000,IND,8.28,10.0,10.209
2000,JAX,10.842,7.0,12.899
2000,KC,9.426,7.0,9.786
2000,LAC,6.353,1.0,6.492
2000,LAR,11.406,10.0,13.807
2000,LV,9.59,12.0,9.591
2000,MIA,7.584,11.0,7.714
2000,MIN,8.417,11.0,9.634
2000,NE,7.836,5.0,8.487
2000,NO,5.615,10.0,3.663
2000,NYG,7.462,12.0,6.318
2000,NYJ,8.103,9.0,7.969
2000,PHI,7.306,11.0,5.508
2000,PIT,7.9,9.0,7.911
2000,SEA,8.103,6.0,9.185
2000,SF,5.854,6.0,4.251
2000,TB,8.06,10.0,9.304
2000,TEN,8.749,13.0,9.776
2000,WAS,8.526,8.0,9.511
2001,ARI,4.887,7.0,2.33
2001,ATL,6.373,7.0,3.787
2001,BAL,11.118,10.0,13.453
2001,BUF,7.383,3.0,7.006
2001,CAR,7.977,1.0,8.0
2001,CHI,6.25,13.0,3.768
2001,CIN,5.056,6.0,2.753
2001,CLE,4.628,7.0,1.503
2001,DAL,7.247,5.0,6.091
2001,DEN,8.667,8.0,10.504
2001,DET,8.605,2.0,8.0
2001,GB,8.306,12.0,8.839
2001,IND,9.048,6.0,10.515
2001,JAX,8.316,6.0,9.087
2001,KC,7.907,6.0,8.027
2001,LAC,6.584,5.0,3.801
2001,LAR,8.429,14.0,9.285
2001,LV,9.766,10.0,12.055
2001,MIA,9.507,11.0,11.197
2001,MIN,7.6,5.0,8.641
2001,NE,6.998,11.0,6.115
2001,NO,8.4,7.0,9.398
2001,NYG,8.929,7.0,10.626
2001,NYJ,8.71,10.0,8.0
2001,PHI,9.456,11.0,11.216
2001,PIT,9.045,13.0,10.13
2001,SEA,6.968,9.0,5.823
2001,SF,7.202,12.0,7.206
2001,TB,9.358,9.0,11.27
2001,TEN,10.219,7.0,12.856
2001,WAS,9.06,8.0,8.413
2002,ARI,6.547,5.0,6.586
2002,ATL,7.077,9.5,5.62
2002,BAL,9.453,7.0,9.26
2002,BUF,4.623,8.0,4.022
2002,CAR,5.248,7.0,3.865
2002,CHI,10.666,4.0,12.32
2002,CIN,6.675,2.0,5.163
2002,CLE,7.756,9.0,6.938
2002,DAL,6.178,5.0,5.123
2002,DEN,7.661,9.0,8.028
2002,DET,5.682,3.0,4.088
2002,GB,10.017,12.0,11.398
2002,HOU,8.282,4.0,
2002,IND,7.26,10.0,6.476
2002,JAX,8.199,6.0,8.261
2002,KC,7.445,8.0,7.316
2002,LAC,7.834,8.0,8.319
2002,LAR,10.684,7.0,12.956
2002,LV,8.837,11.0,9.852
2002,MIA,8.979,9.0,9.597
2002,MIN,6.737,6.0,5.301
2002,NE,9.369,9.0,10.817
2002,NO,6.948,9.0,6.089
2002,NYG,7.602,10.0,7.17
2002,NYJ,8.501,9.0,8.408
2002,PHI,11.358,12.0,12.255
2002,PIT,10.471,10.5,12.301
2002,SEA,7.159,7.0,7.304
2002,SF,9.658,10.0,11.313
2002,TB,9.362,12.0,9.37
2002,TEN,7.119,11.0,6.649
2002,WAS,6.612,7.0,6.423
2003,ARI,6.092,4.0,3.992
2003,ATL,9.371,5.0,10.277
2003,BAL,7.261,10.0,6.93
2003,BUF,7.279,6.0,7.561
2003,CAR,6.463,11.0,6.524
2003,CHI,6.727,7.0,5.277
2003,CIN,5.501,8.0,3.806
2003,CLE,8.555,5.0,8.684
2003,DAL,5.184,10.0,4.346
2003,DEN,8.976,10.0,9.228
2003,DET,5.458,5.0,4.562
2003,GB,9.122,10.0,9.802
2003,HOU,4.736,5.0,3.655
2003,IND,8.259,12.0,9.026
2003,JAX,7.955,5.0,8.383
2003,KC,9.832,13.0,9.475
2003,LAC,7.166,4.0,7.082
2003,LAR,7.677,12.0,6.546
2003,LV,10.457,4.0,11.472
2003,MIA,9.475,10.0,10.108
2003,MIN,7.526,9.0,6.822
2003,NE,8.635,14.0,8.91
2003,NO,8.428,8.0,9.013
2003,NYG,8.339,4.0,9.288
2003,NYJ,8.488,6.0,8.626
2003,PHI,11.095,12.0,12.541
2003,PIT,8.962,6.0,9.154
2003,SEA,8.54,10.0,7.634
2003,SF,8.741,7.0,8.422
2003,TB,10.85,7.0,12.698
2003,TEN,8.307,12.0,9.173
2003,WAS,6.539,5.0,6.382
2004,ARI,4.543,6.0,2.571
2004,ATL,6.383,11.0,4.904
2004,BAL,10.272,9.0,10.981
2004,BUF,7.179,9.0,6.702
2004,CAR,7.534,7.0,8.632
2004,CHI,6.751,5.0,6.13
2004,CIN,6.885,8.0,7.017
2004,CLE,6.925,4.0,5.809
2004,DAL,8.216,6.0,8.997
2004,DEN,9.741,10.0,10.178
2004,DET,6.024,6.0,4.948
2004,GB,10.493,10.0,11.255
2004,HOU,5.94,7.0,4.477
