gate_id,slice,bets,wins,pushes,losses,win_pct,units,roi_pct
v23_over_gate,base,60,30,2,28,51.72,2.002,3.45
v23_over_gate,without_best_season:2017,58,28,2,28,50.0,-0.548,-0.98
v23_over_gate,without_worst_season:2003,58,30,2,26,53.57,4.002,7.15
v23_over_gate,era:2003-2010,31,17,1,13,56.67,2.788,9.29
v23_over_gate,era:2011-2016,14,6,1,7,46.15,-0.469,-3.61
v23_over_gate,era:2017-2020,15,7,0,8,46.67,-0.317,-2.11
v23_over_gate,leave_one_out:2003,58,30,2,26,53.57,4.002,7.15
v23_over_gate,leave_one_out:2004,55,27,1,27,50.0,-0.118,-0.22
v23_over_gate,leave_one_out:2005,55,27,2,26,50.94,1.213,2.29
v23_over_gate,leave_one_out:2006,58,28,2,28,50.0,0.077,0.14
v23_over_gate,leave_one_out:2007,56,28,2,26,51.85,2.092,3.87
v23_over_gate,leave_one_out:2008,55,26,2,27,49.06,-0.508,-0.96
v23_over_gate,leave_one_out:2009,56,28,2,26,51.85,2.566,4.75
v23_over_gate,leave_one_out:2010,56,29,2,25,53.7,3.902,7.23
v23_over_gate,leave_one_out:2011,56,27,2,27,50.0,0.18,0.33
v23_over_gate,leave_one_out:2012,59,30,1,28,51.72,2.002,3.45
v23_over_gate,leave_one_out:2013,57,29,2,26,52.73,2.802,5.09
v23_over_gate,leave_one_out:2014,57,28,2,27,50.91,0.492,0.9
v23_over_gate,leave_one_out:2015,59,30,2,27,52.63,3.002,5.27
v23_over_gate,leave_one_out:2016,58,30,2,26,53.57,4.002,7.15
v23_over_gate,leave_one_out:2017,58,28,2,28,50.0,-0.548,-0.98
v23_over_gate,leave_one_out:2018,54,27,2,25,51.92,1.968,3.79
v23_over_gate,leave_one_out:2019,55,28,2,25,52.83,2.902,5.47
v23_over_gate,leave_one_out:2020,58,30,2,26,53.57,4.002,7.15
v23_under_gate,base,162,81,4,77,51.27,2.542,1.61
v23_under_gate,without_best_season:2015,155,76,4,75,50.33,-1.267,-0.84
v23_under_gate,without_worst_season:2020,151,79,4,68,53.74,9.49,6.46
v23_under_gate,era:2003-2010,67,36,1,30,54.55,5.026,7.62
v23_under_gate,era:2011-2016,54,27,2,25,51.92,1.364,2.62
v23_under_gate,era:2017-2020,41,18,1,22,45.0,-3.849,-9.62
v23_under_gate,leave_one_out:2003,151,75,4,72,51.02,1.506,1.02
v23_under_gate,leave_one_out:2004,154,77,4,73,51.33,3.134,2.09
v23_under_gate,leave_one_out:2005,150,75,3,72,51.02,1.692,1.15
v23_under_gate,leave_one_out:2006,153,76,4,73,51.01,2.011,1.35
v23_under_gate,leave_one_out:2007,155,78,4,73,51.66,3.708,2.46
v23_under_gate,leave_one_out:2008,157,77,4,76,50.33,-0.977,-0.64
v23_under_gate,leave_one_out:2009,154,76,4,74,50.67,0.416,0.28
v23_under_gate,leave_one_out:2010,155,78,4,73,51.66,3.821,2.53
v23_under_gate,leave_one_out:2011,152,76,4,72,51.35,2.979,2.01
v23_under_gate,leave_one_out:2012,153,77,2,74,50.99,1.967,1.3
v23_under_gate,leave_one_out:2013,154,77,4,73,51.33,2.903,1.94
v23_under_gate,leave_one_out:2014,151,76,4,71,51.7,3.937,2.68
v23_under_gate,leave_one_out:2015,155,76,4,75,50.33,-1.267,-0.84
v23_under_gate,leave_one_out:2016,153,77,4,72,51.68,3.369,2.26
v23_under_gate,leave_one_out:2017,152,75,3,74,50.34,-0.039,-0.03
v23_under_gate,leave_one_out:2018,153,76,4,73,51.01,1.176,0.79
v23_under_gate,leave_one_out:2019,151,76,4,71,51.7,3.391,2.31
v23_under_gate,leave_one_out:2020,151,79,4,68,53.74,9.49,6.46
v23_all_gate,base,263,131,6,126,50.97,2.625,1.02
v23_all_gate,without_best_season:2017,244,118,5,121,49.37,-5.272,-2.21
v23_all_gate,without_worst_season:2020,248,128,6,114,52.89,11.773,4.86
v23_all_gate,era:2003-2010,112,61,2,49,55.45,9.386,8.53
v23_all_gate,era:2011-2016,82,37,3,42,46.84,-5.221,-6.61
v23_all_gate,era:2017-2020,69,33,1,35,48.53,-1.54,-2.26
v23_all_gate,leave_one_out:2003,248,123,6,119,50.83,1.52,0.63
v23_all_gate,leave_one_out:2004,249,123,5,121,50.41,0.228,0.09
v23_all_gate,leave_one_out:2005,244,121,5,118,50.63,1.153,0.48
v23_all_gate,leave_one_out:2006,250,122,6,122,50.0,-2.031,-0.83
v23_all_gate,leave_one_out:2007,250,126,6,118,51.64,5.882,2.41
v23_all_gate,leave_one_out:2008,252,123,6,123,50.0,-2.403,-0.98
v23_all_gate,leave_one_out:2009,250,124,6,120,50.82,2.064,0.85
v23_all_gate,leave_one_out:2010,249,125,6,118,51.44,5.204,2.14
v23_all_gate,leave_one_out:2011,249,123,6,120,50.62,1.241,0.51
v23_all_gate,leave_one_out:2012,248,126,3,119,51.43,5.181,2.11
v23_all_gate,leave_one_out:2013,250,126,6,118,51.64,5.787,2.37
v23_all_gate,leave_one_out:2014,248,124,6,118,51.24,3.511,1.45
v23_all_gate,leave_one_out:2015,253,125,6,122,50.61,-0.184,-0.07
v23_all_gate,leave_one_out:2016,248,125,6,117,51.65,5.438,2.25
v23_all_gate,leave_one_out:2017,244,118,5,121,49.37,-5.272,-2.21
v23_all_gate,leave_one_out:2018,247,122,6,119,50.62,0.075,0.03
v23_all_gate,leave_one_out:2019,244,123,6,115,51.68,5.465,2.3
v23_all_gate,leave_one_out:2020,248,128,6,114,52.89,11.773,4.86
